year,dois_VERB apporter_VERB,dois_VERB rapporter_VERB
1800,6.288328968651058e-09,1.3519907327008696e-07
1801,4.7623651688866175e-09,1.4048977448055666e-07
1802,2.2378401354217203e-09,6.937304419807333e-08
1803,0.0,1.2092102963379148e-07
1804,2.4718509461507665e-09,5.19088700912107e-08
1805,0.0,1.051864728651708e-07
1806,2.881669125542885e-09,4.3225035994964855e-08
1807,0.0,1.4804166426074516e-07
1808,6.798221985349073e-09,9.970725756147658e-08
1809,4.518061036407062e-09,3.162642769893864e-08
1810,7.020380277111826e-09,5.3822915901946544e-08
1811,1.7549536934780008e-08,9.777599530025327e-08
1812,2.9339290108509886e-08,8.801787032552966e-08
1813,2.8757416448144113e-09,5.463909147351842e-08
1814,4.405347908686963e-08,7.552024783308298e-08
1815,2.697223555614414e-09,8.631115377966125e-08
1816,2.3176038865813098e-08,1.3442102897442965e-07
1817,1.556873407970727e-09,9.808302792180257e-08
1818,1.1921177378582115e-09,1.0013788909191135e-07
1819,3.1053151161586356e-09,9.00541365922436e-08
1820,3.5599443393152796e-09,7.713212824000948e-08
1821,5.325203744632745e-08,1.0453177878844144e-07
1822,1.5038423839541792e-08,8.020492714422289e-08
1823,1.3835761869529506e-08,8.30145694408202e-08
1824,8.421112696055388e-09,1.288430269141827e-07
1825,1.4969252504215547e-08,7.660735690251386e-08
1826,2.025836387531399e-08,8.367585024871005e-08
1827,7.373818444733615e-09,7.005127855563842e-08
1828,6.420610709767516e-09,6.695779575238703e-08
1829,1.714635211591542e-09,1.0716470200122785e-07
1830,8.349468672008697e-09,9.184415716845251e-08
1831,2.6505050598757407e-08,1.0602020239502963e-07
1832,4.329590197471589e-08,1.0147476814381662e-07
1833,1.3900354645102198e-08,1.0077756940063409e-07
1834,1.213489042584115e-08,5.694063887062839e-08
1835,1.285724948729694e-08,6.42862474364847e-08
1836,2.419469957715137e-08,9.274634749090183e-08
1837,1.87863058442872e-08,8.766942727334026e-08
1838,3.1560809521380406e-09,6.438405364406208e-08
1839,9.088918062616358e-09,7.620707975775076e-08
1840,1.1465439264668476e-08,6.751869818799605e-08
1841,2.5040138851295524e-08,6.035315891494974e-08
1842,6.037438549100216e-09,6.03743828264669e-08
1843,8.269675610961258e-09,7.856191786004274e-08
1844,3.841992946007622e-09,3.841993034825464e-08
1845,3.9061593959388574e-09,5.8034370198356555e-08
1846,1.8148954339380907e-08,3.5127008857216424e-08
1847,4.314578916364553e-09,2.8044762956369595e-08
1848,1.045878850192139e-08,4.827133182061516e-08
1849,5.865590679832167e-09,2.6814127807028854e-08
1850,2.7155984128057753e-09,5.4311968256115506e-08
1851,9.029214709244116e-09,2.8377531435808123e-08
1852,1.4323200403509873e-08,3.6459056218518526e-08
1853,5.971931837933653e-09,4.299791100947914e-08
1854,6.754363734984281e-09,1.7145692865483397e-08
1855,1.2205955357558196e-08,3.6087172361476405e-08
1856,4.141751386299575e-09,3.9346637947801355e-08
1857,6.345961978126979e-09,6.101886640408338e-08
1858,1.4191660291373864e-08,1.761723389392955e-08
1859,4.582956236731661e-09,2.2914779407301467e-08
1860,4.57718396518203e-09,2.8836257826014844e-08
1861,2.0278644541349422e-08,3.772770895693611e-08
1862,1.1746764450037972e-08,4.517986340601965e-08
1863,7.991393324857654e-09,2.6471489888990618e-08
1864,5.753673537611803e-09,5.178306139441702e-08
1865,1.0355057256106193e-08,2.3534221682552925e-08
1866,1.0704348518686402e-08,2.6760870852626795e-08
1867,7.279217228983725e-09,4.124889585455094e-08
1868,6.421836395986702e-09,3.2603168165223906e-08
1869,7.813630631403612e-09,1.8069020057964735e-08
1870,7.454262984651905e-09,1.490852596930381e-08
1871,1.0621176826930423e-08,8.496941816815706e-09
1872,1.0885210954825197e-08,2.7817760539505798e-08
1873,7.781805422268917e-09,4.19020302899753e-08
1874,8.364453130127458e-09,2.6288279997288555e-08
1875,2.4030413214859436e-08,4.3483606049221635e-08
1876,3.627608879952504e-09,2.7811667635546655e-08
1877,1.9172929910382663e-08,3.277952487223956e-08
