year,pas_ADV envoyé_VERB,pas_ADV renvoyé_VERB
1800,3.898763907272951e-07,5.65949598296811e-08
1801,4.90523632379336e-07,5.9529565277216534e-08
1802,4.274274658655486e-07,2.0140561218795483e-08
1803,4.661310697429144e-07,3.705644502360883e-08
1804,6.698716106257052e-07,4.943701981119375e-08
1805,3.951600149321166e-07,7.391481915419718e-08
1806,7.722873078819248e-07,3.7461699520235925e-08
1807,5.209927849136875e-07,3.9857372513552036e-08
1808,3.603057621148764e-07,7.931259204951857e-08
1809,3.433726476487209e-07,1.0617443280125372e-07
1810,3.650597761861718e-07,9.126494404654295e-08
1811,5.2397905392354e-07,4.512738271955641e-08
1812,3.494042744023318e-07,1.0935553973467904e-07
1813,2.70319702622146e-07,5.463909147351842e-08
1814,5.129084001964657e-07,9.44003133440674e-08
1815,4.0728076555751613e-07,5.664169577812572e-08
1816,4.264391009201063e-07,6.257530316133852e-08
1817,6.118512487773842e-07,7.161617787687646e-08
1818,5.543347469938453e-07,9.656153565629211e-08
1819,6.997310038059368e-07,1.0454560595007933e-07
1820,6.277368242990633e-07,7.95054262425765e-08
1821,8.155450927915808e-07,6.508582117703554e-08
1822,5.163192327017896e-07,7.017931125119503e-08
1823,7.481194188585505e-07,1.4922856905741355e-07
1824,6.122148761278368e-07,4.5474010335055937e-08
1825,4.834188302993425e-07,8.717388766399381e-08
1826,6.18320484591095e-07,9.688783109140786e-08
1827,5.438191124085279e-07,1.0323346089080587e-07
1828,6.273854182836658e-07,1.1832268853595451e-07
1829,5.289649607220781e-07,7.458663020543099e-08
1830,5.187107490201015e-07,9.601888706356476e-08
1831,6.501533107439172e-07,1.1069756311599122e-07
1832,6.047896476957249e-07,1.1635773944362882e-07
1833,6.370995606630458e-07,6.602667923516492e-08
1834,6.123452180872846e-07,7.28093425550469e-08
1835,5.180715447750117e-07,1.0663953986522756e-07
1836,6.08899938470131e-07,1.0417162599196672e-07
1837,5.566312779592408e-07,8.349469027280065e-08
1838,5.106538765176083e-07,9.152634561360173e-08
1839,5.278564003674546e-07,9.158832625644209e-08
1840,6.172228381728928e-07,1.0955864837569607e-07
1841,5.258429496279859e-07,5.6500827128047604e-08
1842,5.547735213440319e-07,8.184083100104544e-08
1843,4.932270485369372e-07,5.9069112268161916e-08
1844,5.455630116557586e-07,6.915587391631561e-08
1845,5.228673671808792e-07,1.166267651342423e-07
1846,4.7362917143800587e-07,6.966856602730331e-08
1847,5.306932280291221e-07,9.546005941274416e-08
1848,3.893887310368882e-07,1.0700144770225961e-07
1849,4.809784286408103e-07,1.240153437720437e-07
1850,3.7203699321253225e-07,8.078905011643656e-08
1851,5.894787022953096e-07,7.67483214758613e-08
1852,4.92197216317436e-07,1.2500247237312578e-07
1853,3.9773067328496836e-07,6.688563303214323e-08
1854,4.998229314878699e-07,8.365019965594911e-08
1855,5.529828399630787e-07,9.234070574848374e-08
1856,5.001164709028671e-07,8.335274515047786e-08
1857,5.838284664605453e-07,6.492407322866711e-08
1858,5.847942929904093e-07,1.2576747110415454e-07
1859,5.749063802795717e-07,9.267755274322553e-08
1860,5.451425977298641e-07,8.925508865331722e-08
1861,6.394846536750265e-07,8.300096254743039e-08
1862,7.197152172011556e-07,7.545037306044833e-08
1863,7.402027790703869e-07,4.994620894649415e-08
1864,6.266709533520043e-07,1.0164823294189773e-07
1865,6.42013560536725e-07,6.636650340396955e-08
1866,6.476130920418655e-07,8.952727625910484e-08
1867,5.837932235408516e-07,9.608567097529885e-08
1868,6.466295303653169e-07,8.298988518617989e-08
1869,5.635581032947812e-07,9.034510384253736e-08
1870,5.407208050201007e-07,1.1410757139174166e-07
1871,5.395557991505484e-07,8.390730243945654e-08
1872,6.452510774579423e-07,7.559174264315516e-08
1873,5.602900046142167e-07,1.0655087834265942e-07
1874,6.016431370881037e-07,7.82673765797881e-08
1875,5.509830884875555e-07,1.0241533487942434e-07
1876,5.012146289118391e-07,1.1850188741391321e-07
1877,5.720954732169048e-07,7.29808320443226e-08
1878,5.574078727477172e-07,8.998242151392333e-08
1879,5.473955297929933e-07,1.0202573008655236e-07
1880,5.390990622800018e-07,7.765594034481182e-08
1881,5.591950866801199e-07,9.412885049187025e-08
1882,6.142920483398484e-07,8.585446664710616e-08
1883,4.82797474887775e-07,9.921362220666197e-08
1884,4.5947811599944544e-07,1.293932569979006e-07
1885,4.5377274204838614e-07,8.443782917311182e-08
1886,4.814284011445125e-07,8.583106847481758e-08
1887,5.099090003568563e-07,6.463635315867577e-08
1888,4.7300986238951737e-07,9.510922183153525e-08
1889,4.861745992457145e-07,1.0963989183210288e-07
1890,5.728533665205759e-07,5.505684796958121e-08
1891,4.787039529219328e-07,9.752556451303462e-08
1892,4.6888473548278853e-07,9.152027757863834e-08
1893,5.585683879871794e-07,6.897426629848269e-08
1894,4.789170020558231e-07,7.876924001948282e-08
1895,4.46581196911211e-07,8.004757034996146e-08
1896,6.693127829748846e-07,6.545702291305133e-08
1897,5.634432227452635e-07,7.63299468076184e-08
1898,5.256611643744691e-07,8.430949094417883e-08
1899,4.814521048501774e-07,6.577818112418754e-08
1900,4.988602313460433e-07,8.098042769688618e-08
1901,5.50490767636802e-07,7.544797853142882e-08
1902,4.2228441543556983e-07,7.365425602756659e-08
1903,4.881799213762861e-07,8.046328048294527e-08
1904,4.842537464355701e-07,8.814384955257992e-08
1905,5.475565103552071e-07,5.5736197879241445e-08
1906,4.346835851265496e-07,7.407625446376187e-08
1907,4.6902732719900087e-07,7.457122563891971e-08
1908,6.276755470935313e-07,6.925058926299243e-08
1909,4.785855480804457e-07,5.4459736276157855e-08
1910,5.082287088953308e-07,7.161161619251288e-08
1911,4.4637940277425514e-07,7.714542249459555e-08
1912,4.5113588953427097e-07,6.042928646365908e-08
1913,4.369663599845808e-07,9.280231694219765e-08
1914,4.6609335413450026e-07,8.10305991194582e-08
1915,4.323539712913771e-07,4.7123048574349014e-08
1916,4.834483320337313e-07,8.130722051191697e-08
1917,4.2549726231300156e-07,4.386569685266295e-08
1918,4.3648230985127157e-07,4.709414369585829e-08
1919,4.43818294115772e-07,5.893022958503025e-08
1920,4.24802209408881e-07,7.345065000663453e-08
1921,4.4224844941709307e-07,8.330022183145047e-08
1922,4.773524437950982e-07,6.418803621954794e-08
1923,4.3206910049775615e-07,9.129715294875496e-08
1924,5.105083005219058e-07,8.508472149060253e-08
1925,5.037165351495787e-07,8.248633776020142e-08
1926,4.6925242713768966e-07,9.808601930672012e-08
1927,5.240135578787886e-07,6.13207333799437e-08
1928,5.427369842436747e-07,8.226749770301467e-08
1929,5.737309152209491e-07,8.689517017046455e-08
1930,5.1362621888984e-07,8.612954616182833e-08
1931,5.200842565500352e-07,1.1291302826066385e-07
1932,4.4386123931872135e-07,9.644391951724174e-08
1933,4.79473669656727e-07,9.864769623391112e-08
1934,4.5410189386529964e-07,7.188948103475923e-08
1935,4.224804399655113e-07,7.4203363453762e-08
1936,4.5831421857656096e-07,6.547345776652946e-08
1937,4.268389091066638e-07,8.310137644684801e-08
1938,3.902529499555385e-07,5.0564334941327616e-08
1939,3.9764532289154886e-07,8.105846660555471e-08
1940,4.082610587374802e-07,5.832300686847702e-08
1941,4.781434199685464e-07,6.198155233505531e-08
1942,4.5513175450651033e-07,6.978687139280737e-08
1943,3.7161410659791727e-07,4.3548528338988035e-08
1944,3.8236916566347645e-07,4.4984606262232774e-08
1945,5.141269525665848e-07,4.357008265287732e-08
1946,3.9953567920747446e-07,7.099762910911522e-08
1947,5.257103907752025e-07,8.821444197337769e-08
1948,4.3161395524293766e-07,6.52313261184645e-08
1949,4.1035093545360724e-07,7.264586088240321e-08
1950,4.4881224425807886e-07,5.7430952438153327e-08
1951,5.160118234925903e-07,6.396840745992449e-08
1952,5.072050726084854e-07,6.748674508116892e-08
1953,4.352626206127752e-07,8.080370861307529e-08
1954,5.0621736136236e-07,6.058972701339371e-08
1955,4.5895623657088436e-07,4.974372203037092e-08
1956,4.151263510721037e-07,6.45364508500279e-08
1957,4.258488104369462e-07,8.835037590415595e-08
1958,4.160938544828241e-07,6.369627669755573e-08
1959,4.518686012033868e-07,5.8905683886223414e-08
1960,4.6646417217743874e-07,7.543708591128961e-08
1961,4.1480510049041186e-07,4.655266749864495e-08
1962,4.1032458852896525e-07,5.834600003140622e-08
1963,3.8990302186903136e-07,6.207410763181542e-08
1964,4.830670832234318e-07,6.327326929067567e-08
1965,4.503491766172374e-07,6.785333539482963e-08
1966,4.3537127680792764e-07,5.926809976131153e-08
1967,4.323904363445763e-07,5.37406563694276e-08
1968,4.1680340245875414e-07,4.715986534620242e-08
