year,avons_VERB appelé_VERB,avons_VERB rappelé_VERB
1800,6.005354293847631e-07,1.4463157071986643e-07
1801,4.690929813477851e-07,1.04772034603684e-07
1802,5.773627549388038e-07,2.2602185367759375e-07
1803,4.4077665961594903e-07,6.631153581793114e-08
1804,4.301020624097873e-07,1.2112069214254007e-07
1805,3.1840230008128856e-07,1.3077237781544682e-07
1806,4.841203917749226e-07,8.35684019762084e-08
1807,3.6156330907033407e-07,2.0498076480635063e-07
1808,4.5094873257767176e-07,8.611080914988634e-08
1809,3.5466780445858603e-07,1.1295152546608733e-07
1810,4.7036547812240315e-07,1.8721013361755467e-07
1811,4.2369597963443084e-07,1.278609147448151e-07
1812,2.2937990706850542e-07,2.1871107946935808e-07
1813,4.946275566908298e-07,2.2143210287595139e-07
1814,3.7445457223839185e-07,4.0277467405758216e-07
1815,4.989863668924954e-07,2.1847510822681215e-07
1816,5.052376650382939e-07,2.1321955046005314e-07
1817,4.639482824586594e-07,2.1796228111270466e-07
1818,5.602953478955897e-07,1.0371424252753059e-07
1819,3.602165463689744e-07,1.614763789348217e-07
1820,2.6106258133040683e-07,1.779972222948345e-07
1821,3.2148452078217815e-07,1.2622705014564417e-07
1822,5.393781066231895e-07,1.73443154949382e-07
1823,3.182225043474318e-07,2.2829006240954186e-07
1824,3.621078406013112e-07,2.896862838497327e-07
1825,3.9448383404305787e-07,2.447913232117571e-07
1826,4.32472035072351e-07,2.1755721490990254e-07
1827,4.1109038306785806e-07,2.6453574264451163e-07
1828,4.356843135155941e-07,1.8528048428834154e-07
1829,5.332515229383716e-07,1.714635260441355e-07
1830,4.853128530157846e-07,1.9099410053513566e-07
1831,5.893475645279977e-07,2.3698633810909087e-07
1832,5.357867962629825e-07,2.4624543470963545e-07
1833,4.6682023935318284e-07,2.2240567432163516e-07
1834,5.750071068177931e-07,2.2589564707686804e-07
1835,4.764745540342119e-07,2.4353141725441674e-07
1836,3.9719631672596734e-07,2.594209433937067e-07
1837,6.157733309919422e-07,2.5883355192490853e-07
1838,4.904549655293522e-07,1.944145822108112e-07
1839,5.474324780152529e-07,2.754641172941774e-07
1840,5.968398113509465e-07,2.73259644245627e-07
1841,5.534512865779107e-07,2.311397508947266e-07
1842,5.520902277567075e-07,2.5826821570262837e-07
1843,6.273139661061577e-07,4.3238588887106744e-07
1844,5.900203632336343e-07,3.5510990414877597e-07
1845,5.418401087808888e-07,3.8949991676417994e-07
1846,4.56065663456684e-07,3.5009918519790517e-07
1847,5.646705290018872e-07,3.7051447066005494e-07
1848,6.001735641802952e-07,2.8962799092369096e-07
1849,5.882349114472163e-07,4.1813279949565185e-07
1850,6.639638172600826e-07,4.270278566309571e-07
1851,5.017663511353021e-07,3.089281221946294e-07
1852,5.683706376657938e-07,3.7500740290852264e-07
1853,5.87040915434045e-07,3.3980290936597157e-07
1854,5.268403810987365e-07,3.585008414574986e-07
1855,5.423689799499698e-07,3.4017466532532126e-07
1856,5.720793865293672e-07,4.15210564597146e-07
1857,6.438710329348396e-07,4.0711785231906106e-07
1858,5.872411179552728e-07,3.866004192332184e-07
1859,5.530100111172942e-07,3.4474012977625534e-07
1860,5.442271913125296e-07,4.3666335614034324e-07
1861,5.880806952518469e-07,4.0180012206292304e-07
1862,6.040547759766923e-07,3.7408926800708286e-07
1863,5.444136945698119e-07,4.669970508075494e-07
1864,6.180404170663678e-07,4.679654352912621e-07
1865,6.128311156317068e-07,4.438554128682881e-07
1866,6.485861945293436e-07,4.607735490935738e-07
1867,6.255273774513626e-07,3.8531322843482485e-07
1868,6.733048394380603e-07,4.81637698612758e-07
1869,5.782086418548715e-07,4.966539108863799e-07
1870,6.393464673237759e-07,4.914080022899725e-07
1871,6.776311352041375e-07,5.066301582701271e-07
1872,7.0391030249084e-07,4.608072572409583e-07
1873,7.781806061757379e-07,4.24407716081987e-07
1874,7.241226285259472e-07,4.43913449998945e-07
1875,6.213578558345034e-07,4.073727382092329e-07
1876,7.049653163448966e-07,4.365222707747307e-07
1877,6.252848834265023e-07,3.686150193971116e-07
1878,5.918307124375133e-07,4.4024955059285276e-07
1879,6.921865747244738e-07,4.31929294109068e-07
1880,6.077700618334347e-07,4.723534914319316e-07
1881,6.986452376622765e-07,4.51818493729661e-07
1882,6.921600288478658e-07,4.419175638759043e-07
1883,7.147172595978191e-07,3.8800740753686114e-07
1884,7.479722512471199e-07,3.928009562059742e-07
1885,6.832373742327036e-07,4.4797167220167466e-07
1886,5.885559062335233e-07,4.4722503389493795e-07
1887,6.685618814117333e-07,5.11867710883962e-07
1888,7.247322741932294e-07,4.552561279069778e-07
1889,7.480573458451545e-07,5.444404109766765e-07
1890,7.262260055540537e-07,4.7584845219716954e-07
1891,6.737550393154379e-07,5.494577521858446e-07
1892,7.346696406784758e-07,4.983467079000548e-07
1893,7.950515623633692e-07,5.936713591836451e-07
1894,7.2089608238457e-07,4.537108395652467e-07
1895,6.903350708853395e-07,4.5199794840300456e-07
1896,7.902019092398405e-07,5.053753966421937e-07
1897,7.487327025046397e-07,4.707984544438659e-07
1898,8.051839017753082e-07,4.702093008290831e-07
1899,8.379809059988474e-07,5.019041395826207e-07
1900,8.549664585189021e-07,4.858825946030265e-07
1901,9.187886576000892e-07,4.716895602996374e-07
1902,7.601119591527095e-07,4.65003893168614e-07
1903,6.98248470598628e-07,5.643230451823911e-07
1904,7.524475336140313e-07,5.621857894766435e-07
1905,8.205606718547642e-07,4.6498439587594476e-07
1906,8.601076615377679e-07,4.820100798497151e-07
1907,7.292551913451462e-07,5.045129114478186e-07
1908,8.270779403574124e-07,4.7542246761622664e-07
1909,7.728881996627024e-07,5.600001031780266e-07
1910,7.946752020870917e-07,5.68617622320744e-07
1911,8.102929882625176e-07,5.213966574046935e-07
1912,8.126697252919257e-07,5.48031096059276e-07
1913,8.304481866616698e-07,5.695411005035567e-07
1914,8.41780661176017e-07,6.241365326786763e-07
1915,8.399683224524779e-07,4.68874333137137e-07
1916,7.95492269389797e-07,4.933370405524329e-07
1917,6.985612230892002e-07,6.108298293838743e-07
1918,8.304650123136526e-07,5.89251101246191e-07
1919,7.697761361669109e-07,6.29816838682018e-07
1920,8.329454885824816e-07,6.746858502992836e-07
1921,8.193712801585207e-07,5.611406095340499e-07
1922,8.20426407699415e-07,5.806435297017742e-07
1923,8.28043937417533e-07,5.573372732214921e-07
1924,7.954132001941616e-07,5.530507110051985e-07
1925,7.841700835342635e-07,5.807037837257667e-07
1926,8.537942335351545e-07,6.030060717421293e-07
1927,8.897081329450884e-07,5.886790859221946e-07
1928,7.644021593478101e-07,6.021523972776777e-07
1929,7.542055300291395e-07,5.592484058070113e-07
1930,8.707487495485111e-07,6.648780868090398e-07
1931,9.010231565298454e-07,5.862353305019496e-07
1932,8.482681437271822e-07,7.036022680040332e-07
1933,7.570637308162986e-07,6.446512088587042e-07
1934,9.585264706402086e-07,7.416597895826271e-07
1935,1.0639804486345383e-06,7.276717042259406e-07
1936,1.0790995474962983e-06,7.396075716314954e-07
1937,9.267063205697923e-07,7.403577342302015e-07
1938,9.16640658488177e-07,7.843954676900466e-07
1939,9.788192301130039e-07,1.0354071946494514e-06
1940,9.686690418675425e-07,8.393441248699673e-07
1941,1.000559336716833e-06,9.710443009680603e-07
1942,9.739819688547868e-07,8.98126700121793e-07
1943,1.1032293514290359e-06,8.854867132868094e-07
1944,1.2659953654292622e-06,7.808042141732585e-07
1945,1.0195399227086455e-06,6.186951395648066e-07
1946,1.2473309425331536e-06,7.141526339182747e-07
1947,1.0681100093279383e-06,6.806817509641405e-07
1948,1.0480499668119592e-06,8.65402284944139e-07
1949,1.0376577392889885e-06,7.676900395381381e-07
1950,1.084806854123599e-06,7.561741881545458e-07
1951,9.861796570476145e-07,6.983217986089585e-07
1952,1.0239004950562958e-06,6.010538413647737e-07
1953,1.1603411849137046e-06,7.024535193522752e-07
1954,1.01634373095294e-06,7.6323505027176e-07
