year,dois_VERB acheter_VERB,dois_VERB racheter_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,3.5599443393152796e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,1.0025615893027862e-09,4.010246357211145e-09
1823,0.0,0.0
1824,1.6842225392110777e-09,0.0
1825,8.805443041381977e-10,8.805443041381977e-10
1826,0.0,0.0
1827,1.8434546111834038e-09,0.0
1828,9.172301251858528e-10,9.172301251858528e-10
1829,1.0287811491593857e-08,0.0
1830,0.0,0.0
1831,0.0,1.5591206103948707e-09
1832,0.0,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,9.334530925997342e-10
1835,7.563087933704082e-10,7.563087933704082e-10
1836,6.720750067579218e-10,1.3441500135158435e-09
1837,3.478945576063097e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,3.4957374772659477e-09,6.9914751765765e-10
1840,0.0,0.0
1841,1.2841097074556274e-09,0.0
1842,8.720745015011744e-09,0.0
1843,4.7255288571079745e-09,1.7720733769266417e-09
1844,4.9397050894128824e-09,0.0
1845,3.348136878855712e-09,5.580227946389016e-10
1846,1.8734404250153602e-08,4.0981511517657054e-09
1847,6.47186837454683e-09,2.6966118227278457e-09
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,2.513824481908955e-09,1.6758829879393033e-09
1850,3.394498016007219e-09,4.073397619208663e-09
1851,3.2247193804124663e-09,6.449438760824933e-10
1852,0.0,0.0
1853,5.3747388761848924e-09,0.0
1854,7.79349651480743e-09,0.0
1855,6.368324534378189e-09,5.306937111981824e-10
1856,3.1063134287023786e-09,0.0
1857,3.4170564155999728e-09,0.0
1858,1.9574704079872163e-09,3.9149408159744326e-09
1859,5.092173349652285e-09,1.018434669930457e-09
1860,1.373155145145688e-09,2.746310290291376e-09
1861,2.8295783494058924e-09,9.431927461278633e-10
1862,6.776979422085105e-09,9.035972525772706e-10
1863,4.994620828036034e-10,0.0
1864,2.8768367688059016e-09,9.589455896019672e-10
1865,4.706844358715045e-10,2.8241067262513297e-09
1866,1.9462451650298362e-09,9.731225825149181e-10
1867,5.82337378318698e-09,1.455843445796745e-09
1868,8.397785578040384e-09,4.93987406535723e-10
1869,7.325278605918584e-09,2.441759683335931e-09
1870,4.013834153937523e-09,5.734048791339319e-10
1871,4.248470908407853e-09,0.0
1872,3.0236697590169115e-09,1.8142017887967654e-09
1873,5.387403856360606e-09,0.0
1874,5.974609251779839e-09,5.974609140757536e-10
1875,5.149374260327022e-09,5.721527140956084e-10
1876,1.813804439976252e-09,0.0
1877,3.710889595609501e-09,0.0
1878,5.435179861734696e-09,0.0
1879,9.163987790827832e-09,0.0
1880,1.0910338410496934e-08,0.0
1881,8.367009307619355e-09,0.0
1882,1.3310770263785798e-09,0.0
1883,2.5277355764075082e-09,6.319338941018771e-10
1884,3.300848483434038e-09,2.6406787867472303e-09
1885,6.445635691854079e-10,0.0
1886,2.5813855497602844e-09,0.0
1887,6.528924623161458e-10,0.0
1888,6.340614699951175e-09,0.0
1889,3.759081934617825e-09,6.265136742733546e-10
1890,0.0,0.0
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,1.2537024751679837e-09,0.0
1893,6.158416554491453e-10,0.0
1894,0.0,6.301539290376468e-10
1895,6.6204757231957956e-09,0.0
1896,1.179405795248556e-09,0.0
1897,2.330685422435863e-09,0.0
1898,2.8291773368493978e-09,1.13167097914868e-09
1899,5.527578395003729e-10,3.3165470370022376e-09
1900,8.824790675987515e-09,0.0
1901,5.58873880507349e-09,3.353243460679778e-09
1902,1.3748794991386148e-08,1.4730852093691738e-09
1903,1.6200660812870638e-09,5.400220270956879e-10
1904,4.837162670412454e-09,0.0
1905,5.160759042333041e-10,0.0
1906,4.629765903985117e-09,0.0
1907,5.142843373384665e-10,5.142843373384665e-10
1908,4.4202499438483756e-09,0.0
1909,1.1001967115120692e-09,5.500983557560346e-10
1910,2.137660271017694e-09,0.0
1911,1.5961122423746588e-09,0.0
1912,6.251305251225858e-09,5.209421227725386e-10
1913,6.893886794756554e-09,0.0
1914,1.0045115850232378e-08,0.0
1915,7.068456930880984e-09,2.3561523843085297e-09
1916,1.0987462051303964e-09,0.0
1917,0.0,8.773139548168274e-09
1918,0.0,0.0
1919,3.6831393490643904e-09,0.0
1920,5.300562211374427e-09,0.0
1921,4.543648568500203e-09,0.0
1922,1.1066902949607993e-08,0.0
1923,3.1847844361720945e-09,4.246379248229459e-09
1924,0.0,0.0
1925,2.1996355847875293e-09,0.0
1926,4.458455382660986e-09,0.0
1927,2.2298449753321847e-09,3.3447675740205796e-09
1928,1.1426041224282812e-09,4.570416489713125e-09
1929,1.1140405931087116e-08,0.0
1930,2.100720708497761e-09,0.0
1931,4.5621426636444085e-09,1.1405356659111021e-09
1932,1.2055489939655217e-08,0.0
1933,0.0,0.0
1934,4.7926320689839486e-09,0.0
1935,4.787313656606784e-09,1.196828414151696e-09
1936,2.424942913137329e-09,0.0
1937,1.2591118148108649e-09,1.2591118148108649e-09
1938,6.482607339819424e-09,1.2965214457594243e-09
1939,3.058810094103137e-09,1.5294050470515685e-09
1940,5.0715658339584024e-09,0.0
1941,0.0,5.9030051957620344e-09
1942,0.0,0.0
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,3.2131861615880553e-09,0.0
1945,2.178504043826024e-09,0.0
1946,1.1136883415474585e-08,0.0
1947,8.344609447874518e-09,0.0
1948,7.610321262063735e-09,0.0
1949,1.0798709482173763e-08,0.0
1950,9.571825110299415e-09,0.0
1951,1.0661401539380222e-08,1.0661401761424827e-09
1952,1.0544804140977249e-08,2.1089607837865287e-09
1953,4.3095309543161875e-09,1.0773827385790469e-09
1954,1.3681550115052232e-08,9.772536113672459e-10
1955,4.6928039232341234e-09,2.815682353940474e-09
1956,5.232684952005684e-09,0.0
1957,3.534015080575159e-09,0.0
1958,9.099467845885556e-09,0.0
1959,1.007597205671118e-08,0.0
1960,1.1765417085030094e-08,4.152500121534786e-09
1961,4.86371165564492e-09,4.86371165564492e-09
1962,1.2683912586908264e-08,2.5367825617905737e-09
1963,1.3578711488548834e-08,0.0
1964,7.300761772910391e-09,0.0
1965,9.302473458205895e-09,5.472043373977442e-10
1966,1.1078149952936656e-08,2.769537488234164e-09
1967,9.367637332502454e-09,9.860671168482327e-10
1968,5.838840522187638e-09,1.7965663401398047e-09
1969,9.083515273289322e-09,0.0
1970,1.1496812390987543e-08,4.5987250119061684e-10
1971,6.679916619845017e-09,0.0
1972,3.0780880067027283e-09,0.0
1973,1.1026407342740185e-08,5.513203782392395e-10
1974,5.625571564138454e-09,0.0
1975,9.709516746170266e-09,1.1422960355389478e-09
1976,1.7711933253394818e-08,0.0
1977,5.289103821581875e-09,5.876781838942691e-10
1978,7.128709622605811e-09,2.970295565063452e-09
1979,7.607565244427406e-09,5.851973350345929e-10
1980,7.390696055153967e-09,2.2740602734216964e-09
1981,6.325549417596221e-09,2.5302198114474095e-09
1982,2.483000915987077e-09,0.0
1983,8.841442245000053e-09,1.89459470334441e-09
1984,1.333771937339634e-08,5.799008495621649e-10
1985,1.804667348892508e-08,6.015558051686298e-10
1986,2.2179596825822046e-08,1.1988970927134801e-09
1987,1.099947066762752e-08,6.110816852533674e-10
1988,1.798966131616453e-08,0.0
1989,2.140367705294466e-08,0.0
1990,2.1249737969242233e-08,0.0
1991,1.3481369798284959e-08,1.1722930404189924e-09
1992,6.61193322315512e-09,0.0
1993,1.3294098266669607e-08,1.661762283333701e-09
1994,2.162719958676007e-08,1.0549853213248639e-09
1995,1.3013881527967897e-08,1.626735190995987e-09
1996,1.1743802375008272e-08,5.338092190498855e-10
1997,1.006927874414032e-08,4.79489448146353e-10
1998,1.0489884516573511e-08,4.768129224785866e-10
1999,8.683382013430219e-09,1.3710603763428253e-09
2000,1.7230322058026104e-08,0.0
2001,2.4534786646768225e-08,1.7524847129024579e-09
2002,2.4972962364699924e-08,8.76244299341522e-10
2003,2.4584844382502524e-08,0.0
2004,1.9381081628466745e-08,1.3214374039449694e-09
2005,1.7564623533417034e-08,1.8014998381943315e-09
2006,1.4412615101377924e-08,8.235779835885637e-10
2007,2.0371844655642235e-08,1.997239706952314e-09
2008,3.363377487630714e-08,1.7029758714315335e-09
2009,3.1946889578193804e-08,2.860915504498962e-09
2010,4.959982646823846e-08,4.723793023408973e-10
2011,4.665245967316878e-08,1.529588788962144e-09
2012,3.948933269271038e-08,6.808505426114664e-10
2013,4.9088601628000106e-08,4.741512515948898e-09
2014,4.547434784285542e-08,4.547434873103384e-09
2015,4.876465808933972e-08,5.098123256885856e-09
2016,4.494807726018735e-08,4.349814286541687e-09
2017,4.8048175216308664e-08,6.037467414898856e-09
2018,5.653411960793164e-08,5.162933192082164e-09
2019,5.5356434103259744e-08,2.806086474294034e-09
