year,voulais_VERB ajouter_VERB,voulais_VERB rajouter_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,1.0898113522728181e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,5.012807946513931e-09,0.0
1823,9.882686891060644e-10,0.0
1824,2.5263338088166165e-09,0.0
1825,5.283265824829186e-09,0.0
1826,4.403992281964975e-09,0.0
1827,4.608636583469661e-09,0.0
1828,7.337841001486822e-09,0.0
1829,0.0,0.0
1830,2.1917355041978226e-08,0.0
1831,4.5214498811674275e-08,0.0
1832,2.705993873419743e-09,0.0
1833,8.108539617524002e-09,0.0
1834,5.600718555598405e-09,0.0
1835,9.832014313815307e-09,0.0
1836,1.5457725766054864e-08,0.0
1837,2.7831563720326358e-09,0.0
1838,5.049729523420865e-09,0.0
1839,4.194885327990505e-09,0.0
1840,5.732719632334238e-09,0.0
1841,8.346713542550788e-09,0.0
1842,1.1404051036834062e-08,0.0
1843,6.497602011990011e-09,0.0
1844,1.0977122322231025e-08,0.0
1845,4.464182357111213e-09,0.0
1846,4.0981511517657054e-09,0.0
1847,5.3932236454556914e-09,0.0
1848,2.413566457803995e-09,0.0
1849,3.351765798242923e-08,0.0
1850,1.1541293254424545e-08,0.0
1851,1.096404567135778e-08,0.0
1852,6.510545436100301e-10,0.0
1853,1.3138249599364826e-08,0.0
1854,2.6497888327980945e-08,0.0
1855,1.4859423913549108e-08,0.0
1856,3.6240324075009767e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,4.893676130990343e-09,0.0
1859,4.073738679721828e-09,0.0
1860,3.204028820036342e-09,0.0
1861,8.017138064531082e-09,0.0
1862,1.2650361647104091e-08,0.0
1863,3.995696662428827e-09,0.0
1864,8.151037178549814e-09,0.0
1865,4.23615986733239e-09,0.0
1866,6.811858188626729e-09,0.0
1867,3.88224918879132e-09,0.0
1868,1.432563490055827e-08,0.0
1869,9.278686263769487e-09,0.0
1870,1.4335121534259088e-08,0.0
1871,2.8677177965619194e-08,0.0
1872,1.269941218851045e-08,0.0
1873,1.3169209722718733e-08,0.0
1874,7.169530746864439e-09,0.0
1875,2.689117728493784e-08,0.0
1876,7.859819461941697e-09,0.0
1877,3.710889595609501e-09,0.0
1878,7.850815109122777e-09,0.0
1879,4.887460214320072e-09,0.0
1880,9.626769603698904e-09,0.0
1881,1.324776466304911e-08,0.0
1882,7.986462158271479e-09,0.0
1883,1.2006744043446815e-08,0.0
1884,9.242375753615306e-09,0.0
1885,7.090199094506033e-09,0.0
1886,1.7424351739236954e-08,0.0
1887,9.793386546164129e-09,0.0
1888,1.268122939990235e-08,0.0
1889,1.6915869593958632e-08,0.0
1890,1.1797895993481688e-08,0.0
1891,7.0116419337296065e-09,0.0
1892,3.1342561879199593e-09,0.0
1893,8.005941687372342e-09,0.0
1894,6.9316934414587195e-09,0.0
1895,6.6204757231957956e-09,0.0
1896,4.717623180994224e-09,0.0
1897,7.574727511894253e-09,0.0
1898,9.619203211741478e-09,0.0
1899,1.2160672469008205e-08,0.0
1900,1.557315876254961e-08,0.0
1901,3.353243460679778e-09,0.0
1902,8.347482705062248e-09,0.0
1903,2.1600881083827517e-09,0.0
1904,8.599400302955473e-09,0.0
1905,9.805441791854719e-09,0.0
1906,1.4403716441790948e-08,0.0
1907,6.685696440911215e-09,0.0
