year,aurez_VERB apporté_VERB,aurez_VERB rapporté_VERB
1800,0.0,0.0
1801,4.7623651688866175e-09,0.0
1802,1.3427040812530322e-08,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.562259560079383e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,2.384235386898581e-08,0.0
1819,4.140420006848444e-09,0.0
1820,3.9159388620646496e-08,0.0
1821,4.930744257336528e-09,0.0
1822,4.010246357211145e-09,0.0
1823,2.569498569471307e-08,9.882686891060644e-10
1824,6.736890156844311e-09,0.0
1825,3.522177216552791e-09,0.0
1826,6.1655889282974385e-09,0.0
1827,7.373818444733615e-09,4.608636583469661e-09
1828,5.503380862137419e-09,3.668920500743411e-09
1829,3.429270423183084e-09,1.714635211591542e-09
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,7.795603274018958e-09,0.0
1832,1.2176972319366541e-08,0.0
1833,9.266902800675325e-09,3.4750886612755494e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,1.0588323107185715e-08,1.5126175867408165e-09
1836,2.6210924986003192e-08,3.36037508930076e-09
1837,2.7831563720326358e-09,6.957890930081589e-10
1838,1.1361890983607736e-08,0.0
1839,3.4957374772659477e-09,5.5931801412612e-09
1840,5.732719632334238e-09,6.369688665408546e-10
1841,3.852329122366882e-09,0.0
1842,4.695785538189057e-09,2.683306021822318e-09
1843,8.860366662588604e-09,5.906911071384968e-10
1844,1.0428266250528395e-08,1.097712254427563e-09
1845,6.138250796539069e-09,3.9061593959388574e-09
1846,4.6836010625384006e-09,3.5127007969038004e-09
1847,4.853901280910122e-09,9.707802561820245e-09
1848,9.65426583121598e-09,1.045878850192139e-08
1849,2.513824481908955e-09,5.865590679832167e-09
1850,2.0366988096043315e-09,4.752297222410107e-09
1851,1.9348316282474798e-09,0.0
1852,1.3021090872200602e-08,1.3672145193766028e-08
1853,7.166318205520383e-09,5.971931837933653e-10
1854,1.454786069388092e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,5.177189343896771e-09,0.0
1857,5.857811125054013e-09,0.0
1858,2.936205500958522e-09,1.9574704079872163e-09
1859,3.055304009791371e-09,0.0
1860,7.781213007262977e-09,0.0
1861,4.2443675241088386e-09,4.715963730639317e-10
1862,1.581295272501393e-08,3.162590411776023e-09
1863,8.990317823531768e-09,0.0
1864,6.233146443435089e-09,4.794727948009836e-10
1865,3.294791106611683e-09,9.88437331983505e-09
1866,9.731225603104576e-09,4.865612912574591e-10
1867,1.455843445796745e-09,7.76449837758264e-09
1868,1.975949626142892e-09,0.0
1869,5.371870948067681e-09,9.767038289254515e-10
1870,1.7202146374017957e-09,1.7202146374017957e-09
1871,1.0621176826930423e-08,5.3105884134652115e-09
1872,1.69325495846806e-08,1.8142017887967654e-09
1873,5.9860045809045914e-09,0.0
1874,4.779687312606029e-09,5.974609140757536e-10
1875,3.432916173551348e-09,5.721527140956084e-10
1876,4.232210137899983e-09,2.418405919968336e-09
1877,9.27722432209066e-09,0.0
1878,6.039088784604019e-09,0.0
1879,2.871382953628654e-08,6.10932526790009e-10
1880,5.134277003548959e-09,3.2089231272180996e-09
1881,9.064259565150223e-09,6.972507571312292e-10
1882,7.986462158271479e-09,0.0
1883,6.951272890631799e-09,0.0
1884,3.300848483434038e-09,6.601696966868076e-10
1885,6.445635580831777e-09,0.0
1886,3.2267319927115068e-09,0.0
1887,6.528924512139156e-09,6.528924623161458e-10
1888,1.2047167707862627e-08,0.0
1889,1.3783300722991498e-08,2.5060546970934183e-09
1890,1.9663159989136147e-09,0.0
1891,7.0116419337296065e-09,0.0
1892,6.268512375839919e-10,1.2537024751679837e-09
1893,7.390100087434348e-09,0.0
1894,9.452309157609307e-09,0.0
1895,1.8055843487019274e-09,0.0
1896,3.5382172747233653e-09,0.0
1897,3.4960281336537946e-09,0.0
1898,2.26334195829736e-09,1.13167097914868e-09
1899,8.291367592505594e-09,0.0
1900,6.22926377147337e-09,3.114631885736685e-09
1901,8.38310842965484e-09,1.1177477832191585e-09
1902,9.820567692386817e-10,0.0
1903,2.7001101354784396e-09,0.0
1904,3.2247751136083025e-09,2.1498500757388683e-09
1905,4.64468330463319e-09,5.160759042333041e-10
1906,5.144184633820714e-09,0.0
1907,1.0285686968813934e-08,5.142843373384665e-10
1908,8.840499887696751e-09,0.0
1909,8.251475058784763e-09,5.500983557560346e-10
1910,7.481810726517324e-09,1.068830135508847e-09
1911,9.044636151145369e-09,5.320374141248863e-10
1912,5.2094213387476884e-09,0.0
1913,4.242391771214216e-09,4.772690687104841e-09
1914,1.4063162190325329e-08,6.696743715117748e-10
1915,8.246533234057551e-09,1.0602685840410686e-08
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,3.289927441585405e-09,0.0
1918,1.1486376294556067e-09,2.2972752589112133e-09
1919,9.207848705727883e-09,9.207848372660976e-10
1920,6.057785384427916e-09,7.572231730534895e-10
1921,9.087297137000405e-09,1.5145494858259667e-09
1922,8.115729421831475e-09,7.377935484775833e-10
1923,0.0,1.0615948120573648e-09
1924,7.734974438733389e-09,0.0
1925,7.698724324711748e-09,0.0
1926,6.687683296036084e-09,0.0
1927,6.689535148041159e-09,0.0
1928,3.4278122562625413e-09,0.0
1929,5.570202965543558e-09,7.798284684668033e-09
1930,1.0503603542488804e-09,0.0
1931,1.0264820993199919e-08,1.1405356659111021e-09
1932,9.863582839386709e-09,0.0
1933,5.735331320977366e-09,0.0
1934,1.677421224144382e-08,0.0
1935,1.196828414151696e-09,0.0
1936,8.487299751891442e-09,0.0
1937,7.554670666820584e-09,0.0
1938,5.186085783037697e-09,0.0
1939,6.117620188206274e-09,0.0
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,1.2136847082899749e-08,0.0
1943,2.9032352077962287e-09,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,6.960552134671616e-09,0.0
1947,1.1920870957027319e-09,0.0
1948,7.610321262063735e-09,0.0
1949,2.945102384188658e-09,1.9634016634739737e-09
1950,2.1270722960764488e-09,0.0
1951,3.1984206394497505e-09,0.0
1952,2.1089607837865287e-09,0.0
1953,3.232148326759443e-09,0.0
1954,7.818028890937967e-09,0.0
1955,1.8771215692936494e-09,0.0
1956,1.744228317335228e-09,1.744228317335228e-09
1957,2.6505113659425206e-09,0.0
1958,5.790570245522986e-09,0.0
1959,5.425523585955716e-09,2.325224457422337e-09
1960,2.076250060767393e-09,0.0
1961,2.08444772553662e-09,0.0
1962,8.8787386332001e-09,2.5367825617905737e-09
1963,1.939815863494232e-09,1.2932106496776896e-09
1964,1.2167936658258327e-09,0.0
1965,7.1136563306595235e-09,0.0
1966,3.8773522170743036e-09,0.0
1967,4.437302081328198e-09,0.0
1968,5.3896989093971115e-09,4.4914158503495116e-10
1969,3.1792304344691047e-09,1.3625273131978588e-09
1970,4.598724956395017e-09,0.0
1971,1.541519245584766e-09,0.0
1972,4.104117490300041e-09,5.130146862875051e-10
1973,2.205281512956958e-09,0.0
1974,3.3753431161187564e-09,0.0
1975,2.8557400888473694e-09,0.0
1976,2.856763492431469e-09,2.856763492431469e-09
1977,3.526069214387917e-09,0.0
1978,2.3762365408686037e-09,0.0
1979,4.681578680276743e-09,1.1703946700691858e-09
1980,1.7055452605774235e-09,0.0
1981,4.427884725544118e-09,6.325549528618524e-10
1982,2.483000915987077e-09,1.8622506869903077e-09
1983,3.157658134966823e-09,2.5261264191556165e-09
1984,3.479405208395292e-09,0.0
1985,1.2031116103372597e-09,1.2031116103372597e-09
1986,1.7983456945813714e-09,5.994485463567401e-10
1987,5.49973533381376e-09,0.0
1988,1.1993107618124554e-09,0.0
1989,1.0976244357863152e-09,2.1952488715726304e-09
1990,0.0,1.089730194969718e-09
1991,4.68917216167597e-09,0.0
1992,3.856960972825618e-09,0.0
1993,2.2156829704300662e-09,5.539207426075166e-10
1994,7.384897138251745e-09,1.0549853213248639e-09
1995,2.7112254663563817e-09,5.422450821690461e-10
1996,1.067618438099771e-09,0.0
1997,9.58978896292706e-10,4.79489448146353e-10
1998,1.43043876743576e-09,4.768129224785866e-10
1999,9.140402323914998e-10,0.0
2000,6.185244316725402e-09,1.7672125984802278e-09
2001,1.3143635069212678e-09,1.7524847129024579e-09
2002,4.38122149670761e-10,0.0
2003,4.166922806803086e-09,8.333845835650777e-10
2004,3.0833537945085254e-09,8.809582507929292e-10
2005,4.503749373441224e-09,0.0
2006,0.0,4.1178899179428186e-10
2007,2.7961355453243186e-09,3.994479469415779e-10
2008,5.108927503272298e-09,0.0
2009,1.430457752249481e-09,1.430457752249481e-09
2010,4.723792912386671e-09,4.723793023408973e-10
2011,8.030340836739924e-09,3.82397197240536e-10
2012,4.425528388196653e-09,6.808505426114664e-10
2013,7.530637446961919e-09,2.5102124823206395e-09
2014,7.362513709807672e-09,4.330890368553497e-10
2015,5.984753581600444e-09,8.866301581811342e-10
2016,7.45682449121432e-09,1.6570720351438695e-09
2017,2.087957362562065e-08,2.515611330355938e-10
2018,6.711813327342497e-09,2.323319980845895e-09
2019,7.1427654901867754e-09,2.04079020349468e-09
