year,avons_VERB envoyé_VERB,avons_VERB renvoyé_VERB
1800,1.2891074163690064e-07,8.489244152087849e-08
1801,2.6193009716735105e-07,8.334139067756041e-08
1802,1.5888664961494214e-07,1.1189200677108602e-07
1803,1.5212646076179226e-07,1.2872239096850535e-07
1804,2.1999473176492756e-07,3.707776485839531e-08
1805,1.2224374756897305e-07,7.960057502032214e-08
1806,2.5935023018064385e-07,7.780506905419315e-08
1807,1.5658253005312872e-07,1.508886242618246e-07
1808,1.8128591250388126e-07,5.891792298484688e-08
1809,9.487928309681593e-08,1.219876537561504e-07
1810,1.3806747745093162e-07,5.616304221689461e-08
1811,1.8301660986708157e-07,5.766276700569506e-08
1812,1.3069320914382843e-07,1.226915742336132e-07
1813,1.9555042740648787e-07,1.2078115219082974e-07
1814,1.9824065589091333e-07,1.950939889638903e-07
1815,7.552225866902518e-08,6.203614333344376e-08
1816,1.228330006597389e-07,7.879853569647821e-08
1817,1.665854512111764e-07,1.1053801074467628e-07
1818,2.1815755246734625e-07,1.096748292184202e-07
1819,2.5567092620804033e-07,1.1489665752151268e-07
1820,3.18021704970306e-07,1.4358441546846734e-07
1821,3.7966731269989396e-07,1.370746929296729e-07
1822,3.4989398045581765e-07,7.318699601910339e-08
1823,1.640526079427218e-07,6.522573414713406e-08
1824,5.086351961836044e-07,8.58953512761218e-08
1825,2.659243705238623e-07,1.2855946351919556e-07
1826,2.6600113756103383e-07,9.688783109140786e-08
1827,2.3411872973611025e-07,1.2351145528555207e-07
1828,1.9261833017480967e-07,1.201571393494305e-07
1829,2.417635585061362e-07,1.2602568233432976e-07
1830,2.390035547250591e-07,2.0560567293159693e-07
1831,2.6193225721726776e-07,8.419251429359065e-08
1832,1.8130158707663213e-07,1.6235962618793565e-07
1833,1.4479535082045913e-07,9.382738852536932e-08
1834,2.8750355340889655e-07,8.58776871837108e-08
1835,3.2143123007699614e-07,1.187404805591541e-07
1836,2.7487868692332995e-07,1.1694105239712371e-07
1837,3.8337978480740276e-07,1.3011255362016527e-07
1838,3.6484294696492725e-07,7.700837301172214e-08
1839,3.362899576586642e-07,1.4122780100933596e-07
1840,6.681803483843396e-07,1.178392423639707e-07
1841,5.078653657619725e-07,1.0401288363937056e-07
1842,4.2262070110155037e-07,7.848669980603518e-08
1843,4.117117100577161e-07,8.033399012674636e-08
1844,4.127398085529421e-07,1.201994876964818e-07
1845,4.1740105416465667e-07,8.7051553521178e-08
1846,2.663797999957751e-07,1.1123552212666254e-07
1847,3.92626674283747e-07,8.25163226636505e-08
1848,2.9445510563164135e-07,9.49336182998195e-08
1849,2.262441967104678e-07,1.0222886004385145e-07
1850,2.484772494426579e-07,8.078905011643656e-08
1851,2.1670113881100406e-07,7.739326690625603e-08
1852,3.37246262915869e-07,6.380334838240742e-08
1853,2.5679307213977154e-07,8.659301187208257e-08
1854,2.5198971798090497e-07,8.728716238692869e-08
