year,devons_VERB appliquer_VERB
1800,4.087413785214267e-08
1801,7.143547975374531e-09
1802,8.951360541686881e-09
1803,1.1702034896643454e-08
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,4.27043254092041e-08
1808,9.064295980465431e-09
1809,0.0
1810,3.2761775514700275e-08
1811,5.0141535368197765e-09
1812,1.8670457180292033e-08
1813,3.163315653864629e-08
1814,0.0
1815,1.0788894222457657e-08
1816,6.952811659743929e-09
1817,2.490997452753163e-08
1818,1.0729059418679299e-08
1819,3.1053151161586356e-08
1820,9.493184904840746e-09
1821,1.3806083387635226e-08
1822,2.606660132187244e-08
1823,2.3718449426723964e-08
1824,1.51580028528997e-08
1825,1.2327619813845558e-08
1826,1.0569580766173203e-08
1827,7.373818444733615e-09
1828,2.0179061976932644e-08
1829,3.8579290873030914e-08
1830,9.39315203396518e-09
1831,1.091384405071949e-08
1832,2.705993873419743e-09
1833,2.7800709290204395e-08
1834,4.667265685043276e-09
1835,6.806779140333674e-09
1836,3.8308275662757296e-08
1837,1.87863058442872e-08
1838,3.029837714052519e-08
1839,1.677954131196202e-08
1840,2.4841785517537573e-08
1841,1.7977535904378783e-08
1842,1.542900918138912e-08
1843,3.1306630177141415e-08
1844,2.7442807137845193e-08
1845,3.794555070157912e-08
1846,3.1614305839866574e-08
1847,1.3483059113639229e-08
1848,1.206783295515379e-08
1849,3.5193544078993e-08
1850,1.968808760466345e-08
1851,2.3862924081186065e-08
1852,6.510545436100301e-09
1853,2.149895550473957e-08
1854,3.4291385730966795e-08
1855,2.812676669350367e-08
1856,3.158085348786699e-08
1857,2.5871997877402464e-08
1858,3.670256987220455e-08
1859,1.2221216039165483e-08
1860,3.4786598490654796e-08
1861,1.6034276129062164e-08
1862,2.710791768834042e-08
1863,1.39849385405455e-08
1864,1.965838514195184e-08
1865,3.153585836912498e-08
1866,3.405929049904444e-08
1867,1.455843445796745e-08
1868,1.9265508299781686e-08
1869,2.2952539424636598e-08
1870,2.0069171213776826e-08
1871,1.805600113868877e-08
1872,1.0885210954825197e-08
1873,1.7359413462259e-08
1874,2.6288279997288555e-08
1875,2.9751941355016243e-08
1876,2.6602464231473277e-08
1877,2.040989244278535e-08
1878,3.6838439854136595e-08
1879,9.774920428640144e-09
1880,1.9895322722618403e-08
1881,2.3009274485730202e-08
1882,2.1962771157291172e-08
1883,3.222862687835004e-08
1884,4.7532218161450146e-08
1885,2.7716232864349877e-08
1886,1.677900662855336e-08
1887,5.4842967500690065e-08
1888,2.3460273723685532e-08
1889,2.1301465480405568e-08
1890,3.342736931699619e-08
1891,2.6134301833735663e-08
1892,3.5103667528346705e-08
1893,1.4780200174868696e-08
1894,1.8904618315218613e-08
