year,six_DET aides_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,1.5664880947952042e-08
1803,9.751696339321825e-09
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,1.152667650217154e-08
1807,0.0
1808,0.0
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,4.405347908686963e-08
1815,1.3486118000116676e-08
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,0.0
1821,2.9584463767662328e-09
1822,0.0
1823,1.7788837070042973e-08
1824,6.736890156844311e-09
1825,7.044354655150187e-09
1826,8.984144272972117e-08
1827,0.0
1828,4.586150681440415e-09
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,3.585977381703742e-08
1832,1.3529969367098715e-09
1833,2.3167256557599103e-08
1834,2.8003592777992026e-09
1835,1.0588323107185715e-08
1836,1.344150035720304e-08
1837,2.0177884252348122e-08
1838,1.1361891649741551e-08
1839,4.894032845648155e-09
1840,2.038300300766238e-08
1841,1.4767261191650505e-08
1842,1.1404050592744852e-08
1843,1.4176586238257016e-08
1844,1.866110865833548e-08
1845,2.2320911785556063e-09
1846,1.6392603052750587e-08
1847,1.1325769655456952e-08
1848,1.850401076808339e-08
1849,2.8490010794968157e-08
1850,1.0183494048021657e-08
1851,9.674158008010636e-08
1852,1.9531636752390114e-08
1853,2.149895550473957e-08
1854,9.871762296498332e-09
1855,3.131092896069276e-08
1856,4.7112422130179965e-08
1857,4.149282872845106e-08
1858,1.8595969208945462e-08
1859,2.036869339860914e-09
1860,1.8766454251695208e-08
1861,3.301174722469824e-09
1862,9.035972858839614e-09
1863,2.3974180862751382e-08
1864,4.315255264231155e-09
1865,2.0710115844480015e-08
1866,2.919367692033603e-09
1867,1.2132028714972876e-08
1868,8.89177353968762e-09
1869,1.3673853271889413e-08
1870,7.454262984651905e-09
1871,1.1683294776076991e-08
1872,4.837871325769072e-09
1873,1.2570609442263958e-08
1874,8.961913877669758e-09
1875,1.3159512035620935e-08
1876,3.627608879952504e-09
1877,6.184816214727107e-09
1878,3.6234530931267273e-09
1879,8.553055375060126e-09
1880,9.626769603698904e-09
1881,1.045876096839038e-08
1882,1.3976308999019693e-08
1883,1.516641390253426e-08
1884,1.5183903911974994e-08
1885,5.801072122668671e-09
1886,1.2261581472383654e-08
1887,1.7628095927424425e-08
1888,5.706553452000662e-09
1889,1.5662841412744655e-08
1890,5.898947996740844e-09
1891,5.736797925592896e-09
1892,1.191017373614045e-08
1893,1.1700991342511458e-08
1894,1.1972924873759894e-08
1895,2.2268873411945833e-08
1896,3.5382172747233653e-09
1897,1.1070755867592652e-08
1898,3.960848538042683e-09
1899,1.2160672469008205e-08
1900,1.0901211155989188e-08
1901,1.7325090695408107e-08
1902,2.307833357750866e-08
1903,1.2420506401156217e-08
1904,8.599400302955473e-09
1905,1.7030505006232488e-08
1906,8.745113411201544e-09
1907,8.74283373475393e-09
1908,6.3848060172233545e-09
1909,4.400786846048277e-09
1910,8.550641084070776e-09
1911,6.3844490805209375e-09
1912,1.3023552680735406e-08
1913,8.484783153850373e-09
1914,1.1384464315700171e-08
1915,3.534228643076176e-08
1916,7.69122365795738e-09
1917,4.386569774084137e-09
1918,1.8378202071289707e-08
1919,3.6831393490643904e-09
1920,3.028892692213958e-09
1921,4.543648568500203e-09
1922,9.591315908163978e-09
1923,1.4862327368803108e-08
1924,1.289162443462999e-09
1925,0.0
1926,2.229227691330493e-09
1927,4.4596899506643695e-09
1928,5.713020723163709e-09
1929,3.342121912552898e-09
1930,8.402882833991043e-09
1931,1.1405356659111021e-08
1932,4.383814644626227e-09
1933,5.735331098932761e-09
1934,8.38710612072191e-09
1935,0.0
1936,1.2124714565686645e-09
1937,6.295558963032022e-09
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,0.0
1942,0.0
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,1.0728784083369192e-08
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,0.0
1953,3.232148326759443e-09
1954,9.772536113672459e-10
1955,0.0
1956,5.232684952005684e-09
1957,3.534015080575159e-09
1958,2.4816730892496253e-09
1959,5.425523585955716e-09
1960,2.076250060767393e-09
1961,1.3896318540318475e-09
1962,0.0
1963,6.466053248388448e-10
1964,3.6503808864551957e-09
1965,3.830430472806512e-09
1966,1.6617224263271169e-09
1967,1.9721342336964653e-09
1968,4.940557296606585e-09
1969,9.537691081362709e-09
1970,3.219107425067591e-09
1971,3.5968781286754847e-09
1972,1.5390440033513642e-09
1973,0.0
1974,6.750686010192908e-09
1975,1.0851811893530794e-08
1976,5.142174241967723e-09
1977,1.7630346071939584e-09
1978,4.158414057542359e-09
1979,2.925986564150662e-09
1980,3.97960553399912e-09
1981,6.325549528618524e-10
1982,1.2415004579935385e-09
1983,2.5261264191556165e-09
1984,4.639206796497319e-09
1985,6.617113967877231e-09
1986,1.7983456945813714e-09
1987,4.277571907795874e-09
1988,7.195864570874733e-09
1989,3.292873196336643e-09
1990,5.448650919337439e-09
1991,1.7584396161396398e-09
