year,aviez_VERB apporté_VERB,aviez_VERB rapporté_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,8.280840013696888e-09,0.0
1820,4.746592452420373e-08,2.4919611263385377e-08
1821,1.0847637454958203e-08,0.0
1822,9.023054303725075e-09,0.0
1823,7.906149512848515e-09,0.0
1824,1.431589158329416e-08,3.3684450784221553e-09
1825,1.8491430608946757e-08,0.0
1826,1.145037931138404e-08,0.0
1827,2.1199728195142598e-08,1.8434546111834038e-09
1828,1.3758452155343548e-08,1.8344602503717056e-09
1829,9.430493719264632e-09,3.429270423183084e-09
1830,1.6698937344017395e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.841293600397421e-08,0.0
1833,1.7375443306377747e-08,0.0
1834,1.213489042584115e-08,9.334530925997342e-10
1835,1.663879345414898e-08,9.075705520444899e-09
1836,2.016225053580456e-08,2.016224964762614e-09
1837,1.2524203896191466e-08,1.0436836284100082e-08
1838,6.312161904276081e-09,2.5248647617104325e-09
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.3376346252869098e-08,2.5478754661634184e-09
1841,4.494383976094696e-09,1.926164561183441e-09
1842,6.708265054555795e-10,6.037438549100216e-09
1843,1.1813821920725331e-08,0.0
1844,1.0428266250528395e-08,1.6465684371524958e-09
1845,8.928364714222425e-09,0.0
1846,1.3465353276842507e-08,0.0
1847,1.0247124926365814e-08,2.1572894581822766e-09
1848,2.333114323960217e-08,0.0
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,1.3577992064028876e-08,1.3577992064028876e-09
1851,8.384270167027807e-09,3.2247193804124663e-09
1852,1.0416872697760482e-08,1.3021090872200602e-09
1853,6.569124799682413e-09,1.1943863675867306e-09
1854,5.7152309551611324e-09,2.5978321716024766e-09
1855,8.491099379170919e-09,5.306937111981824e-10
1856,2.174419400091665e-08,1.0354378465748937e-09
1857,8.78671624349181e-09,9.763018171682347e-10
1858,4.404308473482388e-09,9.787352039936081e-10
1859,1.2730433596175317e-08,0.0
1860,8.696649622663699e-09,4.577183909670879e-10
1861,8.960331143725853e-09,1.4147891747029462e-09
1862,9.487771457372673e-09,4.066187830886747e-09
1863,5.494082966350788e-09,0.0
1864,1.0068928801842958e-08,1.4384183844029508e-09
1865,1.1296426905005319e-08,1.882737743486018e-09
