year,pouvez_VERB ajouter_VERB,pouvez_VERB rajouter_VERB
1800,5.0306631749208464e-08,0.0
1801,6.667310969987739e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,1.950339267864365e-08,0.0
1804,5.9324420931261557e-08,0.0
1805,3.980028751016107e-08,0.0
1806,6.627838899930794e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,0.0,0.0
1809,5.873479480555943e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,2.400487453257938e-08,0.0
1813,6.326631307729258e-08,0.0
1814,9.125363931161701e-08,0.0
1815,8.361393355471591e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,4.3592454090912724e-08,0.0
1818,6.437435473571895e-08,0.0
1819,7.763287612760905e-08,0.0
1820,7.119888323359191e-08,0.0
1821,8.678109963966563e-08,0.0
1822,4.8122956286533736e-08,0.0
1823,4.644862983127496e-08,0.0
1824,3.2000230021367315e-08,0.0
1825,2.6416328680056722e-08,0.0
1826,2.025836387531399e-08,0.0
1827,3.502563927781921e-08,0.0
1828,8.988855171310206e-08,0.0
1829,5.829759786024624e-08,0.0
1830,8.871310797076148e-08,0.0
1831,9.042899762334855e-08,0.0
1832,3.111892965534935e-08,0.0
1833,5.3284690437749305e-08,0.0
1834,3.453776287187793e-08,0.0
1835,5.445423312266939e-08,0.0
1836,5.712637474175608e-08,0.0
1837,4.940102726891382e-08,0.0
1838,2.398621568033832e-08,0.0
1839,6.292327725532232e-08,0.0
1840,4.458782143501594e-08,0.0
1841,3.5955071808757566e-08,0.0
1842,7.379091471193533e-08,0.0
1843,2.3627643841450663e-08,0.0
1844,3.1833653935109396e-08,0.0
1845,2.7901139176833567e-08,5.580227946389016e-10
1846,3.5127008857216424e-08,0.0
1847,2.534815024546333e-08,0.0
1848,3.539897619475596e-08,0.0
1849,3.854530916669319e-08,0.0
1850,3.530277936647508e-08,0.0
1851,3.0957306051959677e-08,0.0
1852,2.799534470909748e-08,0.0
1853,3.58315901394235e-08,0.0
1854,4.572184764128906e-08,0.0
1855,3.767925349507095e-08,0.0
1856,2.7439103433835044e-08,0.0
1857,3.026535466688074e-08,0.0
1858,3.2787628612140907e-08,0.0
1859,2.2405561850291633e-08,0.0
1860,6.957319698130959e-08,0.0
1861,3.914249901981748e-08,0.0
1862,2.755971628687348e-08,0.0
1863,4.0955889346605545e-08,0.0
1864,2.589153069720851e-08,0.0
1865,3.106517354467542e-08,0.0
1866,3.6978658357611494e-08,0.0
1867,3.8337212515671126e-08,0.0
1868,3.853101659956337e-08,0.0
1869,4.444002499326416e-08,0.0
1870,6.536815533308982e-08,0.0
1871,7.009977309735405e-08,0.0
1872,3.1446163006876304e-08,0.0
1873,4.4895035244962855e-08,0.0
1874,4.899179373296647e-08,0.0
1875,4.863298030954866e-08,0.0
1876,3.4462285469771814e-08,0.0
1877,6.122967732835605e-08,0.0
1878,2.536417298415472e-08,0.0
1879,5.742765907257308e-08,0.0
1880,6.610381575455904e-08,0.0
1881,3.416528571165145e-08,0.0
1882,3.3276926103553706e-08,0.0
1883,2.8437025179073316e-08,0.0
1884,3.498899303622238e-08,0.0
1885,3.7384687345820566e-08,0.0
1886,2.19417763958063e-08,0.0
1887,3.656197833379338e-08,0.0
1888,4.12139939953704e-08,0.0
1889,4.573549716724301e-08,0.0
1890,6.030035848425541e-08,0.0
1891,3.1871099537283953e-08,0.0
1892,3.63573704476039e-08,0.0
1893,2.8328715373504565e-08,0.0
1894,2.9617234886814003e-08,0.0
1895,3.370423939941247e-08,0.0
1896,3.833068973335685e-08,0.0
1897,4.952706689209663e-08,0.0
1898,3.5647634177848886e-08,0.0
1899,5.693405569218157e-08,0.0
1900,4.049021384844309e-08,0.0
1901,2.8502569193733507e-08,0.0
1902,2.7497589982772297e-08,0.0
1903,4.1581696308412575e-08,0.0
1904,4.2997001514777367e-08,0.0
1905,3.4577084306874895e-08,0.0
1906,3.240836221607424e-08,0.0
1907,2.8799922446864912e-08,0.0
1908,2.504808449543816e-08,0.0
1909,3.795678793494517e-08,0.0
1910,3.046165986120286e-08,0.0
1911,3.032613093978398e-08,0.0
1912,3.9070659596518453e-08,0.0
1913,2.333315407554437e-08,0.0
1914,4.888622839871459e-08,0.0
1915,5.0657277483878715e-08,0.0
1916,3.186363883855847e-08,0.0
1917,3.289927263949721e-08,0.0
1918,2.2972752589112133e-08,0.0
1919,2.5781975665495338e-08,0.0
1920,2.1202248845497706e-08,0.0
1921,3.4077363153528495e-08,0.0
1922,2.1396012073182646e-08,0.0
1923,2.653987074552333e-08,0.0
1924,1.675911143195208e-08,0.0
1925,1.5397448649423495e-08,0.0
1926,3.232380052509143e-08,0.0
1927,3.2332753363562006e-08,0.0
1928,2.6279895593006586e-08,0.0
1929,3.230717737778832e-08,0.0
1930,1.575540586884472e-08,0.0
1931,2.2810713318222042e-08,0.0
1932,4.164623845781534e-08,0.0
