year,nos_DET ans_NOUN,nos_DET rangs_NOUN
1800,1.226224086714467e-07,2.5467733166806283e-07
1801,7.857902772911984e-08,2.6907362138395285e-07
1802,1.2755688771903806e-07,1.2755688771903806e-07
1803,1.5212645965156923e-07,1.8918289867997373e-07
1804,1.5819846055364906e-07,1.7550141251376772e-07
1805,8.812921237222326e-08,2.4733034820201283e-07
1806,1.3543845511776453e-07,3.7173532518863794e-07
1807,1.5088862381773538e-07,2.135216305987342e-07
1808,1.450287405724282e-07,1.427626554750816e-07
1809,8.810219243038375e-08,3.0948717721912544e-07
1810,1.2168659679900884e-07,1.8018976533085151e-07
1811,1.4039629903095374e-07,1.6797415014480066e-07
1812,5.3344166417446104e-08,2.4805035536701325e-07
1813,1.3803560250380542e-07,1.6391726842535093e-07
1814,6.293354459785405e-08,7.363224767686916e-07
1815,5.124724800076308e-08,9.49422719553894e-07
1816,1.2978581764855335e-07,4.61203180535108e-07
1817,1.2143612515558289e-07,5.744862656698047e-07
1818,1.1801965627000754e-07,4.5896532907541143e-07
1819,7.452755745873674e-08,5.599917903831297e-07
1820,7.831877635311457e-08,7.17922118198544e-07
1821,1.0058718102889941e-07,5.887308458518703e-07
1822,7.719724237631453e-08,5.54416544673586e-07
1823,1.0475648082319822e-07,7.599786173706491e-07
1824,1.802118072546932e-07,6.315834273351584e-07
1825,1.3296219081304628e-07,7.643124433354131e-07
1826,7.839105875540042e-08,5.425718261342638e-07
1827,9.032927539287527e-08,7.143386469010693e-07
1828,7.613009955775851e-08,7.383702556040816e-07
1829,5.572564276690173e-08,7.475809463142191e-07
1830,5.7402597564149005e-08,8.965241720115813e-07
1831,4.365537709105638e-08,1.0633203078036502e-06
1832,1.0282777063164161e-07,8.375050796205485e-07
1833,1.0888610546544442e-07,1.0019838718733354e-06
1834,6.720862222309165e-08,8.139710825361135e-07
1835,6.201732105637348e-08,6.095848945619764e-07
1836,1.1290860263413194e-07,5.060724621586132e-07
1837,4.592208013853849e-08,6.171649014063973e-07
1838,7.322107919982557e-08,5.744067443913536e-07
1839,3.495737432857027e-08,6.411182882359867e-07
1840,4.9046602779156956e-08,6.656324798015589e-07
1841,8.73194618833395e-08,5.810596466204743e-07
1842,5.702025340781347e-08,6.93634633730511e-07
1843,4.489252369843655e-08,4.938177884383776e-07
1844,3.841992773923053e-08,4.967147841927755e-07
1845,5.636030275812942e-08,6.802297618513364e-07
1846,5.0348710534109387e-08,6.276025379392536e-07
1847,2.534815113364175e-08,7.771635406328414e-07
1848,4.907585093860689e-08,8.334849814772838e-07
1849,1.0306680486849018e-07,9.879329860851271e-07
1850,6.245876349453283e-08,8.784960687790999e-07
1851,5.868989294555149e-08,8.680944736383367e-07
1852,4.6224873262445954e-08,5.989701734598896e-07
1853,3.3442819624696085e-08,5.123917770077924e-07
1854,6.442623751157228e-08,6.52575439907821e-07
1855,5.094659627502551e-08,7.111295694528508e-07
1856,6.678573938323495e-08,7.755429511924206e-07
1857,6.980557848423885e-08,8.171646337373772e-07
1858,5.18729667553508e-08,6.674974035725256e-07
1859,5.194016750031949e-08,7.638260024478427e-07
1860,6.224970103274607e-08,7.849870193865627e-07
1861,4.6216444282709546e-08,7.257868359644704e-07
1862,8.629353992484212e-08,5.986331648166754e-07
1863,8.34101649416219e-08,6.722759842148207e-07
1864,6.04135705906117e-08,6.837281998350875e-07
1865,5.365802618895188e-08,6.636650411451228e-07
1866,5.3521741094630926e-08,6.588040122323946e-07
1867,7.327745521479301e-08,6.77937778803539e-07
1868,4.2482918516384416e-08,7.59258636406912e-07
1869,5.46954153080037e-08,7.046917911424089e-07
1870,7.454263339923273e-08,8.365976977842138e-07
1871,6.691341436493303e-08,1.780109343485492e-06
1872,4.233137351761229e-08,1.2052347386770634e-06
1873,4.369783174196229e-08,8.140966034630992e-07
1874,3.8237498112270174e-08,7.39059122345509e-07
1875,7.437985516389745e-08,9.074341944526054e-07
1876,4.9577319805038655e-08,6.674800157036032e-07
1877,6.246663986075873e-08,8.157772026784471e-07
1878,5.918306911212312e-08,6.335004192337124e-07
1879,4.3376210623335965e-08,7.826045447245633e-07
1880,4.235778638950194e-08,6.828588370311195e-07
1881,6.972507465841105e-08,7.530308128167462e-07
1882,5.457415808152177e-08,7.008120572749021e-07
1883,4.7395042834796897e-08,7.147172187416118e-07
1884,4.819238963449379e-08,6.925180171535317e-07
1885,4.9631395993010585e-08,6.909721443904004e-07
1886,5.937186853266496e-08,7.32468152797594e-07
1887,2.7421483750345033e-08,6.920660364784226e-07
1888,3.6775564593583e-08,8.122327681547858e-07
1889,4.51089832154139e-08,6.979362519032861e-07
1890,2.5562107652810084e-08,8.002905689252771e-07
1891,2.549687994068961e-08,7.859413511113189e-07
1892,3.886477561998447e-08,7.315353691694781e-07
1893,3.325545000487651e-08,6.786575004191775e-07
1894,2.8987081401865566e-08,8.204604355910305e-07
1895,1.9259566386153892e-08,1.018349568226995e-06
1896,2.063960063969361e-08,8.757088296729165e-07
1897,2.3889524691789177e-08,7.592207553752672e-07
1898,2.5462597474934512e-08,7.717996064471322e-07
1899,1.6582735185011188e-08,7.395899750406443e-07
1900,2.6474371694895638e-08,6.722413639081992e-07
1901,2.123720777014171e-08,7.254182894378403e-07
1902,1.9641135329262482e-08,6.25079116023386e-07
1903,2.5381034607363517e-08,7.090489395622512e-07
1904,1.666133808697623e-08,6.831148509078844e-07
1905,2.3223416079076742e-08,7.121847680480187e-07
1906,2.1605574218597212e-08,7.01666760694053e-07
1907,4.834272726572664e-08,7.580550853703016e-07
1908,2.5539223402759603e-08,7.06257757165929e-07
1909,3.190570296851547e-08,6.590178180942985e-07
1910,3.259932035426516e-08,7.497843661496972e-07
1911,3.564650674636738e-08,6.884564194287179e-07
1912,4.9489502940147645e-08,7.6213835242811e-07
1913,4.030272293675807e-08,6.734796764717998e-07
1914,3.884111277052682e-08,6.696743701795072e-07
1915,1.767114277129167e-08,1.2063500154368967e-06
1916,1.7579939282086343e-08,1.0910549415044102e-06
1917,2.19328495365545e-08,1.1119953882143818e-06
1918,3.675640503075783e-08,1.062489813463685e-06
1919,3.6831394434333475e-08,1.057981810603792e-06
1920,2.8017257402979112e-08,7.307203575557253e-07
1921,2.120369302360814e-08,6.156643657106997e-07
1922,4.205423248526685e-08,6.02039518682318e-07
1923,7.006525448716161e-08,4.6179374146859686e-07
1924,8.121723371612433e-08,5.878580671137001e-07
1925,3.4094350676028284e-08,5.378108767217782e-07
1926,4.346993842663238e-08,4.859716107308287e-07
1927,2.5643217327342427e-08,3.9914224014836464e-07
1928,2.5137291137511397e-08,4.1362268410338743e-07
1929,4.0105462062456354e-08,4.790374843466338e-07
1930,4.9366935983563565e-08,4.915686613315984e-07
1931,3.193499864551086e-08,4.3682516537302263e-07
1932,1.6439305028370654e-08,4.427652823268957e-07
1933,2.982372171445036e-08,4.037673146939369e-07
1934,2.156684431042777e-08,4.3612952005389616e-07
1935,1.555876849579363e-08,4.093153052053822e-07
1936,3.8799087942464894e-08,3.5161671085859325e-07
