year,leurs_DET routes_NOUN
1800,1.1004575384276905e-07
1801,1.142967676059925e-07
1802,1.7007585029205075e-07
1803,1.2677205063482688e-07
1804,1.1864884186252311e-07
1805,7.960057502032214e-08
1806,1.3543845511776453e-07
1807,4.839823830593559e-08
1808,1.3596444325969514e-07
1809,1.1746958450409295e-07
1810,1.942305232205399e-07
1811,2.0307321335621964e-07
1812,1.7070132685148565e-07
1813,1.0352670187785407e-07
1814,1.258670891957081e-07
1815,4.045835311217161e-08
1816,8.1116134253989e-08
1817,1.1987924608547473e-07
1818,8.940882878505363e-08
1819,8.69488232524418e-08
1820,1.3290458866777044e-07
1821,1.0058718125094401e-07
1822,1.2431763707354548e-07
1823,1.2551012673611694e-07
1824,1.5595900322296075e-06
1825,3.4429282891323965e-07
1826,2.475043467953242e-07
1827,1.5300673794627073e-07
1828,1.72439257539736e-07
1829,1.8260865219943412e-07
1830,1.3359149786396074e-07
1831,2.759643393801525e-07
1832,9.335678896604804e-08
1833,1.5985407664231843e-07
1834,1.6988846374133004e-07
1835,5.884082128204682e-07
1836,1.8146025126952736e-07
1837,2.4004722831705294e-07
1838,2.4933038389463036e-07
1839,1.2584655639802378e-07
1840,2.668899511948375e-07
1841,1.7849124844815378e-07
1842,2.1198118016485523e-07
1843,1.7543526098506845e-07
1844,1.3666518094979097e-07
1845,1.2555513384526762e-07
1846,1.0128287186716989e-07
1847,9.384208876639377e-08
1848,7.482056219032529e-08
1849,1.0055298105271504e-07
1850,8.48624512883589e-08
1851,1.850988979867907e-07
1852,2.0703534020505288e-07
1853,2.2872499227943877e-07
1854,1.3352857308746025e-07
1855,9.340209317088011e-08
1856,9.629572106373274e-08
1857,1.3033629242542588e-07
1858,1.4632090805655196e-07
1859,1.1813842348828985e-07
1860,1.171759080875745e-07
1861,1.28745810457076e-07
1862,1.9427340458566533e-07
1863,1.5583217294334872e-07
1864,1.0884032519697939e-07
1865,1.2849685049332038e-07
1866,9.487945240582718e-08
1867,2.8971284038448175e-07
1868,2.326680661468572e-07
1869,4.795615596853153e-07
1870,1.7718210232331444e-07
1871,2.442870652430429e-07
1872,1.4211246934792143e-07
1873,1.7658713602486387e-07
1874,2.20463072853061e-07
1875,1.5219262650134624e-07
1876,1.3422152278508293e-07
1877,1.001940219680364e-07
1878,1.9023128916551002e-07
1879,1.6617365061755152e-07
1880,1.5916258022663499e-07
1881,1.7152368458894784e-07
1882,1.3044554392216412e-07
1883,1.1438003721941925e-07
1884,8.384155414375982e-08
1885,1.1795513210621777e-07
1886,1.2455184922322005e-07
1887,1.0380990289604597e-07
1888,2.2826212386917177e-07
1889,1.0650732179540157e-07
1890,1.245333492438938e-07
1891,1.2238501767569687e-07
1892,1.1910173758344911e-07
1893,1.0654060433878954e-07
1894,1.1846894154565746e-07
1895,1.4083558053101797e-07
1896,1.214788007408707e-07
1897,1.596519546565034e-07
1898,1.5051223556383775e-07
1899,1.1884293726893702e-07
1900,9.032432712885452e-08
1901,1.2965874240933317e-07
1902,8.887613633934421e-08
1903,1.6362667576430567e-07
1904,1.177042898703462e-07
1905,1.0321517862621477e-07
1906,1.1780182518350557e-07
1907,1.2908536461964104e-07
1908,1.5176192147414724e-07
1909,8.306484922115942e-08
1910,9.993561622678726e-08
1911,1.3407342902560515e-07
1912,9.845806303587779e-08
1913,1.3575653590169878e-07
1914,1.2522911119194902e-07
1915,1.979168010590726e-07
1916,9.998590400073226e-08
1917,1.447567967716168e-07
1918,1.297960494639483e-07
1919,1.0957339885431239e-07
1920,1.0146790430098918e-07
1921,1.196494060495823e-07
1922,8.927301714534153e-08
1923,9.448193560857021e-08
1924,9.539802148239573e-08
1925,1.1658068643782826e-07
1926,1.0700293207044353e-07
1927,1.5497422323207388e-07
1928,1.1768822494317988e-07
1929,1.3368487716824973e-07
1930,1.712087418503927e-07
1931,1.3230213458115259e-07
1932,1.446658832726655e-07
1933,9.750062801572312e-08
1934,1.964979201574124e-07
1935,1.4002892889664054e-07
1936,1.6125870594407843e-07
1937,1.3346585481244233e-07
1938,1.0501823888287021e-07
1939,9.329371053468094e-08
1940,1.2932492721162703e-07
1941,1.2396310467011062e-07
1942,1.2743689392635815e-07
1943,1.7419411424413056e-07
1944,1.542329286507993e-07
1945,1.1328220894668561e-07
1946,1.1693727408612631e-07
1947,1.3828210443378453e-07
1948,1.0871887745622644e-07
1949,9.620668040000169e-08
1950,1.488950560624147e-07
1951,1.567225993426291e-07
1952,1.1810180389204561e-07
1953,1.4544666981919363e-07
1954,9.088458807759991e-08
1955,1.1075017436468215e-07
1956,1.0116524418180006e-07
1957,1.2810804439489232e-07
1958,1.1167528857214393e-07
1959,9.843449433333262e-08
1960,1.0796499694265549e-07
1961,1.1325499471581679e-07
1962,1.1415521283808516e-07
1963,1.3384730035426173e-07
1964,1.0646944792469526e-07
1965,1.1764893526056142e-07
1966,9.527208355564198e-08
1967,2.563774588182355e-07
1968,1.1498024399259066e-07
1969,1.0037284514652356e-07
1970,8.829551917388656e-08
1971,9.608803441807368e-08
1972,1.0157690555345766e-07
1973,7.663353329689926e-08
1974,9.000914724666131e-08
1975,8.510105464765161e-08
1976,9.084507679446574e-08
1977,7.992423300962059e-08
1978,8.673263596215008e-08
1979,9.246117560479661e-08
1980,8.925686278971057e-08
1981,8.033447862487719e-08
1982,7.511077804167599e-08
1983,7.199460494433652e-08
1984,9.85831425381889e-08
1985,9.083492491512857e-08
1986,8.751948810115096e-08
1987,1.0693929652916268e-07
1988,7.975416549399483e-08
1989,9.988382032588561e-08
1990,9.753085272734552e-08
1991,9.143885426610154e-08
1992,9.201606587794231e-08
1993,7.145577751721532e-08
1994,9.125623190442411e-08
1995,7.971002791151705e-08
1996,9.661946975825231e-08
1997,9.973380343808458e-08
1998,8.2965445180605e-08
1999,8.089255754128999e-08
2000,8.394260131439069e-08
2001,9.2005448149024e-08
2002,9.594874894602867e-08
2003,9.625591657069776e-08
2004,9.64649276014029e-08
2005,8.512086413503539e-08
2006,1.0047651333167096e-07
2007,1.0026143693053768e-07
2008,9.749536644676482e-08
2009,1.230193635848309e-07
2010,1.251805183954957e-07
2011,1.1663114563020827e-07
2012,1.2391480019857681e-07
2013,1.3080996552616853e-07
2014,1.4226974798248193e-07
2015,1.3055629199953955e-07
2016,1.346371103494448e-07
2017,1.3206959437184196e-07
2018,1.4327140629433188e-07
2019,1.2295760765113073e-07
