year,mes_DET routes_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,1.152667650217154e-08
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,1.6380887757350138e-08
1811,0.0
1812,1.0668832928217853e-08
1813,1.7254450312975678e-08
1814,3.1466772298927026e-08
1815,9.710004889029733e-08
1816,4.6352077731626196e-09
1817,9.341240669868967e-09
1818,3.5763532135746345e-09
1819,4.140420006848444e-09
1820,3.678609061807947e-08
1821,0.0
1822,2.5064039732569654e-08
1823,3.9530747564242574e-09
1824,0.0
1825,2.641632912414593e-09
1826,2.2019960965735663e-08
1827,2.7651818612639545e-09
1828,0.0
1829,1.2002446148073886e-08
1830,1.1480519646056564e-08
1831,6.236482441579483e-09
1832,1.3529969367098715e-09
1833,8.108539617524002e-09
1834,1.7735609425528764e-08
1835,1.1344631900556124e-08
1836,4.70452493628315e-09
1837,4.1747345913556444e-08
1838,2.5248647617104325e-08
1839,1.3982950353153e-09
1840,1.9109065441114126e-09
1841,8.346713542550788e-09
1842,1.341653010911159e-09
1843,0.0
1844,3.841992946007622e-09
1845,1.674068439427856e-09
1846,2.9272506640865004e-09
1847,1.6179670936367074e-08
1848,0.0
1849,1.6758829879393033e-09
1850,2.0366988096043315e-09
1851,9.674158363282004e-09
1852,7.161600201754936e-09
1853,2.388772735173461e-09
1854,2.0782657816909023e-09
1855,5.306937111981824e-09
1856,2.0708756931497874e-09
1857,6.8341128311999455e-09
1858,4.404308473482388e-09
1859,4.073738679721828e-09
1860,3.661747127736703e-09
1861,1.0375120318428799e-08
1862,5.873382225018986e-09
1863,3.496234635136375e-09
1864,9.589455896019672e-10
1865,3.765475486972036e-09
1866,7.298419202328432e-09
1867,1.649955905236311e-08
1868,8.397785578040384e-09
1869,3.4184632902167778e-09
1870,1.7202146374017957e-09
1871,1.0621176826930423e-08
1872,7.861540751719076e-09
1873,7.781805422268917e-09
1874,5.974609140757536e-10
1875,1.716458086775674e-09
1876,1.209202959984168e-08
1877,1.1132669008873108e-08
1878,3.019544336790858e-09
1879,1.4662380642960215e-08
1880,2.5671385017744797e-09
1881,2.7890030285249168e-09
1882,4.6587693702804245e-09
1883,6.319338941018771e-10
1884,6.601696966868076e-10
1885,5.80107206715752e-09
1886,1.936039106809062e-09
1887,1.1099172247952538e-08
1888,5.07249175996094e-09
1889,5.6386229019267375e-09
1890,1.3108772956016423e-09
1891,0.0
1892,6.268512375839919e-09
1893,4.310891643655168e-09
1894,1.2603078580752936e-09
1895,1.2037228991346183e-09
1896,6.48673198488936e-09
1897,2.9133566670225264e-09
1898,1.13167097914868e-09
1899,7.185851913504848e-09
1900,1.5573159428683425e-09
1901,0.0
1902,2.946170252204894e-09
1903,1.0800440541913758e-09
1904,5.374625189347171e-10
1905,2.580379465655369e-09
1906,9.259531807970234e-09
1907,6.1714118260169926e-09
1908,3.437972351250096e-09
1909,2.7504918342913243e-09
1910,1.0153886620400954e-08
1911,3.1922244847493175e-09
1912,2.0837684910901544e-09
1913,5.833288574397244e-09
1914,2.0090231700464756e-09
1915,1.1780762143587253e-08
1916,8.789969641043172e-09
1917,6.57985488317081e-09
1918,1.1486376294556067e-09
1919,2.5781975943051094e-08
1920,1.3630017559052021e-08
1921,6.058197998815018e-09
1922,6.6401419362982494e-09
1923,5.307974060286824e-09
1924,6.574728406150143e-08
1925,1.869690291478321e-08
1926,2.7865346474698072e-08
1927,2.3413372129965637e-08
1928,1.3711249469139375e-08
1929,1.7824650422326727e-08
1930,2.3107928459609184e-08
1931,1.3686427990933225e-08
1932,5.4797681947604815e-09
1933,1.4911860191091364e-08
1934,1.1981580172459871e-08
1935,5.98414207075848e-09
1936,2.0612014317578087e-08
1937,1.1332006333297784e-08
1938,2.5930428360076974e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.3612020783048138e-08
1942,1.2136846860855144e-08
1943,1.7419411246777372e-08
1944,2.5705489292704442e-08
1945,1.5249528306782167e-08
1946,2.0881656404014848e-08
1947,1.1920870957027319e-08
1948,4.022598343311756e-08
1949,1.079870937115146e-08
1950,2.0207186368637053e-08
