year,pouvons_VERB établir_VERB,pouvons_VERB etablir_VERB,pouvons_VERB rétablir_VERB
1800,1.603523855919775e-07,0.0,3.144164484325529e-09
1801,1.0715321963061797e-07,7.143547975374531e-09,1.4287095950749062e-08
1802,7.384872446891677e-08,0.0,2.9091921760482364e-08
1803,1.6577882888668682e-07,0.0,5.851017448321727e-09
1804,4.449331569844617e-08,0.0,2.4718509461507665e-09
1805,1.1087222873129576e-07,0.0,0.0
1806,8.645007198992971e-08,0.0,0.0
1807,9.11025637151397e-08,0.0,0.0
1808,1.1330369531492579e-08,0.0,0.0
1809,1.0391540428145163e-07,0.0,0.0
1810,2.574139479349924e-08,0.0,0.0
1811,3.5099073869560016e-08,0.0,0.0
1812,2.9339290108509886e-08,0.0,5.3344164641089264e-09
1813,6.614205716459765e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,3.1466771410748606e-09
1815,1.4025562222741428e-07,2.697223555614414e-09,0.0
1816,5.7940098940889584e-08,0.0,0.0
1817,7.628679554727569e-08,0.0,4.670620334934483e-09
1818,1.1801965627000754e-07,0.0,1.1921177378582115e-09
1819,1.511253344688157e-07,0.0,7.24573512300708e-09
1820,1.2341141086835705e-07,0.0,3.5599443393152796e-09
1821,5.325203744632745e-08,9.86148829262845e-10,1.0847637454958203e-08
1822,9.323822780515911e-08,0.0,6.015369535816717e-09
1823,1.0574474629265751e-07,0.0,9.882686891060644e-10
1824,5.4737231636181605e-08,1.6842225392110777e-09,0.0
1825,5.987701001686219e-08,0.0,0.0
1826,1.0569581121444571e-07,0.0,1.7615968683770689e-09
1827,1.0139000039544044e-07,0.0,0.0
1828,7.613009955775851e-08,0.0,0.0
1829,9.259029809527419e-08,1.714635211591542e-09,8.57317605795771e-10
1830,4.174734158368665e-08,0.0,1.6698937344017395e-08
1831,8.575163690238696e-08,0.0,3.1182412207897414e-09
1832,8.659180394943178e-08,2.705993873419743e-09,4.058990921151917e-09
1833,1.6912098033117218e-07,1.1583628500844156e-09,4.6334514003376626e-09
1834,5.414027981487379e-08,9.334530925997342e-10,8.401078055442213e-09
1835,6.579886502322552e-08,0.0,5.294161553592858e-09
1836,6.183090306421946e-08,0.0,4.704525213838906e-09
1837,1.196757182242436e-07,0.0,0.0
1838,6.185918977053007e-08,0.0,6.943378316748294e-09
1839,1.0417298312859202e-07,0.0,6.9914751765765e-10
1840,8.981260890550402e-08,0.0,6.3696887764308485e-09
1841,7.447836480878323e-08,0.0,8.988767952189392e-09
1842,1.0531976357697204e-07,0.0,6.037438549100216e-09
1843,9.864541539172933e-08,0.0,1.1813822142769936e-09
1844,7.464443285698508e-08,0.0,9.330554107123135e-09
1845,8.537748641401777e-08,0.0,1.4508592549589139e-08
1846,1.2352997202924598e-07,1.1709002656346001e-09,9.367202125076801e-09
1847,1.1217905182547838e-07,0.0,6.47186837454683e-09
1848,6.91889070481011e-08,0.0,0.0
1849,6.619738002200393e-08,0.0,5.02764896381791e-09
1850,5.634866795389826e-08,6.788996032014438e-10,4.073397619208663e-09
1851,6.965393595237401e-08,0.0,7.739326512989919e-09
1852,8.789236005668499e-08,0.0,0.0
1853,1.30188112734686e-07,0.0,8.957897534855874e-09
1854,1.1794158183420222e-07,1.0391328908454511e-09,5.195664343204953e-09
1855,7.90733594158155e-08,5.306937111981824e-10,9.021793090369101e-09
1856,1.1803991384340407e-07,0.0,4.659470143053568e-09
1857,8.737901424638039e-08,0.0,9.763018171682347e-10
1858,6.606462932268187e-08,0.0,5.3830437884982985e-09
1859,7.689181558134806e-08,0.0,1.884104072757964e-08
1860,7.82698421630812e-08,0.0,2.746310290291376e-09
1861,1.3581976077148283e-07,4.715963730639317e-10,9.431927461278633e-10
1862,9.849210158563437e-08,0.0,4.9697850279528666e-09
1863,1.1337789374010754e-07,0.0,3.995696662428827e-09
1864,9.925086885687051e-08,0.0,1.1986819536957682e-08
1865,1.1014015655064213e-07,0.0,8.001635798393636e-09
1866,1.1434190128056798e-07,0.0,1.4596839292835284e-09
1867,7.958610837022206e-08,0.0,3.396968040192405e-09
1868,1.0077343404191197e-07,0.0,1.2349684830326169e-08
1869,1.0206554890146435e-07,0.0,3.4184632902167778e-09
1870,1.158277882495895e-07,0.0,8.601073631098188e-09
1871,9.983906323896008e-08,0.0,7.434824311758348e-09
1872,1.4876454201839806e-07,0.0,1.1489944995446422e-08
1873,1.2510749058947113e-07,0.0,1.1972008939764578e-09
1874,1.2666171755881805e-07,0.0,1.0156835372754358e-08
1875,1.647799763304647e-07,0.0,1.3731664694205392e-08
1876,1.2394330894949235e-07,0.0,3.02300739996042e-09
1877,1.5400192410197633e-07,0.0,6.184816214727107e-09
1878,1.2984040154151444e-07,0.0,3.6234530931267273e-09
1879,1.4479100229891628e-07,0.0,7.94212251520321e-09
1880,1.2450621511561621e-07,0.0,1.5402831010646878e-08
1881,1.7222093617874634e-07,0.0,9.064259565150223e-09
1882,1.0715169906916344e-07,0.0,9.317538740560849e-09
1883,1.0679682560521542e-07,0.0,5.0554711528150165e-09
1884,1.4985852203608374e-07,0.0,5.941527270181268e-09
1885,1.0635299219075023e-07,0.0,9.023890079618013e-09
1886,1.3616808303140715e-07,6.453463874400711e-10,6.4534639854230136e-09
1887,1.2731402421195526e-07,0.0,1.4363633837888301e-08
1888,1.1539918887137901e-07,0.0,8.876860135842435e-09
1889,1.4096558231813106e-07,0.0,3.132568338060082e-08
1890,1.4747369903034269e-07,0.0,1.8352281472289178e-08
1891,1.6572971617279109e-07,0.0,2.103492668936724e-08
1892,1.5922022100767208e-07,0.0,8.149066310636499e-09
1893,1.558079389951672e-07,0.0,3.695050043717174e-09
1894,1.3044186175648065e-07,0.0,5.041231432301174e-09
1895,1.486597795974376e-07,0.0,6.018614495673091e-10
1896,1.627579990781669e-07,5.89702897624278e-10,5.897029087265082e-09
1897,1.0954221352221793e-07,0.0,3.4960281336537946e-09
1898,1.4881473475725215e-07,0.0,3.3950129374460403e-09
1899,1.5587771429181885e-07,0.0,1.3818945987509323e-08
