year,pourrez_VERB aller_VERB
1800,3.144164484325529e-09
1801,2.1430643926123594e-08
1802,4.0281122437590966e-08
1803,1.3652374342143503e-08
1804,9.887403784603066e-09
1805,2.842877755426798e-08
1806,5.4751712497136396e-08
1807,2.2775640928784924e-08
1808,2.2660739062985158e-08
1809,2.9367397402779716e-08
1810,4.44624070894406e-08
1811,7.521229861140455e-09
1812,2.9339290108509886e-08
1813,0.0
1814,3.1466772298927026e-08
1815,2.966945977789237e-08
1816,2.3176038865813098e-08
1817,3.113746815941454e-09
1818,1.1921176934492905e-08
1819,3.519356894798875e-08
1820,5.458581142647745e-08
1821,4.2404398215012407e-08
1822,1.7043547018147365e-08
1823,2.9648060007048116e-08
1824,5.052667617633233e-08
1825,3.78634048558979e-08
1826,1.76159691278599e-08
1827,8.295545583791863e-09
1828,1.6510142586412258e-08
1829,7.715858174606183e-09
1830,2.400472176589119e-08
1831,1.5591206548037917e-08
1832,2.3000948701223933e-08
1833,1.7375443306377747e-08
1834,2.333632664885954e-08
1835,3.6302822081779595e-08
1836,4.099657502365517e-08
1837,2.2265250976261086e-08
1838,2.840472923537618e-08
1839,5.453350482298447e-08
1840,1.8472096741106725e-08
1841,2.1829865914924085e-08
1842,5.2995293486901573e-08
1843,2.1855571574747046e-08
1844,9.879410178825765e-09
1845,4.2409730838244286e-08
1846,3.1614305839866574e-08
1847,2.1033571329098777e-08
1848,1.609044275596716e-08
1849,3.016589289472904e-08
1850,1.2220192857625989e-08
1851,1.870337307252612e-08
1852,2.3437962681782665e-08
1853,2.6873692604567623e-08
1854,2.4419623656513068e-08
1855,3.078023524949458e-08
1856,2.4332790005132665e-08
1857,2.5383847912507917e-08
1858,3.670256987220455e-08
1859,1.7313389832906978e-08
1860,2.8378540406492903e-08
1861,2.9238975685075275e-08
1862,1.0843167252971853e-08
1863,2.597202808374277e-08
1864,2.4932585773740357e-08
1865,4.094954419997521e-08
1866,2.3841502994059738e-08
1867,5.386620927083641e-08
1868,2.5687345583946808e-08
1869,3.320792885119772e-08
1870,2.2936195165357276e-08
1871,2.6552942955504477e-08
1872,3.265563108811875e-08
1873,2.993002112816612e-08
1874,3.2860349108432274e-08
1875,4.520006413599731e-08
1876,3.808989390563511e-08
1877,2.288381928394756e-08
1878,7.850815109122777e-09
1879,3.726688291294522e-08
1880,2.759673911612026e-08
1881,2.091752193678076e-08
1882,3.527354053289855e-08
1883,1.2006744043446815e-08
1884,3.1688145440966764e-08
1885,1.5469526104539e-08
1886,1.4842966855610484e-08
1887,3.525619263200497e-08
1888,2.2192152115962926e-08
1889,1.6915869593958632e-08
1890,1.5730527991308918e-08
1891,1.1473596295275001e-08
1892,3.322311670217459e-08
1893,8.005941687372342e-09
1894,3.843938856107343e-08
1895,1.3842813118003505e-08
1896,1.47425724961181e-08
1897,1.2818770045441852e-08
1898,9.05336783318944e-09
1899,1.8241008703512307e-08
1900,2.1283318218934255e-08
1901,3.520905522691464e-08
1902,2.0132164380015638e-08
1903,1.2420506401156217e-08
1904,2.418581246388385e-08
1905,1.2901897328276846e-08
1906,9.773950537805831e-09
1907,6.1714118260169926e-09
1908,1.3751889405000384e-08
1909,1.5952851484257735e-08
1910,2.0307773240801907e-08
1911,7.980561100850991e-09
1912,2.2921453179947093e-08
1913,1.7499866444836698e-08
1914,1.9420557606508737e-08
1915,1.8849219074468238e-08
1916,3.2962386153911893e-09
1917,2.3029491202919417e-08
1918,2.412139110674616e-08
1919,1.9336480860943084e-08
1920,2.8774479687854182e-08
1921,2.877644078580488e-08
1922,1.9182632371439468e-08
1923,2.229349149729387e-08
1924,2.9650736976805092e-08
1925,2.5295809891190402e-08
1926,2.229227646921572e-08
1927,4.6826745148109694e-08
1928,2.399468712610542e-08
1929,3.342121956961819e-08
1930,1.8906487042613662e-08
1931,1.1405356659111021e-08
1932,1.753525857850491e-08
1933,4.3588517684156614e-08
1934,1.9170528275935794e-08
1935,1.555876849579363e-08
1936,1.6974599503782883e-08
1937,1.888667711114067e-08
1938,1.1668692678767911e-08
1939,6.117620188206274e-09
1940,1.7750480196809804e-08
1941,2.9515025090631752e-08
1942,2.1239483061208375e-08
1943,2.0322646676618206e-08
1944,1.6065930807940276e-08
1945,1.742803235060819e-08
1946,2.227376683094917e-08
1947,1.6689218895749036e-08
1948,1.4133454406817236e-08
1949,2.6505922789965553e-08
1950,2.4461330738745346e-08
1951,2.6653504292539765e-08
1952,2.8470971358274255e-08
1953,1.939288907237824e-08
1954,1.8567819282111486e-08
1955,1.407841132561316e-08
1956,2.703553825256222e-08
1957,3.003912851795576e-08
1958,3.3088973339090444e-08
1959,2.40273188012452e-08
1960,3.460416664324839e-08
1961,3.404598203360365e-08
1962,2.3465238641051656e-08
1963,3.2330266463986845e-08
1964,2.251068309533366e-08
1965,1.3132904541635071e-08
1966,3.1572724878969893e-08
1967,2.3665609916179164e-08
1968,2.2007936806289763e-08
1969,2.180043701116574e-08
1970,2.3913370839068193e-08
1971,1.5415192677892264e-08
1972,2.4111690422046195e-08
1973,1.7090931336838366e-08
1974,2.1377172032543967e-08
1975,2.513051278185685e-08
1976,1.542652228181396e-08
1977,2.11564152863275e-08
1978,1.0099005187669263e-08
1979,1.404473604083023e-08
1980,1.819248218737357e-08
1981,2.213942273954217e-08
1982,1.924325765401136e-08
1983,1.8314416649900522e-08
1984,1.6237223121606803e-08
1985,2.285912081845254e-08
1986,2.3977941410180392e-08
1987,1.8332450224534114e-08
1988,1.199310784016916e-08
1989,2.250130037850795e-08
1990,1.9070277801347402e-08
1991,1.52398094144246e-08
1992,1.322386644631024e-08
1993,1.994114740000441e-08
1994,2.162719958676007e-08
1995,1.2471637056421514e-08
1996,1.3879040139386234e-08
1997,1.102825741838842e-08
1998,2.43174582692518e-08
1999,1.7366764026860437e-08
2000,2.1206551181762734e-08
2001,1.4019877703219663e-08
2002,1.752488643091965e-08
2003,2.416815370054337e-08
2004,2.2464435645019876e-08
2005,2.477062288619436e-08
2006,3.417848759568187e-08
2007,4.8732648139093726e-08
2008,6.173287658839399e-08
2009,7.056924999915282e-08
2010,1.034510646036324e-07
2011,1.2925025316690153e-07
2012,1.514892460363626e-07
2013,1.1770107732900215e-07
2014,1.273281782232516e-07
2015,1.4363408240569697e-07
2016,1.4520094282488571e-07
2017,1.2854773956405552e-07
2018,1.231359618714123e-07
2019,1.4030432282652328e-07
