year,anciens_ADJ aides_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.401186100480345e-08
1818,4.768470951432846e-09
1819,1.5526575580793178e-08
1820,1.1866481131050932e-09
1821,1.577838126820552e-08
1822,4.010246357211145e-09
1823,1.3835761869529506e-08
1824,2.947389532437228e-08
1825,1.1447076175841175e-08
1826,1.7615968683770689e-09
1827,1.3825909306319772e-08
1828,1.1923991571904935e-08
1829,9.430493719264632e-09
1830,1.5655253093882493e-08
1831,1.7150327380477393e-08
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,0.0
1835,4.5378527602224494e-09
1836,6.72075017860152e-09
1837,6.262101948095733e-09
1838,1.5149188570262595e-08
1839,9.788065469251706e-09
1840,1.46502836528839e-08
1841,1.0914932957462042e-08
1842,1.1404051036834062e-08
1843,3.5441467538532834e-09
1844,1.3721403568922597e-08
1845,8.37034175305007e-09
1846,7.025401593807601e-09
1847,1.3483059113639229e-08
1848,7.24069959545659e-09
1849,7.54147322368226e-09
1850,2.2403686017469226e-08
1851,1.9348316726564008e-08
1852,3.5156944022674e-08
1853,7.763511389313749e-09
1854,4.1565315633818045e-09
1855,1.1675261646360013e-08
1856,1.0354378687793542e-08
1857,2.0990489346672803e-08
1858,1.9085335978274998e-08
1859,9.675129142294736e-09
1860,1.7393299245327398e-08
1861,1.4147891747029462e-09
1862,2.4397126319186668e-08
1863,1.4484400345793347e-08
1864,2.397363974004918e-09
1865,1.4591217123438582e-08
1866,1.0217787171917792e-08
1867,8.73506067478047e-09
1868,1.4819622307093994e-08
1869,1.2697149998075474e-08
1870,1.7202146374017957e-09
1871,6.37270636261178e-09
1872,1.5723081503438152e-08
1873,1.3767810003173508e-08
1874,1.1949218503559678e-08
1875,1.2587359599081083e-08
1876,4.232210137899983e-09
1877,1.2369632429454214e-08
1878,9.662541877730746e-09
1879,3.665595160740054e-09
1880,1.0268554007097919e-08
1881,1.1853263259808955e-08
1882,5.324308105514319e-09
1883,5.687405213450347e-09
1884,1.650424152899177e-08
1885,4.511945039809007e-09
1886,7.744156427236248e-09
1887,3.9173548849191775e-09
1888,2.0924028731883482e-08
1889,1.190375947812683e-08
1890,2.6217545912032847e-09
1891,7.0116419337296065e-09
1892,1.3790726782758611e-08
1893,2.46336657738766e-08
1894,1.2603078580752936e-08
1895,1.5046536461227333e-08
1896,1.0614652268259306e-08
1897,1.2818770045441852e-08
1898,7.921697076085366e-09
1899,4.4220627160029835e-09
1900,9.863001082521805e-09
1901,6.706486921359556e-09
1902,2.9461704187383475e-09
1903,1.5660639007819555e-08
1904,9.13686282189019e-09
1905,4.64468330463319e-09
1906,1.1317205839134203e-08
1907,1.337139288182243e-08
1908,2.4556944921982904e-08
1909,1.4852655993990993e-08
1910,2.404867771588215e-08
1911,1.5429085564733214e-08
1912,1.6670147928721235e-08
1913,1.113627856597077e-08
1914,2.0759905794420774e-08
1915,4.476689552390667e-08
1916,2.197492410260793e-09
1917,3.289927263949721e-08
1918,3.44591288836682e-09
1919,8.287063479883727e-09
1920,7.572231730534895e-10
1921,2.2718242842501013e-09
1922,8.115729421831475e-09
1923,0.0
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,1.1146138456652466e-09
1927,1.3379070296082318e-08
1928,1.0283437212876834e-08
1929,5.570202965543558e-09
1930,1.05036033204442e-08
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,1.9500125958415992e-08
1934,1.7972370258689807e-08
1935,4.787313656606784e-09
1936,1.2124714565686645e-09
1937,1.7627565185307503e-08
1938,6.482607339819424e-09
1939,1.5294050470515685e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,1.1920870957027319e-09
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,9.571825110299415e-09
1951,5.330700769690111e-09
1952,8.435843135146115e-09
1953,5.386913581872932e-09
1954,1.172704333640695e-08
1955,1.8771215692936494e-09
1956,1.744228228517386e-08
1957,1.1485549400447326e-08
1958,7.445019267748876e-09
1959,1.3951345856355601e-08
1960,6.2287499602575735e-09
1961,4.86371165564492e-09
1962,2.5367825617905737e-09
1963,1.681173777967615e-08
1964,1.0951143103454797e-08
1965,2.188817349590977e-09
1966,2.215629901769489e-09
1967,1.1832804958089582e-08
1968,4.491415683816058e-09
1969,7.72098829315837e-09
1970,4.1388523719376735e-09
1971,3.083038491169532e-09
1972,7.182205497002769e-09
1973,3.859242703185828e-09
1974,7.875800456247362e-09
1975,5.711480177694739e-09
1976,2.285410749536254e-09
1977,3.526069214387917e-09
1978,4.1584139465200565e-09
1979,6.437170796402825e-09
1980,5.6851505725319385e-09
1981,7.590659656386833e-09
1982,3.7245013739806154e-09
1983,1.2630632095778083e-09
1984,6.958810416790584e-09
1985,8.421781494405423e-09
1986,3.596691222629289e-09
1987,7.332980445085013e-09
1988,3.597932174415064e-09
