year,avez_VERB acheté_VERB,avez_VERB racheté_VERB
1800,6.917161954334006e-08,3.772997558826319e-08
1801,1.381085894536227e-07,1.904946067554647e-08
1802,1.208433673127729e-07,6.042168365638645e-08
1803,9.55666195068261e-08,1.5602713787643552e-08
1804,3.905524579295161e-07,2.2246657849223084e-08
1805,1.051864728651708e-07,1.9900143755080535e-08
1806,2.0459850702536642e-07,2.305335300434308e-08
1807,2.2490945639219717e-07,7.117387923472052e-08
1808,1.2010191596800723e-07,3.6257183921861724e-08
1809,5.1957702140725814e-08,4.0662548883574345e-08
1810,1.2402671245581587e-07,3.7442028144596406e-08
1811,1.4541045345595194e-07,3.008491944456182e-08
1812,1.1202274663446588e-07,1.600324850414836e-08
1813,1.7542024011163448e-07,9.777521370324394e-08
1814,9.44003133440674e-08,1.8880061958270744e-08
1815,4.5852800667489646e-08,5.1247248222807684e-08
1816,1.1588019788177917e-07,4.6352077731626196e-08
1817,8.718490818182545e-08,3.42512151974006e-08
1818,4.410835785506606e-08,2.384235386898581e-08
1819,6.107119787657211e-08,1.5526575580793178e-08
1820,9.01852530432734e-08,6.763894333516873e-08
1821,2.711909417030256e-07,6.114122896860863e-08
1822,1.1328945959121484e-07,3.308453244699194e-08
1823,1.0574474629265751e-07,2.174191138237802e-08
1824,8.084268188213173e-08,2.189489300974401e-08
1825,6.427973175959778e-08,4.754939197937347e-08
1826,9.072223861039674e-08,3.963592831723872e-08
1827,1.0139000039544044e-07,6.083400450052068e-08
1828,9.447470006307412e-08,2.2930752408001354e-08
1829,5.744027831156018e-08,2.8291481157793896e-08
1830,1.3985359714752121e-07,1.0436835395921662e-08
1831,7.171954763407484e-08,3.585977381703742e-08
1832,1.312406965325863e-07,2.570694235259907e-08
1833,6.718504863556518e-08,7.41352224054026e-08
1834,7.094243414940138e-08,3.360431222176885e-08
1835,1.5731222902104491e-07,2.4201881387853064e-08
1836,7.123995260371885e-08,2.083432448785061e-08
1837,1.1063046656545339e-07,3.6876823372722356e-08
1838,6.880256364638626e-08,5.049729523420865e-08
1839,5.5931799636255164e-08,3.635567225046543e-08
1840,1.1401742483485577e-07,2.6752692505738196e-08
1841,1.0080260892664228e-07,7.383631128732304e-08
1842,6.842430622100437e-08,1.9453969102301016e-08
1843,8.092467851383844e-08,3.307870244384503e-08
1844,1.1910177732943339e-07,2.030767731753258e-08
1845,8.816760299623638e-08,4.0177642546268544e-08
1846,1.042101231973902e-07,3.2785209214125643e-08
1847,8.413428531639511e-08,1.9954928376364478e-08
1848,9.573813741781123e-08,3.700802153616678e-08
1849,1.1731180649121598e-07,4.776266493422554e-08
1850,1.0047713772110001e-07,2.2403686017469226e-08
1851,7.610337604546658e-08,2.5152811389261842e-08
1852,9.765818020923689e-08,2.539112742283578e-08
1853,9.137055911878633e-08,1.7318601663873778e-08
1854,9.50806580135577e-08,2.4419623656513068e-08
1855,1.1516053177729191e-07,2.388121700391821e-08
1856,1.232171058518361e-07,4.038207634948776e-08
1857,1.1129840515877731e-07,4.78387889302212e-08
1858,1.1989506276677275e-07,4.404308384664546e-08
1859,8.503929649350539e-08,4.073738679721828e-08
1860,7.094634923987542e-08,2.6089947979812678e-08
1861,1.2355825163012923e-07,2.0750240636857598e-08
1862,7.90647618487128e-08,2.3945327498609004e-08
1863,9.739510886674907e-08,3.296449690992631e-08
1864,8.774352266982532e-08,3.068625886726295e-08
1865,8.378182769774867e-08,2.6358328852893465e-08
1866,8.514822269489741e-08,3.8924902412418305e-08
1867,9.899735431417866e-08,4.85281148598915e-08
1868,7.95319721191845e-08,2.667531973088444e-08
1869,1.015771999846038e-07,3.1742874995188686e-08
1870,9.461180638936639e-08,2.1789386295267832e-08
1871,7.434824311758348e-08,3.080141297573391e-08
1872,1.1852785064547788e-07,2.8422494580127022e-08
1873,1.0056487553811166e-07,3.112722168907567e-08
1874,1.0037343400881582e-07,2.2106053876314036e-08
1875,6.293679888358383e-08,2.1741803024610817e-08
1876,7.436598536969541e-08,1.9951848173604958e-08
1877,1.0328642474632943e-07,1.793596560162314e-08
1878,5.435179772916854e-08,1.9325083755461492e-08
1879,8.553055153015521e-08,2.5659165459046562e-08
1880,9.690948132856647e-08,1.6686399817444908e-08
1881,1.1853262549266219e-07,9.761510710859511e-09
1882,7.387477296560974e-08,1.3976308999019693e-08
1883,6.824885900869049e-08,1.64302811356265e-08
1884,6.931782081665006e-08,3.036780782394999e-08
1885,5.672159275604827e-08,8.379326565943757e-09
1886,6.517998230037847e-08,1.097088819790315e-08
1887,8.814048158001242e-08,1.566941953967671e-08
1888,7.101488108673948e-08,2.1558090423923204e-08
1889,8.896493852716958e-08,1.6915869593958632e-08
1890,8.061895329092295e-08,2.0318598359381213e-08
1891,7.904032628403002e-08,1.211101796627645e-08
1892,8.149066133000815e-08,1.6924984080901595e-08
1893,5.173069794750518e-08,1.0469308087124318e-08
1894,9.956431767932372e-08,1.449354058991048e-08
1895,7.944571223106323e-08,2.2870734639468537e-08
1896,6.073939573525422e-08,1.2973464080801023e-08
1897,7.108590693860606e-08,1.3984112534615178e-08
1898,5.714938566825367e-08,2.0370077180587032e-08
1899,5.9145087050183065e-08,6.080336234504102e-09
1900,6.69645885409409e-08,9.34389543516545e-09
1901,6.594711976504186e-08,1.5089595351014395e-08
1902,4.4192553616539954e-08,7.856454153909453e-09
1903,3.510143287144274e-08,7.020286574288548e-09
1904,3.493506284257819e-08,1.0749250378694342e-08
1905,5.522012003211785e-08,1.2385822145688508e-08
1906,3.600929332492342e-08,4.115347618238729e-09
1907,5.6056993713582415e-08,9.257117739025489e-09
1908,5.3043002878894185e-08,1.080505640516094e-08
1909,5.611003217609323e-08,3.850688656825696e-09
1910,5.1303846504424655e-08,8.550641084070776e-09
1911,7.820950287396045e-08,1.649316061502759e-08
1912,6.772247473918469e-08,9.897900277167082e-09
1913,6.522677153952827e-08,9.545381374209683e-09
1914,5.2904276515164383e-08,3.3483718020477227e-09
1915,3.534228554258334e-08,1.5314990164938536e-08
1916,2.966614687238689e-08,2.4172416956957932e-08
1917,7.895825859804972e-08,1.0966424213165737e-08
1918,5.6283244731503146e-08,1.033773866510046e-08
1919,5.616787390749778e-08,1.3811772170413406e-08
1920,6.815008646299248e-08,6.057785384427916e-09
1921,6.28538003866197e-08,8.330022005509363e-09
1922,8.263288009402459e-08,1.623145884366295e-08
1923,6.051090650771584e-08,9.554353752605493e-09
1924,6.316896161706609e-08,2.578324886925998e-09
1925,8.578578558626759e-08,5.499089184013428e-09
1926,4.681378129589575e-08,7.802296586589819e-09
1927,6.355057990958812e-08,1.3379070296082318e-08
1928,4.913197670930458e-08,7.998228745975666e-09
1929,7.241263944024467e-08,4.4561625500705304e-09
