year,leurs_DET ans_NOUN,leurs_DET rangs_NOUN
1800,3.458580977167003e-08,1.289107474988782e-06
1801,2.6193008650921e-08,1.219165451260551e-06
1802,2.2378401354217203e-08,1.3561311789089814e-06
1803,4.290746247193056e-08,1.283323246781265e-06
1804,2.2246657849223084e-08,1.5374912436527666e-06
1805,3.980028751016107e-08,1.469767738626615e-06
1806,4.610670600868616e-08,1.4148995610696602e-06
1807,5.693910054560547e-08,1.1530168060325252e-06
1808,6.798221763304468e-08,1.1579638101721912e-06
1809,3.162642681076022e-08,2.064753808816988e-06
1810,1.6380887757350138e-08,1.6778709177600604e-06
1811,3.5099073869560016e-08,1.7098263880299669e-06
1812,2.6672083208723052e-08,1.5229759497970008e-06
1813,2.300593315851529e-08,1.5241430482149099e-06
1814,3.776012391654149e-08,2.2970742667993704e-06
1815,3.506390555685357e-08,2.573151181017863e-06
1816,9.502176112619054e-08,1.7868726125414014e-06
1817,1.71256075987003e-08,2.930035790882357e-06
1818,3.695565098382758e-08,2.6310039498156357e-06
1819,4.968504185853817e-08,2.353828758572263e-06
1820,4.746592452420373e-08,2.9286475360379427e-06
1821,4.043210211079895e-08,2.1922087523051914e-06
1822,3.208197085768916e-08,2.1645304997264248e-06
1823,6.621399961659336e-08,2.273017953413614e-06
1824,7.494790565942822e-08,2.7006508851457056e-06
1825,1.6730341556581152e-08,2.885543647579425e-06
1826,2.290075862276808e-08,2.4477387654542326e-06
1827,3.3182182335167454e-08,2.5458108154907677e-06
1828,6.604057034564903e-08,2.3692053225943255e-06
1829,2.2290258194779256e-08,2.4545003505238583e-06
1830,2.1917355041978226e-08,2.4526564263993578e-06
1831,3.1182413096075834e-08,2.514861462188378e-06
1832,1.2176972319366541e-08,2.3542145894950295e-06
1833,3.4750886612755494e-08,2.371168847048466e-06
1834,4.293884248163238e-08,2.525924012175551e-06
1835,1.3613558280667348e-08,2.4542221339629577e-06
1836,3.6964125260663394e-08,2.6352060125134358e-06
1837,2.6439985201243132e-08,2.32532703758892e-06
1838,2.335499815764308e-08,2.663101054345418e-06
1839,1.747868827450816e-08,2.7476498489775736e-06
1840,1.9746034474188434e-08,3.0778334512149286e-06
1841,3.146068650039524e-08,2.3531309576441117e-06
1842,2.951636579595629e-08,2.6826351380293545e-06
1843,1.0041748876865597e-08,2.276523577648959e-06
1844,2.0856533611279815e-08,2.8106921226012105e-06
1845,1.1718478298838875e-08,2.5250531017206868e-06
1846,2.5759806732139623e-08,2.3505821822311646e-06
1847,8.089835468183537e-09,2.4916692478171854e-06
1848,2.494018680465615e-08,2.282429495181759e-06
1849,3.603148401865042e-08,2.2624420310535243e-06
1850,1.2220192857625989e-08,2.5431578034584845e-06
1851,1.1608989769484879e-08,2.4127350144453885e-06
1852,3.7761164861649377e-08,1.9355850788826956e-06
1853,1.7318602996141408e-08,1.9653626637250454e-06
1854,2.701745477340367e-08,1.7587324538936855e-06
1855,2.4411910715116392e-08,2.108446011561682e-06
1856,1.9673318418789165e-08,2.165100637441242e-06
1857,4.3445430475408386e-08,1.8549735045780835e-06
1858,3.523446845399292e-08,2.210473404318236e-06
1859,2.698851964133553e-08,2.3734620278048624e-06
1860,2.1055045262841077e-08,2.580158616538597e-06
1861,2.5937799741360124e-08,1.9675001770025347e-06
1862,2.078273733663316e-08,1.8817412703597824e-06
1863,2.0477945228414285e-08,1.837521041991863e-06
1864,2.8288894005079612e-08,1.942344333372148e-06
1865,1.5532586550293104e-08,1.9796986574505127e-06
1866,3.795178094012641e-08,1.8932100189772427e-06
1867,2.232293283555009e-08,1.6654849321895426e-06
1868,2.5193357400254968e-08,1.7669929848196375e-06
1869,1.4162205408396744e-08,1.8142273781052154e-06
1870,2.5229814681893004e-08,1.9157457398222277e-06
1871,1.805600113868877e-08,2.331348493811447e-06
1872,1.7537283514279522e-08,1.982317845872217e-06
1873,1.7359413795325906e-08,1.7257650455348994e-06
1874,1.911874852877915e-08,1.750560488122943e-06
1875,1.0870901512305409e-08,1.7679519395130683e-06
1876,2.5997864083748823e-08,1.5683362528662315e-06
1877,1.9172929910382663e-08,1.684125432888095e-06
1878,4.589707236490881e-08,1.8739292375613559e-06
1879,2.260450293611882e-08,1.4619615882338621e-06
1880,3.2731015897624616e-08,1.3137330769907862e-06
1881,2.161477419271307e-08,1.4516760309390975e-06
1882,1.6638463051776853e-08,1.4355665376442062e-06
1883,1.7694149478941767e-08,1.4180596767943143e-06
1884,2.442627877741188e-08,1.595630110706736e-06
1885,1.5469525438405185e-08,1.2917053870964423e-06
1886,2.5168509276696227e-08,1.3339309479221129e-06
1887,2.4157020495074732e-08,1.3005617631733912e-06
1888,7.60873763994141e-09,1.297289768942278e-06
1889,1.9421923069806724e-08,1.4046436627168646e-06
1890,2.4906667839275087e-08,1.4367214689059438e-06
1891,1.7847816891070067e-08,1.1556461103623406e-06
1892,1.2537024973724442e-08,1.0831989030180011e-06
1893,1.4164357742263434e-08,1.093734796953072e-06
1894,1.7014155417882648e-08,1.3447484743522864e-06
1895,1.444467478961542e-08,1.4300227846320013e-06
1896,3.125425407368709e-08,1.1546382792104737e-06
1897,1.5149455467877715e-08,1.2090430629996263e-06
1898,1.0750874412934763e-08,1.2533256281699323e-06
1899,8.844125432005967e-09,1.1746104284782177e-06
1900,1.2458527431924438e-08,1.1103662780342916e-06
1901,1.0059729993461275e-08,1.1216598512220344e-06
1902,8.838510812125833e-09,8.936716326957139e-07
1903,1.8900770726304472e-08,9.952606241370177e-07
1904,1.5048950530172078e-08,1.0813746129656465e-06
1905,2.0126960542654615e-08,9.949943073905843e-07
1906,9.773950260250075e-09,1.1240042665505712e-06
1907,1.645709940545359e-08,1.0424543623877014e-06
1908,2.7503779254089977e-08,1.0736296740532225e-06
1909,1.4852655993990993e-08,9.780748948529094e-07
1910,9.085056040802897e-09,1.145785932799015e-06
1911,6.916486383623521e-09,1.0231079912159657e-06
1912,1.9274858487072777e-08,1.0413632915984294e-06
1913,1.6969566696278804e-08,1.0818098790110753e-06
1914,2.6117300322425763e-08,1.0406739932022901e-06
1915,2.1205371458776767e-08,1.2947057497214587e-06
1916,5.493731025651982e-09,1.1910408872495282e-06
1917,6.57985488317081e-09,1.0703230053366042e-06
1918,1.2635013924011673e-08,1.0923543989349582e-06
1919,1.4732557174212957e-08,1.0717935516879606e-06
1920,2.8017257402979112e-08,7.996276880639641e-07
1921,9.0872969149558e-09,7.974102835817121e-07
1922,8.853522359686394e-09,8.632184749224336e-07
1923,2.229349105320466e-08,7.90888107893295e-07
1924,1.5469948877466777e-08,7.91545742728772e-07
1925,7.698724768800957e-09,7.555748418042185e-07
1926,1.0031524610987219e-08,7.166966877747427e-07
