year,pourrons_VERB ajouter_VERB
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,0.0
1803,0.0
1804,2.2246657849223084e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,4.5321479902327155e-09
1809,3.388545621874073e-08
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,2.0130190847567064e-08
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,1.2421260464634543e-08
1820,4.746592452420373e-09
1821,2.7612166775270452e-08
1822,2.606660132187244e-08
1823,1.2847492847356534e-08
1824,1.0105335235266466e-08
1825,1.1447076175841175e-08
1826,6.1655889282974385e-09
1827,2.7651818612639545e-09
1828,1.0089530988466322e-08
1829,2.571952872898464e-09
1830,1.5655253093882493e-08
1831,1.4032085715598441e-08
1832,2.0294953273491956e-08
1833,1.1583628278799551e-08
1834,1.9602515166639023e-08
1835,9.832014313815307e-09
1836,7.392825018825988e-09
1837,2.852735292435682e-08
1838,1.830527018853445e-08
1839,6.9914751765765e-10
1840,1.4013314952876499e-08
1841,1.5409316489467528e-08
1842,1.341653010911159e-08
1843,1.8311423488626133e-08
1844,8.781698035420504e-09
1845,3.348136878855712e-09
1846,9.367202125076801e-09
1847,8.089835468183537e-09
1848,1.448139919091318e-08
1849,1.4245005175439474e-08
1850,6.788996032014438e-09
1851,9.029214709244116e-09
1852,9.765818376195057e-09
1853,1.5527023222716707e-08
1854,6.234797567117312e-09
1855,7.429711956774554e-09
1856,2.329735160344626e-08
1857,1.4156376515472857e-08
1858,8.31924928945682e-09
1859,1.3748867822016564e-08
1860,4.119465657481669e-09
1861,8.488735048217677e-09
1862,1.400575744270327e-08
1863,6.99246927027275e-09
1864,2.0137857603685916e-08
1865,1.2237795665726026e-08
1866,1.0217787504984699e-08
1867,6.79393608038481e-09
1868,1.2843672791973404e-08
1869,1.0255390314739543e-08
1870,1.490852596930381e-08
1871,9.559059321873065e-09
1872,8.4662747923403e-09
1873,1.1972009161809183e-08
1874,9.559374625212058e-09
1875,2.1169650921137873e-08
1876,3.083467703390852e-08
1877,1.608052180301911e-08
1878,9.662541877730746e-09
1879,9.163987790827832e-09
1880,3.8507077526617195e-09
1881,9.064259565150223e-09
1882,1.9966154951589488e-08
1883,1.64302811356265e-08
1884,1.1883054540362536e-08
1885,9.023890079618013e-09
1886,2.0651084398082276e-08
1887,7.834709769838355e-09
1888,7.60873763994141e-09
1889,1.566284169030041e-08
1890,2.5562107097698572e-08
1891,8.92390783491237e-09
1892,9.402768341715273e-09
1893,2.0322774574310642e-08
1894,6.9316934414587195e-09
1895,5.416753268150387e-09
1896,1.0024948871034667e-08
1897,1.1070755867592652e-08
1898,5.092519295146758e-09
1899,1.879376654301268e-08
1900,9.34389543516545e-09
1901,1.117747761014698e-08
1902,1.0311596021495006e-08
1903,1.0800440541913758e-08
1904,9.674325340824907e-09
1905,6.708986699521802e-09
1906,4.115347618238729e-09
1907,1.2342823652033985e-08
1908,1.3260750719723546e-08
1909,1.5952851484257735e-08
1910,3.046165986120286e-08
1911,1.3300935464144459e-08
1912,1.3544495303108306e-08
1913,5.833288518886093e-09
1914,3.3483718020477227e-09
1915,2.3561524287174507e-08
1916,1.8678685265172135e-08
1917,1.0966424213165737e-08
1918,2.2972752589112133e-09
1919,5.524709134618888e-09
1920,1.3630017114962811e-08
1921,1.438822039290244e-08
1922,1.0329110011753073e-08
1923,9.554353752605493e-09
1924,9.02413699321869e-09
1925,7.698724324711748e-09
1926,2.229227691330493e-09
1927,1.6723836537835268e-08
1928,2.2852082448565625e-09
1929,1.2254447234738564e-08
1930,1.1553964007759987e-08
1931,1.0264820993199919e-08
1932,1.2055489939655217e-08
1933,1.261772819560747e-08
1934,1.5576054224197833e-08
1935,7.180970484910176e-09
1936,1.6974599503782883e-08
1937,1.2591118148108649e-09
1938,1.8151300906765755e-08
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,1.7419411690866582e-08
1944,3.213186161588055e-08
1945,1.089252066321933e-08
1946,1.2528993842408909e-08
1947,5.960435700558264e-09
1948,1.3046265401328583e-08
1949,9.817008539414473e-09
1950,1.595304155443955e-08
1951,1.0661401539380222e-08
1952,1.2653764258629963e-08
1953,3.232148326759443e-09
1954,1.2704297169818801e-08
1955,8.447047505910632e-09
1956,2.0058624983221307e-08
1957,4.417518795207798e-09
1958,1.3235589513271862e-08
1959,1.7826719656000023e-08
1960,8.305000243069571e-09
1961,5.55852741612739e-09
1962,4.43936931660005e-09
1963,3.2330267352165265e-09
1964,7.300761772910391e-09
1965,1.2585699593614663e-08
1966,7.754704434148607e-09
1967,7.888536934785861e-09
1968,7.186265360559219e-09
1969,8.175163657142548e-09
1970,1.1496812390987543e-08
1971,5.138397263237948e-09
1972,2.565073486948677e-09
1973,8.269805285010534e-09
1974,5.06301445213353e-09
1975,4.569184142155791e-09
1976,3.9994687561772935e-09
1977,7.639816779203557e-09
1978,1.1881182260253809e-08
