year,voulais_VERB acheter_VERB,voulais_VERB racheter_VERB
1800,9.432493897065797e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,2.2563691359778204e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,3.2187177367859476e-08,0.0
1819,1.7596784473994376e-08,0.0
1820,4.746592452420373e-09,0.0
1821,1.577838126820552e-08,9.86148829262845e-10
1822,2.606660132187244e-08,0.0
1823,1.680056804787e-08,1.9765373782121287e-09
1824,1.0947446504872005e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,1.935627302884768e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,2.571952872898464e-09,0.0
1830,3.1310506187764986e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.705993873419743e-09,2.705993873419743e-09
1833,2.7800709290204395e-08,0.0
1834,7.467624740797874e-09,0.0
1835,3.479020449503878e-08,0.0
1836,1.0753200108126748e-08,0.0
1837,4.174734336004349e-09,0.0
1838,8.837027110075724e-09,0.0
1839,2.7965900706306e-09,0.0
1840,1.8472096741106725e-08,0.0
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,9.391571076378114e-09,6.708265054555795e-10
1843,2.126487963494128e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,3.348136878855712e-09,1.674068439427856e-09
1846,1.8148954339380907e-08,0.0
1847,1.0247124926365814e-08,0.0
1848,1.206783295515379e-08,0.0
1849,1.256912263158938e-08,0.0
1850,6.1100964288129944e-09,0.0
1851,5.159551008659946e-09,0.0
1852,9.114764054629632e-09,0.0
1853,5.971931837933653e-09,1.1943863675867306e-09
1854,1.2989160858012383e-08,0.0
1855,1.1144567935161831e-08,3.714855978387277e-09
1856,3.1063134287023786e-09,0.0
1857,1.610898081594314e-08,0.0
1858,3.131952652779546e-08,0.0
1859,1.1202780925145817e-08,1.018434669930457e-09
1860,1.6477862629926676e-08,9.154367819341758e-10
1861,1.6977470096435354e-08,3.3011746669586728e-09
