year,devez_VERB établir_VERB,devez_VERB rétablir_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.9662210465630778e-08,2.4718509461507665e-09
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,1.556873407970727e-09,0.0
1818,1.9073883805731384e-08,2.384235475716423e-09
1819,2.4842520929269085e-08,0.0
1820,4.153268307049984e-08,0.0
1821,3.8459806006585495e-08,0.0
1822,9.023054303725075e-09,0.0
1823,2.2730180404550993e-08,0.0
1824,5.894778887238772e-09,0.0
1825,1.2327619813845558e-08,0.0
1826,1.76159691278599e-08,4.403992281964975e-09
1827,1.2904182611350734e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,8.57317605795771e-10,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,6.236482441579483e-09,0.0
1832,6.764984572527055e-09,0.0
1833,8.108539617524002e-09,0.0
1834,2.6136685704614138e-08,0.0
1835,1.285724948729694e-08,0.0
1836,7.392825018825988e-09,0.0
1837,1.0436836284100082e-08,0.0
1838,1.3886756633496589e-08,0.0
1839,7.690622361167243e-09,0.0
1840,2.8026629905752998e-08,6.369688665408546e-10
1841,2.118781061710706e-08,0.0
1842,8.049918065466954e-09,3.3541325272778977e-09
1843,8.269675610961258e-09,0.0
1844,6.586273748609983e-09,5.488561272137815e-10
1845,1.3950569588416784e-08,0.0
1846,8.196302303531411e-09,1.1709002656346001e-09
1847,1.7258315665458213e-08,0.0
1848,2.413566457803995e-09,0.0
1849,4.1897072478036534e-09,0.0
1850,8.146795238417326e-09,0.0
1851,1.7413483988093503e-08,6.449438760824933e-10
1852,1.0416872697760482e-08,0.0
1853,4.777545470346922e-09,0.0
1854,1.454786069388092e-08,0.0
1855,1.1675261646360013e-08,0.0
1856,1.346069211649592e-08,2.0708756931497874e-09
1857,1.9526036343364694e-09,3.4170564155999728e-09
1858,9.297984604472731e-09,4.893676019968041e-10
1859,1.2221216039165483e-08,0.0
1860,7.323494255473406e-09,3.204028820036342e-09
1861,1.4147890858851042e-08,0.0
1862,1.581295272501393e-08,4.517986262886353e-10
1863,1.8480097452311384e-08,4.994620828036034e-10
1864,1.1507347075223606e-08,0.0
1865,1.1296426905005319e-08,1.4120533631256649e-09
1866,8.271541673821048e-09,0.0
1867,3.396968040192405e-09,0.0
1868,1.432563490055827e-08,0.0
1869,1.2208797528501236e-08,0.0
1870,1.204150201772336e-08,1.1468097582678638e-09
1871,0.0,0.0
1872,7.861540751719076e-09,4.8378714367913744e-09
1873,1.3169209722718733e-08,0.0
1874,1.1949218281515073e-09,1.7923826867161097e-09
1875,1.716458086775674e-08,3.432916173551348e-09
1876,1.813804439976252e-09,6.04601479992084e-10
1877,3.710889595609501e-09,0.0
1878,9.662541877730746e-09,0.0
1879,6.109325489944695e-09,0.0
1880,6.417846254436199e-09,0.0
1881,9.761510710859511e-09,5.5780060570498335e-09
1882,1.3976308999019693e-08,0.0
1883,5.0554711528150165e-09,0.0
1884,5.941527270181268e-09,0.0
1885,6.445635580831777e-09,0.0
1886,1.7424351739236954e-08,0.0
1887,3.9173548849191775e-09,0.0
1888,1.268122939990235e-09,6.340614699951175e-10
1889,0.0,0.0
1890,2.3595791986963377e-08,6.554386478008212e-10
1891,1.2748440081367107e-09,0.0
1892,7.522214851007902e-09,6.268512375839919e-10
1893,1.2932674486876294e-08,0.0
1894,3.150769645188234e-09,0.0
1895,6.018614495673091e-09,6.018614495673091e-10
