year,pouvons_VERB appeler_VERB,pouvons_VERB rappeler_VERB
1800,1.1947824418712116e-07,0.0
1801,6.429193177837078e-08,4.7623651688866175e-09
1802,1.0294064622939914e-07,4.475680270843441e-09
1803,8.581492494386112e-08,1.3652374342143503e-08
1804,2.4718509905596875e-08,9.887403784603066e-09
1805,4.5486043376286034e-08,2.842877711017877e-09
1806,3.458002950651462e-08,1.4408345627714425e-08
1807,1.1672516109229036e-07,2.8469550272802735e-08
1808,4.078933102391602e-08,6.345007363961486e-08
1809,9.03612189517844e-08,1.581321384946932e-08
1810,1.0296557917399696e-07,7.956430891908894e-08
1811,9.025476543911282e-08,3.008491944456182e-08
1812,8.535066342574282e-08,4.5342538612658245e-08
1813,6.326631307729258e-08,2.8757416448144113e-09
1814,7.552024783308298e-08,3.4613449884091096e-08
1815,4.8550024445148665e-08,1.0788894222457657e-08
1816,1.5064425440414198e-07,4.6352077731626196e-09
1817,9.963989811012652e-08,3.269434145636296e-08
1818,6.795070817133819e-08,5.6029534789558966e-08
1819,1.3456364911235141e-07,1.1386155129855524e-08
1820,9.611849804969097e-08,1.898636980968149e-08
1821,8.57949515875589e-08,6.903041693817613e-09
1822,9.624591257306747e-08,1.5038423839541792e-08
1823,7.807322788266902e-08,1.581229902569703e-08
1824,7.410579172528742e-08,5.052667617633233e-09
1825,9.5979331149465e-08,8.805443485471187e-09
1826,7.574866600634778e-08,3.170874407487645e-08
1827,7.18947319455765e-08,8.295545583791863e-09
1828,1.467568182533796e-07,2.7516904310687096e-09
1829,1.4145740578896948e-07,2.2290258527846163e-08
1830,9.914994336668315e-08,2.0873670791843324e-08
1831,9.666548095310645e-08,3.1182412207897414e-09
1832,1.6641862998767465e-07,3.92369123858316e-08
1833,9.498575082034222e-08,9.266902800675325e-09
1834,1.0174638731541563e-07,3.547121707470069e-08
1835,8.621920244422654e-08,3.2521278114927554e-08
1836,1.7877195546134317e-07,1.747394939854985e-08
1837,9.810626266926192e-08,3.478945487245255e-08
1838,1.180374269438289e-07,2.840472923537618e-08
1839,9.29866175169991e-08,3.146163862766116e-08
1840,1.1656530318759906e-07,2.8663599493938818e-08
1841,1.7078659197977686e-07,2.43980835534785e-08
1842,1.3416530464382959e-07,4.22620693996123e-08
1843,1.8665838297238224e-07,4.430183153658618e-08
1844,2.38752420500532e-07,2.6345094994439933e-08
1845,1.8414752389617206e-07,5.747634901354104e-08
1846,1.2470087540350505e-07,5.971591576781066e-08
1847,1.5910009665276448e-07,4.2067142658197554e-08
1848,9.091100849900613e-08,6.757986170669028e-08
1849,1.516674075219271e-07,5.53041381579078e-08
1850,1.0590834165213892e-07,5.2275268558332755e-08
1851,1.360831589636291e-07,6.191461210391935e-08
1852,1.9010792584595038e-07,3.711010876372711e-08
1853,1.3257688635803788e-07,5.792773905000104e-08
1854,1.3196988390973274e-07,4.052618152172727e-08
1855,1.4381799928742112e-07,5.200798369742188e-08
1856,1.718826894148151e-07,4.970101485923806e-08
1857,1.2594293252732314e-07,4.4421732070532016e-08
1858,1.6149131454312737e-07,3.8170671956549995e-08
1859,1.7415233344308945e-07,8.554851405051522e-08
1860,1.5196251013094297e-07,3.707518914097818e-08
1861,1.5185403867690184e-07,6.602348889828136e-08
1862,1.337323993766404e-07,5.1956842384015545e-08
1863,1.5583216850245662e-07,4.994620894649415e-08
1864,2.483669163666491e-07,3.9796240969280916e-08
1865,1.7085845627207163e-07,6.683718822841911e-08
1866,1.6932332869146194e-07,7.006482860560936e-08
1867,1.6839256034018035e-07,6.551295683721037e-08
1868,2.168604709140709e-07,5.335063946176888e-08
1869,2.1438648900584667e-07,4.5905078849273195e-08
1870,2.1961406559967145e-07,5.2179842668920173e-08
1871,1.667524855974989e-07,7.009977309735405e-08
1872,2.0077166595910967e-07,4.051717183983783e-08
1873,1.9574234499941667e-07,5.6268440573603584e-08
1874,2.2703514446220652e-07,5.138164027584935e-08
1875,2.8779280114576977e-07,8.696721209844327e-08
1876,1.8440344717873813e-07,7.85981910667033e-08
1877,2.2389033915715117e-07,6.49405649255641e-08
1878,1.872117536549922e-07,5.3747889694477635e-08
1879,1.8144696412036865e-07,6.048232137345622e-08
1880,1.8162505455165956e-07,5.776061584583658e-08
1881,2.2381749431588105e-07,4.671580100534811e-08
1882,1.8568525206319464e-07,6.322616030729478e-08
1883,1.661986175349739e-07,7.140852886777793e-08
1884,1.577805619490391e-07,7.12983307948889e-08
1885,1.64363711974147e-07,4.640857653726016e-08
1886,1.7811559871461213e-07,6.388929563172496e-08
1887,1.749751845636638e-07,6.790081386043312e-08
1888,1.9972935660916846e-07,8.813454144274147e-08
1889,1.72917779650561e-07,7.392861078869828e-08
1890,1.664814135438064e-07,6.554386544621593e-08
1891,2.065247315385932e-07,5.609313546983685e-08
1892,2.1187571519476478e-07,8.337121215618026e-08
1893,1.5396041419535322e-07,6.158416709922676e-08
1894,1.7329233514828957e-07,6.868678070759415e-08
1895,1.474560491487864e-07,7.282523739604585e-08
1896,1.409389938089589e-07,4.363801409112966e-08
1897,1.3284906685839815e-07,4.136966680334808e-08
