year,diverses_ADJ règles_NOUN
1800,3.144164395507687e-08
1801,1.6668277424969347e-08
1802,3.1329761895904085e-08
1803,5.851017803593095e-08
1804,1.408955085935304e-07
1805,8.528633421711618e-08
1806,1.2103009794373065e-07
1807,7.68677872464707e-08
1808,8.837688625362716e-08
1809,9.262025457701384e-08
1810,1.2168659679900884e-07
1811,3.760615285841595e-08
1812,8.268345785822362e-08
1813,8.339650747757332e-08
1814,7.866692541824705e-08
1815,1.1867783378249896e-07
1816,3.9399267848239106e-08
1817,5.916118794857539e-08
1818,8.821671571013212e-08
1819,5.5895669093253275e-08
1820,5.6959110317222894e-08
1821,5.5224333550540905e-08
1822,4.6117833107928163e-08
1823,6.81905376609393e-08
1824,8.000056794799093e-08
1825,7.13240879690602e-08
1826,4.7563116112314674e-08
1827,1.0046827725318508e-07
1828,1.4033620221454157e-07
1829,1.2088178191760335e-07
1830,8.558205522035678e-08
1831,9.978371906527173e-08
1832,9.2003789031736e-08
1833,7.52935847003755e-08
1834,7.934351486937885e-08
1835,7.411826175030001e-08
1836,6.653542783396915e-08
1837,6.957890574810222e-08
1838,6.627769910672043e-08
1839,1.2444825969737394e-07
1840,9.044957760551142e-08
1841,1.0979138176381298e-07
1842,6.43993476323601e-08
1843,1.1872891336750513e-07
1844,9.111011634033161e-08
1845,9.597992223220331e-08
1846,1.2294453299865893e-07
1847,1.100217623672961e-07
1848,8.206125862164626e-08
1849,8.463208844844416e-08
1850,1.371377225112269e-07
1851,7.15887722435582e-08
1852,1.0221556512313157e-07
1853,8.360704795151719e-08
1854,6.338710845099627e-08
1855,1.0613874223963649e-07
1856,8.801221618170985e-08
1857,6.687667264415609e-08
1858,5.236233302507998e-08
1859,1.3494259487600857e-07
1860,9.932489053454674e-08
1861,5.989274143303192e-08
1862,7.816116465164669e-08
1863,5.943598768709535e-08
1864,9.493561337059475e-08
1865,6.260103058153277e-08
1866,1.0217787371757936e-07
1867,6.599823620945244e-08
1868,6.372437466595215e-08
1869,7.911301069807308e-08
1870,5.848729944801789e-08
1871,6.691341369879922e-08
1872,4.8983448186490364e-08
1873,1.0595228250309674e-07
1874,5.974609074144155e-08
1875,4.062284375550007e-08
1876,9.310862481015647e-08
1877,5.3807899580426977e-08
1878,6.642997785188953e-08
1879,4.276527654223372e-08
1880,5.455169227452927e-08
1881,8.018383512720106e-08
1882,7.454031303311126e-08
1883,6.698499382951084e-08
1884,8.714239818630176e-08
1885,6.961286658224708e-08
1886,7.421483161351716e-08
1887,1.018512239547853e-07
1888,5.199304098368884e-08
1889,5.074760767165287e-08
1890,1.0159299312917369e-07
1891,7.840290683347462e-08
1892,8.149066133000815e-08
1893,8.067525691934918e-08
1894,9.704370285135155e-08
1895,8.245501947889977e-08
1896,7.48922701632182e-08
1897,7.39992600529149e-08
1898,1.1316709924713564e-07
1899,6.798921425854587e-08
1900,7.786579736546173e-08
1901,1.1456914705831878e-07
1902,8.592996469936054e-08
1903,9.018368052338133e-08
1904,8.545654317515528e-08
1905,5.109151307580717e-08
1906,6.481672309988085e-08
1907,8.074264101765039e-08
1908,7.367083720843937e-08
1909,8.031435672073428e-08
1910,7.000837554116401e-08
1911,8.991432465244031e-08
1912,8.960204667118887e-08
1913,7.052976247479137e-08
1914,7.098548504558266e-08
1915,6.715034128745856e-08
1916,4.0653610255958483e-08
1917,5.04455535121906e-08
1918,8.614782043281366e-08
1919,6.44549373873815e-08
1920,9.541012291336415e-08
1921,9.465934169838874e-08
1922,5.75478971143184e-08
1923,8.492758762912445e-08
1924,6.187979550986711e-08
1925,8.358615555259519e-08
1926,8.582526955791536e-08
1927,6.912519268098549e-08
1928,5.941541469933753e-08
1929,1.1363214502679853e-07
1930,9.033098713473464e-08
1931,8.439963838924314e-08
1932,5.260577584653703e-08
1933,8.832410158809978e-08
1934,1.2341027044726616e-07
1935,9.454944205344873e-08
1936,2.3885687427949165e-07
1937,1.7123920770245604e-07
