year,pouvons_VERB égaler_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,1.5862518409903714e-08
1809,0.0
1810,2.3401267590372754e-09
1811,1.504245972228091e-08
1812,0.0
1813,0.0
1814,2.2026739543434815e-08
1815,0.0
1816,2.0858434979231788e-08
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,2.794783426907088e-08
1820,7.119888678630559e-09
1821,1.3806083387635226e-08
1822,2.5064039732569654e-08
1823,9.882686891060644e-10
1824,0.0
1825,8.805443485471187e-09
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,1.0089530988466322e-08
1829,1.971830521085849e-08
1830,1.1480519646056564e-08
1831,0.0
1832,2.705993873419743e-09
1833,0.0
1834,0.0
1835,5.294161553592858e-09
1836,1.1425274948351216e-08
1837,9.74104708006962e-09
1838,1.3255539776935166e-08
1839,1.3982950353153e-09
1840,5.095750932326837e-09
1841,1.1556987367100646e-08
1842,2.0124795163667386e-09
1843,1.7720733325177207e-08
1844,0.0
1845,1.0602432709561072e-08
1846,7.610851504580296e-09
1847,8.089835468183537e-09
1848,4.02261068899179e-09
1849,1.1731181359664333e-08
1850,3.394498016007219e-09
1851,5.8044946626978344e-09
1852,5.859490670445666e-09
1853,3.5831591027601917e-09
1854,2.0782657816909023e-09
1855,4.2455496895854594e-09
1856,1.1907535402144731e-08
1857,8.298565390418844e-09
1858,8.31924928945682e-09
1859,2.5970084749360467e-08
1860,6.865775947773045e-09
1861,1.4147891747029462e-09
1862,4.9697850279528666e-09
1863,8.990317823531768e-09
1864,5.753673537611803e-09
1865,3.294791106611683e-09
1866,6.811858188626729e-09
1867,5.338092634588065e-09
1868,6.915823469455518e-09
1869,6.348574999037737e-09
1870,4.013834153937523e-09
1871,2.1242354542039266e-09
1872,4.23313739617015e-09
1873,2.3944017879529156e-09
1874,1.4339061493728877e-08
1875,5.149374260327022e-09
1876,3.02300739996042e-09
1877,1.8554447978047506e-09
1878,6.6429977074733415e-09
1879,1.832797580370027e-09
1880,2.5671385017744797e-09
1881,2.091752326904839e-09
1882,1.9966155395678697e-09
1883,1.579834751908038e-08
1884,3.9610181801208455e-09
1885,5.156508553483263e-09
1886,1.936039106809062e-09
1887,3.9173548849191775e-09
1888,9.510921827882157e-09
1889,7.51816386923565e-09
1890,6.554386366985909e-09
1891,5.736798147637501e-09
1892,8.775916882086676e-09
1893,2.463366621796581e-09
1894,1.2603078580752936e-09
1895,6.6204757231957956e-09
1896,1.179405795248556e-09
1897,1.4566784223291052e-08
1898,1.1316709347397591e-08
1899,6.080336234504102e-09
1900,3.114631885736685e-09
1901,5.58873880507349e-09
1902,0.0
1903,6.480264325148255e-09
1904,4.299700151477737e-09
1905,7.2250627702885595e-09
1906,6.173021205313489e-09
1907,3.0857059130084963e-09
1908,6.384805573134145e-09
1909,5.500983557560346e-10
1910,3.206490406526541e-09
1911,1.4897047151407605e-08
1912,2.0837684910901544e-09
1913,4.242391771214216e-09
1914,6.696743604095445e-09
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,9.189101035644853e-09
1919,3.6831393490643904e-09
1920,0.0
1921,3.0290989716519334e-09
1922,8.853522359686394e-09
1923,4.246379248229459e-09
1924,3.867487219366694e-09
1925,3.299453377181294e-09
1926,6.687683296036084e-09
