year,vous_PRON assurer_VERB,vous_PRON rassurez_VERB
1800,1.8330479178985115e-06,2.829748080301897e-08
1801,3.1169679459708277e-06,3.095537337571841e-08
1802,2.430294443911407e-06,4.0281122437590966e-08
1803,1.9971473648183746e-06,2.7304748684287006e-08
1804,2.9563336738647195e-06,1.9774807569206132e-08
1805,3.3204812552867224e-06,5.4014676953428875e-08
1806,4.855612587562064e-06,2.881669125542885e-09
1807,1.8419799516777857e-06,4.555128185756985e-08
1808,2.3793777472747024e-06,6.798221985349073e-09
1809,2.957071046694182e-06,2.25903047379461e-08
1810,3.6529379485727986e-06,2.2699229162981283e-07
1811,1.6922767827054486e-06,2.5070767684098882e-09
1812,1.6963443840722903e-06,1.3336041604361526e-08
1813,1.6276698033834691e-06,2.8757416448144113e-08
1814,1.9761132534767967e-06,3.776012391654149e-08
1815,2.2117233129392844e-06,2.966945977789237e-08
1816,2.2874751266499516e-06,3.9399267848239106e-08
1817,2.62488856606069e-06,4.514932783195036e-08
1818,2.640540742504527e-06,2.1458119947581622e-08
1819,3.2926689073065063e-06,1.1386154796788617e-08
1820,2.7008111374016153e-06,2.1359666035891678e-08
1821,3.984041086368961e-06,1.2622705014564417e-07
1822,3.105935775238322e-06,1.2431763707354548e-07
1823,2.3886454982857686e-06,4.74368975211803e-08
1824,2.2349634036800126e-06,3.2000228245010476e-08
1825,2.318473207196803e-06,3.9624492131906663e-08
1826,2.253082357128733e-06,2.818555067118922e-08
1827,2.4517946712876437e-06,3.041700225026034e-08
1828,2.9498121421056567e-06,2.109629271274116e-08
1829,2.1827306682098424e-06,3.3435387791769244e-08
1830,2.2397450720745837e-06,2.087367190206635e-08
1831,2.6255590910295723e-06,1.2472964883158966e-08
1832,2.842646608769428e-06,1.623596290745155e-08
1833,2.0630443486879813e-06,8.108539617524002e-08
1834,2.0059906091773883e-06,3.733812548034621e-08
1835,2.205396413046401e-06,7.260564416355919e-08
1836,2.6708260065788636e-06,2.150640088238731e-08
1837,2.088758947138558e-06,2.156946243836444e-08
1838,1.911322669911897e-06,3.7241754569095065e-08
1839,2.3148775198933436e-06,9.088917618527148e-09
1840,2.3491411411669105e-06,2.6115722917552375e-08
1841,1.861959049165307e-06,2.0545755319290038e-08
1842,1.8427604118187446e-06,4.092041550052272e-08
1843,1.8955278164867195e-06,2.4218335781256428e-08
1844,1.4363564559971564e-06,5.4885614275690386e-08
1845,1.7694902680887026e-06,1.618266076697239e-08
1846,2.002824885494192e-06,1.3465353276842507e-08
1847,1.557562995913031e-06,1.941560423546207e-08
1848,1.2711450381175382e-06,2.413566591030758e-08
1849,1.2971333944733487e-06,1.6758828991214614e-08
1850,1.8303132947039558e-06,1.1541293254424545e-08
1851,1.8200315707872505e-06,1.1608989325395669e-08
1852,1.7819362483351142e-06,1.0416872919805087e-08
1853,1.6852791304700077e-06,3.881755716861335e-08
1854,1.7197648958244827e-06,1.667808309235852e-07
1855,1.8144418163501541e-06,4.192480318465641e-08
1856,2.1330019990273286e-06,6.16085509275166e-08
1857,1.6689879203113378e-06,1.0739319766805977e-08
1858,2.359730615353328e-06,7.829881631948865e-09
1859,2.2945332602830604e-06,1.4258085379026397e-08
1860,1.9196709217794705e-06,2.105504681715331e-08
1861,2.099547145917313e-06,2.263662679524714e-08
1862,2.4844407562341075e-06,1.490935552794781e-08
1863,1.911940898935427e-06,1.248655190355663e-08
1864,1.838298658185522e-06,2.3973639406982272e-08
1865,2.2602266653848346e-06,1.553258677233771e-08
1866,1.9768986021517776e-06,5.011581372116325e-08
1867,1.7295419638685416e-06,1.8925964795357686e-08
1868,1.8771521581584238e-06,1.679557115608077e-08
1869,1.756113533701864e-06,1.2208798194635051e-08
1870,1.5900517382760881e-06,2.8670243512607385e-08
1871,1.5676857856306015e-06,1.911811864374613e-08
1872,1.6200822301470907e-06,1.5118347462816928e-08
1873,1.8843942370949662e-06,8.979006871356887e-09
1874,1.7009712109938846e-06,1.672890553860995e-08
1875,1.7690962295091595e-06,6.8658326801696035e-09
1876,1.9437936771282693e-06,1.0278225381910033e-08
1877,2.04284469873528e-06,1.4225077116236662e-08
1878,1.4487774251392693e-06,3.0195443923020093e-09
1879,1.6281352372971014e-06,7.942122848270117e-09
1880,2.3110665097192395e-06,1.0910338410496934e-08
1881,2.1691471374651883e-06,6.9725074602899895e-09
1882,1.978645968847559e-06,8.652000893505374e-09
1883,2.0089178178750444e-06,7.583206618200222e-09
1884,1.5910089814497042e-06,4.621187876807653e-09
1885,1.5746687722639763e-06,6.445635580831777e-09
1886,1.6656390471325722e-06,1.7424351739236954e-08
1887,1.5813055824764888e-06,8.48760173255414e-09
1888,1.5052619346533902e-06,1.648559844191766e-08
1889,2.061856548607466e-06,4.385595886446936e-09
1890,1.7290471987507772e-06,6.554386478008212e-10
1891,1.497304310760228e-06,1.2748440081367107e-09
1892,1.5884410231592483e-06,1.8805537127519756e-09
1893,1.5309823311326909e-06,8.621783287310336e-09
1894,1.4890537158862571e-06,5.671385139294216e-09
1895,1.5203020211629337e-06,4.814891596538473e-09
1896,1.3179859479350853e-06,2.358811590497112e-09
1897,1.6582827129241196e-06,4.661370955894029e-09
1898,1.4111936934568803e-06,3.395012826423738e-09
1899,1.5637518799849204e-06,8.291367592505594e-09
1900,1.3533075389204896e-06,5.710158568206225e-09
1901,1.311677010562562e-06,4.470991132876634e-09
1902,1.1804322639363818e-06,2.9461704187383475e-09
1903,1.401357167196693e-06,1.6200660812870638e-09
1904,1.4183635812514694e-06,3.7622376325430196e-09
1905,1.3681171822099714e-06,3.096455369888673e-09
1906,1.2618684195331298e-06,1.5432553568395235e-09
1907,1.3674820138476207e-06,3.0857059130084963e-09
1908,1.504849592492974e-06,1.4734167219643268e-09
1909,1.6090376675492735e-06,5.5009836685826485e-09
1910,1.4653661537522567e-06,7.481810726517324e-09
1911,1.4907687955201254e-06,2.128149656499545e-09
1912,1.5315698647100362e-06,4.167536982180309e-09
1913,1.3379443544181413e-06,3.71209285532359e-09
1914,1.4391301874638884e-06,3.348371857558874e-09
1915,1.3936640925749089e-06,1.1780761921542648e-09
1916,1.4129876717561274e-06,1.0987461607214755e-08
1917,1.2117899359509465e-06,2.1932848870420685e-09
1918,1.3542437500291271e-06,2.2972752589112133e-09
1919,1.0625857385093695e-06,6.445493971884986e-09
1920,1.2797071349268663e-06,3.028892692213958e-09
1921,1.087446548808657e-06,2.2718242842501013e-09
1922,1.112592713070626e-06,0.0
1923,1.279221692129795e-06,2.1231896241147297e-09
1924,1.0571131952019641e-06,1.289162443462999e-09
1925,1.175705165223917e-06,0.0
1926,1.1123846661575953e-06,7.802297141701331e-09
1927,1.2754712770401966e-06,2.2298449753321847e-09
1928,1.1837378224299755e-06,5.713020612141406e-09
1929,1.4549370916938642e-06,1.1140406375176326e-09
1930,1.1091805163232493e-06,8.402882833991043e-09
1931,1.088071030608262e-06,1.1405356659111021e-09
1932,1.0718426892708521e-06,0.0
1933,1.0920070963038597e-06,0.0
1934,9.980656159314094e-07,0.0
1935,1.1597267075558193e-06,3.590485242455088e-09
1936,8.960163881965855e-07,3.6374143697059935e-09
1937,9.92180162029399e-07,0.0
1938,1.0048041758636828e-06,1.2965214457594243e-09
1939,1.0644658914316096e-06,4.588215141154706e-09
1940,7.277697022800567e-07,0.0
1941,1.1776495512094698e-06,0.0
1942,1.0285978078172775e-06,0.0
1943,1.05677759165701e-06,0.0
