year,veux_VERB apporter_VERB,veux_VERB rapporter_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,2.8574191901498125e-08
1802,2.2378401354217203e-09,2.9091921760482364e-08
1803,1.950339223455444e-09,1.5602713787643552e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,3.4114531644036106e-08
1806,2.5935023018064385e-08,3.7461699520235925e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,6.798221985349073e-09
1809,0.0,6.7770917766551975e-09
1810,7.020380277111826e-09,4.44624070894406e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,3.0128852301913867e-08
1817,0.0,2.3353100786493997e-08
1818,2.026600220972341e-08,1.668964877410417e-08
1819,0.0,9.315945348475907e-09
1820,2.3732962262101864e-08,1.6613073583471305e-08
1821,6.903041693817613e-09,2.5639868894700157e-08
1822,0.0,2.8071724500478012e-08
1823,2.9648061783404955e-09,2.8659792761231984e-08
1824,0.0,5.5579342017608724e-08
1825,0.0,3.3460683113162304e-08
1826,0.0,2.2019960965735663e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,9.172301140836225e-09
1829,6.858540846366168e-09,1.8860987438529264e-08
1830,1.0436835840010872e-09,3.026682549034376e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,6.22378593106987e-08
1833,1.1583628500844156e-09,2.548398292390175e-08
1834,0.0,5.600718555598405e-09
1835,0.0,2.117664621437143e-08
1836,3.36037508930076e-09,2.1506400216253496e-08
1837,1.1828414692161004e-08,2.7135774516295896e-08
1838,9.468243078458727e-09,5.23909449157145e-08
1839,6.9914751765765e-10,8.38977065598101e-09
1840,0.0,1.7835128929277744e-08
1841,6.420548537278137e-09,3.852328944731198e-08
1842,8.049918065466954e-09,2.750388716776797e-08
1843,2.3627644285539873e-09,1.7130041385371442e-08
1844,6.037417232818143e-09,2.7442807137845193e-08
1845,3.348136878855712e-09,2.399498022498392e-08
1846,5.269050973311096e-09,1.8734404250153602e-08
1847,1.6179670936367074e-09,9.707802561820245e-09
1848,3.137636639394259e-08,1.448139919091318e-08
1849,2.3462362719328667e-08,1.005529792763582e-08
1850,6.1100964288129944e-09,7.467895635215882e-09
1851,5.8044946626978344e-09,1.9993260380601896e-08
1852,3.906327261660181e-09,1.3021090872200602e-08
1853,7.763511611358354e-09,1.6124216628554677e-08
1854,3.117398783558656e-09,1.1950028522278444e-08
1855,1.0613874223963649e-08,1.4328730202350926e-08
1856,6.212626857404757e-09,2.1226476576430287e-08
1857,1.9526036343364694e-09,4.002837528105374e-08
1858,5.872411001917044e-09,2.0064071293290908e-08
1859,5.092173349652285e-09,3.768208145515928e-08
1860,5.950338888283113e-09,1.5104706818647173e-08
1861,2.8295783494058924e-09,1.131831339762357e-08
1862,1.8071945051545413e-09,3.072230825296174e-08
1863,4.994620717013731e-09,2.097740825490746e-08
1864,7.1920918109924514e-09,1.1507347075223606e-08
1865,8.943004559114343e-09,2.3063536858103362e-08
1866,8.75810357570117e-09,1.3623716377253459e-08
1867,8.73506067478047e-09,2.232293283555009e-08
1868,7.903798504571569e-09,1.531360993567432e-08
1869,4.883519366671862e-09,2.0510780629479086e-08
1870,1.1468097582678638e-08,2.064257564882155e-08
1871,1.805600113868877e-08,1.1683295220166201e-08
1872,2.116568786902917e-08,1.9956219787786722e-08
1873,6.584604861359367e-09,1.97538145840781e-08
1874,1.0156835372754358e-08,2.6288279997288555e-08
1875,9.7265964171811e-09,1.0298748520654044e-08
1876,6.650616057868319e-09,2.1765654167893445e-08
1877,4.9478527941460015e-09,3.277952487223956e-08
1878,9.662541877730746e-09,8.4547240319921e-09
1879,1.0996785704264767e-08,1.9549840857280287e-08
1880,5.776061406947974e-09,1.2193908105473383e-08
1881,2.7890030285249168e-09,1.3945014920579979e-08
1882,1.1979693681496428e-08,1.2645231528551903e-08
1883,1.0110942305630033e-08,1.3270612164717477e-08
1884,9.242375753615306e-09,1.5844072720483382e-08
1885,2.127059772760731e-08,1.0313017106966527e-08
1886,1.2261581083805595e-08,8.38950331427668e-09
1887,1.5016526688782506e-08,1.8933882017790893e-08
1888,1.1413106904001324e-08,1.014498351992188e-08
1889,1.1277245803853475e-08,2.318100555953606e-08
1890,2.1629475099871343e-08,5.898947996740844e-09
1891,7.0116419337296065e-09,9.561330394092238e-09
1892,1.2537024751679837e-08,1.0656471260972467e-08
1893,6.774258043407144e-09,1.970693297437265e-08
1894,6.9316934414587195e-09,2.520615716150587e-08
1895,1.2639090662958097e-08,2.888934957923084e-08
1896,8.845543852942228e-09,1.6511680911435178e-08
1897,1.3984112534615178e-08,1.3984112534615178e-08
1898,3.3950129374460403e-09,1.3580051749784161e-08
1899,3.8693048765026106e-09,9.949641111006713e-09
1900,6.748368974740515e-09,1.245852754294674e-08
1901,1.0618603774048552e-08,1.900171220370339e-08
1902,9.329538919189417e-09,7.365425602756659e-09
1903,1.296052865029651e-08,1.296052865029651e-08
1904,1.666133897515465e-08,5.912087708281888e-09
1905,2.8900251081154238e-08,1.3934049469810361e-08
1906,5.144184633820714e-09,1.5432553013283723e-08
1907,1.0799970695529737e-08,1.3885677496716653e-08
1908,1.4734167663732478e-08,7.858222517143076e-09
1909,8.801573692096554e-09,7.151278680339601e-09
1910,5.878565634276356e-09,1.6566866989364826e-08
1911,1.3832972989291648e-08,1.8089272302290738e-08
1912,1.1981668990301841e-08,1.7712032729377825e-08
1913,1.6439267724877027e-08,3.075734156254839e-08
1914,9.37544086809794e-09,1.1384464038144415e-08
1915,1.5314990164938536e-08,3.534228465440492e-09
1916,1.4283700444650549e-08,3.186363883855847e-08
1917,1.0966424213165737e-08,1.7546279096336548e-08
1918,4.594550517822427e-09,2.6418664589300533e-08
1919,1.2890987832747669e-08,1.2890987832747669e-08
1920,1.741613253614105e-08,2.1202248845497706e-08
1921,2.0446417892117097e-08,2.2718241510233383e-08
1922,1.2542490601674672e-08,1.623145884366295e-08
1923,2.441668023323018e-08,1.3800733000834953e-08
1924,2.1915761649893284e-08,2.0626599095407983e-08
1925,1.9796720707176974e-08,8.798542339150117e-09
1926,1.7833821530643945e-08,1.114613823460786e-08
1927,2.1183527820767267e-08,1.3379070296082318e-08
1928,1.5996457491951332e-08,7.998228745975666e-09
1929,2.1166771446701205e-08,1.1140405931087116e-08
1930,9.453243521306831e-09,7.352522590764465e-09
1931,1.1405356659111021e-08,1.4826963656844327e-08
1932,1.753525857850491e-08,8.767629289252454e-09
1933,1.1470662641954732e-08,8.02946331646126e-09
1934,1.4377896206951846e-08,2.036868629318178e-08
1935,1.0771455727365264e-08,9.574627313213568e-09
1936,3.758661648589623e-08,2.0612015205756506e-08
1937,1.6368453259474336e-08,7.554670666820584e-09
1938,1.2965214679638848e-08,9.075650453382877e-09
1939,1.2235240376412548e-08,1.6823456405745674e-08
1940,2.5357829613881222e-08,7.607348528892999e-09
1941,1.4757512545315876e-08,2.3612020783048138e-08
1942,1.2136847082899749e-08,9.102635090130207e-09
1943,1.1612940831184915e-08,1.7419411690866582e-08
1944,9.639558484764166e-09,9.639558484764166e-09
1945,3.485606470121638e-08,1.5249527862692958e-08
1946,1.6705325123211878e-08,5.568441707737293e-09
1947,3.457052599742383e-08,8.344609447874518e-09
1948,4.1313175103141475e-08,1.0871888278529696e-08
1949,3.239612667016445e-08,8.835307596655184e-09
1950,2.7651939404904624e-08,1.3825969702452312e-08
1951,2.5587365115598004e-08,2.0256663901818683e-08
1952,2.1089608281954497e-08,1.0544804140977249e-08
1953,2.2625037843226892e-08,4.3095309543161875e-09
1954,2.14995790059902e-08,6.840775057526116e-09
1955,1.595553378308523e-08,9.385607846468247e-09
1956,1.3953826538681824e-08,1.744228317335228e-09
1957,1.3252556385623393e-08,3.534015080575159e-09
1958,1.1581140491045971e-08,6.617794756635931e-09
1959,1.3176271629333769e-08,3.100299128533379e-09
1960,1.2457499920515147e-08,8.305000243069571e-09
1961,9.72742331128984e-09,8.33779090214648e-09
1962,2.219684702708946e-08,5.7077609305622445e-09
1963,1.681173777967615e-08,4.526237162849611e-09
1964,6.083968440151466e-09,9.125952438182594e-09
1965,1.1491291473930687e-08,7.660860390501512e-09
1966,1.3293779410616935e-08,8.862519607077957e-09
1967,1.873527466500491e-08,1.5777073869571723e-08
1968,1.3025106326836067e-08,1.8863946849023705e-08
1969,1.3171097990039016e-08,9.083515273289322e-09
1970,1.103694025061941e-08,7.817832603507213e-09
