year,plusieurs_DET aigles_NOUN,plusieurs_DET règles_NOUN
1800,1.5720822421627645e-08,4.4018303668735825e-08
1801,0.0,6.667310969987739e-08
1802,2.2378401354217203e-09,1.5664880947952042e-07
1803,3.900678446910888e-09,7.021221537506506e-08
1804,0.0,1.5819846055364906e-07
1805,0.0,1.051864728651708e-07
1806,0.0,1.0662175498055149e-07
1807,0.0,1.2811298688575334e-07
1808,4.5321479902327155e-09,1.2236799307174806e-07
1809,4.518061036407062e-09,6.325285539787728e-08
1810,0.0,7.722418615685456e-08
1811,2.5070767684098882e-09,4.262030373070047e-08
1812,5.3344164641089264e-09,1.4402924497503022e-07
1813,2.8757416448144113e-09,4.888760685162197e-08
1814,5.66401889834367e-08,6.922689976818219e-08
1815,6.203614244526534e-08,1.1598061178119679e-07
1816,0.0,1.321034233114915e-07
1817,0.0,9.185553118129519e-08
1818,7.152706427149269e-09,2.8610825708597076e-08
1819,0.0,7.038714011642355e-08
1820,8.306536791735653e-09,9.493184904840746e-08
1821,9.86148829262845e-10,9.368413678156884e-08
1822,4.010246357211145e-09,1.1328945959121484e-07
1823,9.882686891060644e-10,3.7554211518298075e-08
1824,0.0,1.1368502583763984e-07
1825,5.283265824829186e-09,4.1385581406316874e-08
1826,4.403992281964975e-09,6.78214817639855e-08
1827,0.0,8.664236322841745e-08
1828,9.172301251858528e-10,1.3391559616771076e-07
1829,6.001223074036943e-09,9.516225230044029e-08
1830,1.0436835840010872e-09,7.723258632630348e-08
1831,0.0,5.768746147438719e-08
1832,0.0,1.3394670039801326e-07
1833,0.0,7.41352224054026e-08
1834,2.8003592777992026e-09,5.974099814842759e-08
1835,7.563087933704082e-09,1.0588323107185715e-07
1836,6.720750067579218e-10,6.989579981464544e-08
1837,4.174734336004349e-09,1.1828414736569925e-07
1838,2.5248647617104325e-09,6.12279709155672e-08
1839,6.9914751765765e-10,6.082583514643858e-08
1840,0.0,6.49708254973902e-08
1841,1.926164561183441e-09,1.2584275355109753e-07
1842,0.0,7.312008731830133e-08
1843,1.7720733769266417e-09,5.729703833612376e-08
1844,1.6465683816413446e-09,1.125155080217155e-07
1845,1.1160455892778032e-09,1.076983970893508e-07
1846,5.854501328173001e-10,1.0596647670446657e-07
1847,1.6179670936367074e-09,4.260646768727838e-08
1848,0.0,7.401603685508462e-08
1849,0.0,1.1312210457248284e-07
1850,1.3577992064028876e-09,7.128445744797318e-08
1851,6.449438760824933e-10,7.73932653519438e-08
1852,0.0,1.0026239682936477e-07
1853,1.7915795513800958e-09,7.882950070481343e-08
1854,5.195664454227256e-10,4.520228058524367e-08
1855,5.306937111981824e-10,6.474463276617826e-08
1856,5.177189232874468e-10,5.4360486334559255e-08
1857,5.369660049936442e-09,4.735063896532665e-08
1858,2.936205500958522e-09,5.921347939752408e-08
1859,0.0,5.244938350301709e-08
1860,0.0,6.820003806140562e-08
1861,0.0,5.423358429013092e-08
1862,4.517986262886353e-10,4.924605084832834e-08
1863,4.994620828036034e-10,3.0467186995508655e-08
1864,4.794727948009836e-10,6.041357103470091e-08
1865,1.8827377989971694e-09,3.859612363044107e-08
1866,9.731225825149181e-10,5.254861901171637e-08
1867,4.85281148598915e-09,7.570386095778758e-08
1868,9.87974813071446e-10,3.754304278569265e-08
1869,9.767038289254515e-10,4.981189460906421e-08
1870,4.587239033071455e-09,4.759260496811635e-08
1871,8.496941816815706e-09,3.611200227737754e-08
1872,6.047339295989218e-10,3.5679301735314084e-08
1873,5.986004469882289e-10,5.806424185905712e-08
1874,0.0,4.660195074279727e-08
1875,0.0,3.032409434666761e-08
1876,0.0,3.869449427540417e-08
1877,0.0,3.710889728836264e-08
1878,0.0,3.0195443478930883e-08
1879,1.221865053580018e-09,2.688103051262658e-08
1880,1.2835692508872398e-09,2.5029599726167362e-08
1881,0.0,5.159655636077787e-08
1882,5.989846396659004e-09,3.727015607246642e-08
1883,0.0,4.107570461542309e-08
1884,1.3203393933736152e-09,3.6969504790818064e-08
1885,6.445635691854079e-10,2.9649923405372647e-08
1886,4.5174246565693466e-09,6.647067507525861e-08
1887,6.528924623161458e-10,6.202478097794284e-08
1888,4.438430289965822e-09,3.4239319823825554e-08
1889,4.385595719913482e-09,4.009687459838318e-08
1890,1.3108772956016423e-09,4.3258950199742685e-08
1891,6.374220040683554e-10,4.270727327337909e-08
1892,0.0,2.3820347250236296e-08
1893,1.847525021858587e-09,5.9120797590850316e-08
1894,1.2603078580752936e-09,2.457600345451283e-08
1895,1.2037228991346183e-09,2.9491211028798148e-08
1896,5.89702897624278e-10,4.1279202667166004e-08
1897,5.826713556089658e-10,3.437761009195128e-08
1898,0.0,4.4701004231484376e-08
1899,0.0,2.8743407654019393e-08
1900,0.0,2.8031687082652468e-08
1901,5.588738916095792e-10,4.750427962108006e-08
