year,véritables_ADJ oies_NOUN,véritables_ADJ rois_NOUN
1800,0.0,2.2009151834367913e-08
1801,0.0,2.5240534995418784e-07
1802,0.0,6.489736392722989e-08
1803,0.0,1.5602713787643552e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,4.5486043376286034e-08
1806,0.0,5.187004603612877e-08
1807,0.0,0.0
1808,0.0,4.985362878073829e-08
1809,0.0,6.7770917766551975e-09
1810,7.020380277111826e-09,3.510190227373755e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,4.026038280535715e-08
1814,0.0,1.3530711306941612e-07
1815,0.0,3.236668311146218e-08
1816,0.0,9.733935968370133e-08
1817,0.0,5.293369742531695e-08
1818,0.0,1.668964877410417e-08
1819,0.0,2.898294049202832e-08
1820,0.0,4.034603762193001e-08
1821,0.0,5.029358929320438e-08
1822,0.0,3.60922172149003e-08
1823,0.0,2.3718449426723964e-08
1824,0.0,2.947389532437228e-08
1825,0.0,3.6982861217893515e-08
1826,0.0,2.2019960743691058e-08
1827,0.0,4.055600300034712e-08
1828,0.0,2.659967357487858e-08
1829,0.0,1.7146351893870815e-08
1830,0.0,4.0703660886265425e-08
1831,0.0,8.419251518176907e-08
1832,0.0,2.3000948701223933e-08
1833,0.0,4.40177885252524e-08
1834,0.0,6.534171603789218e-08
1835,0.0,4.689114518896531e-08
1836,0.0,4.838940020901461e-08
1837,0.0,2.922314124020886e-08
1838,0.0,4.229148631296198e-08
1839,1.3982950353153e-09,3.0063343925412767e-08
1840,0.0,3.758116307039927e-08
1841,0.0,2.7608359598474408e-08
1842,0.0,3.7566284305512454e-08
1843,0.0,2.4809025944705354e-08
1844,0.0,2.7442807137845193e-08
1845,0.0,3.013322924516615e-08
1846,0.0,4.742146231251354e-08
1847,2.6966118227278457e-09,1.1325769655456952e-08
1848,0.0,2.1722098675347468e-08
1849,8.379414939696517e-10,2.8490010350878947e-08
1850,0.0,3.733947906425783e-08
1851,0.0,5.997978225202871e-08
1852,0.0,2.929745512858517e-08
1853,0.0,2.329053394589664e-08
1854,0.0,3.844791862661623e-08
