year,voulions_VERB appeler_VERB,voulions_VERB rappeler_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,8.951360541686881e-09
1803,0.0,0.0
1804,0.0,2.7190360185613827e-08
1805,0.0,2.842877711017877e-09
1806,0.0,3.1698359492793315e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,2.2660739062985158e-08
1809,6.7770917766551975e-09,1.3554183553310395e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,0.0
1812,0.0,3.7340914360584065e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,6.293354282149721e-09
1815,1.3486118000116676e-08,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,7.784366928831332e-09
1818,2.1458118837358597e-08,5.960588467246453e-09
1819,0.0,7.24573512300708e-09
1820,2.3732962262101864e-09,7.119888678630559e-09
1821,5.9168927535324656e-09,9.86148829262845e-10
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,0.0,9.882686669016039e-09
1824,0.0,6.736890156844311e-09
1825,0.0,2.641632912414593e-09
1826,0.0,1.5854372037438225e-08
1827,1.8434546111834038e-09,7.373818444733615e-09
1828,1.1006761724274838e-08,5.503380862137419e-09
1829,8.57317605795771e-10,7.715858174606183e-09
1830,1.2524203008013046e-08,9.39315203396518e-09
1831,0.0,1.5591206548037917e-08
1832,0.0,5.411987746839486e-09
1833,0.0,1.50587169400751e-08
1834,0.0,3.733812370398937e-09
1835,4.5378527602224494e-09,7.563087933704082e-09
1836,0.0,3.36037508930076e-09
1837,3.478945576063097e-09,1.3219993100221927e-08
1838,1.8936485712828244e-09,1.830527018853445e-08
1839,1.6080392128969834e-08,3.4957374772659477e-09
1840,2.5478754661634184e-09,5.732719632334238e-09
1841,6.420548537278137e-09,5.1364388298225094e-09
1842,0.0,2.3478927246856074e-08
1843,4.134837805480629e-09,1.3585895075607368e-08
1844,0.0,9.879410178825765e-09
1845,4.464182357111213e-09,8.928364714222425e-09
1846,5.269050973311096e-09,1.4050803187615202e-08
1847,3.775256551818984e-09,1.7258315665458213e-08
1848,6.43617736884039e-09,7.24069959545659e-09
1849,7.54147322368226e-09,1.256912263158938e-08
1850,9.504594444820214e-09,7.467895635215882e-09
1851,1.9348316282474798e-09,1.3543821175687754e-08
1852,1.9531636308300904e-09,1.1718981340891332e-08
1853,7.763511611358354e-09,1.3735443005202796e-08
1854,3.63696517347023e-09,1.558699302961486e-08
1855,6.368324534378189e-09,6.8990182455763716e-09
1856,0.0,1.2425253714809514e-08
1857,3.4170564155999728e-09,1.6597130780837688e-08
1858,1.9574704079872163e-09,1.3212924976357954e-08
1859,9.675129142294736e-09,1.5785737161877478e-08
1860,9.612086238064421e-09,9.15436793036406e-09
1861,2.357981809808507e-09,7.073945429425521e-09
1862,6.776979422085105e-09,1.3102160245637151e-08
1863,3.995696662428827e-09,1.2486552236623538e-08
1864,5.753673537611803e-09,8.63051052846231e-09
1865,1.4120533631256649e-09,1.1767110841276462e-08
1866,2.919367858567057e-09,2.919367858567057e-09
1867,1.358787216076962e-08,1.358787216076962e-08
1868,7.409810987013543e-09,1.3831646938911035e-08
1869,1.4650557433881772e-09,1.3673853160867111e-08
1870,8.027668307875047e-09,1.0894693147633916e-08
1871,0.0,1.0621176826930423e-08
1872,9.071008832961525e-09,0.0
1873,6.584604861359367e-09,1.1972009161809183e-08
1874,4.779687312606029e-09,4.182226565063729e-09
1875,1.5448122780981066e-08,1.0298748520654044e-08
1876,4.232210137899983e-09,2.418405919968336e-09
1877,1.2369631985365004e-09,9.895705588292003e-09
1878,1.8117265465633636e-09,3.6234530931267273e-09
1879,4.27652757650776e-09,6.720257683667796e-09
1880,1.2835692508872398e-09,7.701415505323439e-09
1881,3.4862537301449947e-09,8.367009307619355e-09
1882,1.9966155395678697e-09,5.324308105514319e-09
1883,0.0,6.319338829996468e-09
1884,1.3203393933736152e-09,2.6406787867472303e-09
1885,1.2246707647989297e-08,6.445635580831777e-09
1886,3.872078213618124e-09,9.680196200179125e-09
1887,4.570247291724172e-09,1.2404957061562527e-08
1888,6.340614699951175e-10,9.510921827882157e-09
1889,7.51816386923565e-09,1.4409814674820609e-08
1890,6.554386478008212e-10,1.2453334363726754e-08
1891,8.286486163910922e-09,3.1871101313640793e-09
1892,6.268512375839919e-10,5.641661360300532e-09
1893,1.847525021858587e-09,3.079208221734575e-09
1894,5.041231432301174e-09,1.8904617871129403e-09
1895,2.4074457982692365e-09,5.416753268150387e-09
1896,4.717623180994224e-09,8.845543852942228e-09
1897,1.7480140668268973e-09,5.2440420894583895e-09
1898,0.0,1.4145887128336199e-08
1899,2.2110313580014918e-09,1.2160672469008205e-08
1900,0.0,5.710158568206225e-09
1901,1.676621730339889e-09,0.0
1902,9.820567692386817e-10,5.4013122863239005e-09
1903,0.0,6.480264325148255e-09
1904,5.374625189347171e-10,1.3436562973367927e-08
1905,1.0321518084666081e-09,3.096455536422127e-09
1906,1.0288369045596824e-09,5.144184522798412e-10
1907,3.0857059130084963e-09,4.6285588695127444e-09
1908,2.9468334439286537e-09,1.4734167219643268e-09
1909,1.6502950117569526e-09,1.6502950117569526e-09
1910,3.206490406526541e-09,5.878565634276356e-09
1911,4.25629931299909e-09,8.51259862599818e-09
1912,0.0,3.125652625612929e-09
1913,0.0,1.590896969716482e-09
1914,6.696743715117748e-10,4.68772043404897e-09
1915,1.1780762143587253e-08,1.1780761921542648e-09
1916,0.0,9.888715624128963e-09
1917,0.0,3.289927441585405e-09
1918,1.1486376294556067e-09,0.0
1919,2.762354567309444e-09,2.762354567309444e-09
1920,6.057785384427916e-09,9.843901693784574e-09
1921,1.5145494858259667e-09,7.572747762196741e-09
1922,0.0,5.902348387820666e-09
1923,4.246379248229459e-09,1.0615948120573648e-09
1924,0.0,2.578324886925998e-09
1925,1.0998177923937646e-09,0.0
1926,1.1146138456652466e-09,1.0031524944054127e-08
1927,0.0,1.2264147031260109e-08
1928,0.0,2.2852082448565625e-09
1929,1.1140406375176326e-09,7.798284684668033e-09
1930,1.0503603542488804e-09,4.201441416995522e-09
1931,2.2810713318222042e-09,1.1405356659111021e-09
1932,0.0,0.0
1933,0.0,2.2941324395731044e-09
1934,0.0,7.188948103475923e-09
1935,0.0,1.196828414151696e-09
1936,1.2124714565686645e-09,3.6374143697059935e-09
1937,0.0,3.777335333410292e-09
1938,0.0,2.5930428915188486e-09
1939,1.5294050470515685e-09,0.0
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,3.034211770724937e-09
1943,0.0,2.9032352077962287e-09
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,0.0,1.9606536838523425e-08
1946,0.0,4.1763312808029696e-09
1947,0.0,1.1920870957027319e-09
1948,0.0,0.0
1949,0.0,1.9634016634739737e-09
1950,2.1270722960764488e-09,7.444753258312176e-09
1951,1.0661401761424827e-09,6.396841278899501e-09
1952,1.0544803918932644e-09,0.0
1953,2.1547654771580937e-09,1.0773827385790469e-09
1954,0.0,0.0
1955,0.0,4.6928039232341234e-09
1956,8.72114158667614e-10,2.616342476002842e-09
1957,0.0,1.7670075402875796e-09
1958,0.0,8.272243445794913e-10
1959,1.5501495642666896e-09,7.750747821333448e-10
1960,2.076250060767393e-09,2.076250060767393e-09
1961,0.0,2.779263708063695e-09
1962,1.2683912808952869e-09,1.2683912808952869e-09
1963,0.0,1.2932106496776896e-09
1964,0.0,3.6503808864551957e-09
1965,0.0,4.377634699181954e-09
1966,0.0,5.539074754423723e-10
1967,4.930335584241163e-10,4.930335584241163e-10
1968,8.982831700699023e-10,2.245707841908029e-09
1969,3.1792304344691047e-09,4.087581828571274e-09
1970,1.3796175313274261e-09,4.1388523719376735e-09
1971,5.138397485282553e-10,4.1107179882260425e-09
1972,0.0,1.0260293725750103e-09
1973,0.0,1.6539611902288698e-09
1974,5.625571675160757e-10,4.500457340128605e-09
1975,0.0,1.7134440533084216e-09
1976,1.7140580066410394e-09,1.142705374768127e-09
1977,5.876781838942691e-10,2.938390863960194e-09
1978,3.5643548113029055e-09,2.970295565063452e-09
1979,1.1703946700691858e-09,2.3407893401383717e-09
1980,1.7055452605774235e-09,1.7055452605774235e-09
1981,6.325549528618524e-10,3.1627747087981106e-09
1982,3.7245013739806154e-09,1.8622506869903077e-09
1983,0.0,3.78918940668882e-09
1984,0.0,1.1598016991243298e-09
1985,1.2031116103372597e-09,1.8046674155058895e-09
1986,5.994485463567401e-10,4.196139880008332e-09
1987,1.2221633705067347e-09,4.888653482026939e-09
1988,1.1993107618124554e-09,1.1993107618124554e-09
1989,5.488122178931576e-10,4.939309850016116e-09
1990,5.44865097484859e-10,1.6345953479657283e-09
1991,1.1722930404189924e-09,1.7584396161396398e-09
1992,1.65298330578878e-09,2.7549720282848966e-09
1993,2.7696036575264316e-09,1.1078414852150331e-09
1994,5.274926606624319e-10,2.1099706426497278e-09
1995,0.0,1.0844901643380922e-09
1996,0.0,2.135236876199542e-09
1997,9.58978896292706e-10,2.876936688878118e-09
1998,9.536258449571733e-10,1.43043876743576e-09
1999,1.3710603763428253e-09,1.3710603763428253e-09
2000,8.836062992401139e-10,7.068850393920911e-09
2001,4.3812117822561447e-10,4.3812117822561447e-10
2002,4.38122149670761e-10,6.571832411594869e-09
2003,8.333845835650777e-10,4.1669229178253886e-10
2004,4.404791253964646e-10,4.404791198453495e-09
2005,0.0,1.3511248786457486e-09
2006,0.0,3.294311934354255e-09
2007,0.0,2.7961355453243186e-09
2008,2.1287198670449925e-09,0.0
2009,0.0,3.337734755248789e-09
2010,1.8895172093635892e-09,3.3066551718974324e-09
2011,1.1471915639660324e-09,1.1471915639660324e-09
2012,1.3617010852229328e-09,0.0
2013,8.367375126105969e-10,3.904775169871755e-09
2014,8.661780737106994e-10,1.0827225782605865e-09
2015,1.329945265027277e-09,1.329945265027277e-09
2016,8.285360175719347e-10,1.6570720351438695e-09
2017,1.2578056374223934e-09,7.54683426862357e-10
2018,1.0325866828253538e-09,7.744400121190154e-10
2019,7.65296326310505e-10,1.7856913725466939e-09
