year,aviez_VERB appelé_VERB,aviez_VERB rappelé_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,1.1387820464392462e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,3.510190182964834e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,2.0130190847567064e-08,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,1.668964877410417e-08,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,1.1833785507064931e-08,0.0
1822,1.303330066093622e-08,0.0
1823,2.668325471688604e-08,1.9765373782121287e-09
1824,8.421112696055388e-09,3.3684450784221553e-09
1825,2.0252519661312363e-08,0.0
1826,6.1655889282974385e-09,7.0463874735082754e-09
1827,8.295545583791863e-09,1.8434546111834038e-09
1828,1.3758452155343548e-08,0.0
1829,2.571952872898464e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,2.182768810143898e-08,1.091384405071949e-08
1832,2.1647950987357945e-08,0.0
1833,1.7375443306377747e-08,2.3167257001688313e-09
1834,2.14694217959277e-08,0.0
1835,9.075705520444899e-09,0.0
1836,3.36037508930076e-09,0.0
1837,1.3915782304252389e-08,0.0
1838,8.837027110075724e-09,0.0
1839,2.6567605004856887e-08,0.0
1840,1.6561189752906103e-08,2.5478754661634184e-09
1841,9.630822361827995e-09,0.0
1842,6.708265054555795e-09,0.0
1843,8.860366662588604e-09,0.0
1844,1.3172547497219966e-08,0.0
1845,7.812318791877715e-09,0.0
1846,2.1076203893244383e-08,0.0
1847,1.294373674909366e-08,5.3932236454556914e-09
1848,2.815827571112095e-08,0.0
1849,7.54147322368226e-09,0.0
1850,1.5614691761811628e-08,0.0
1851,8.384270167027807e-09,0.0
1852,4.557382027314816e-09,0.0
1853,8.957897534855874e-09,0.0
1854,1.2989160858012383e-08,6.754363734984281e-09
1855,2.653468555990912e-09,1.0613874223963649e-09
1856,1.3978411317339123e-08,5.177189232874468e-10
1857,4.881508974818871e-09,1.4644527812635033e-09
1858,3.9149408159744326e-09,0.0
1859,6.110608019582742e-09,1.5276520048956854e-09
1860,3.661747127736703e-09,0.0
1861,1.0375120318428799e-08,0.0
1862,2.3493528900075944e-08,1.3553959066214816e-09
