year,pourrions_VERB entrer_VERB,pourrions_VERB rentrer_VERB
1800,3.144164484325529e-09,0.0
1801,3.333655484993869e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,0.0,0.0
1809,4.969867006821005e-08,0.0
1810,2.574139479349924e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,3.236668177919455e-08,0.0
1816,9.270415546325239e-09,0.0
1817,2.9580593974287694e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,4.390598107306687e-08,0.0
1821,1.676452932031225e-08,0.0
1822,2.606660132187244e-08,2.0051231786055723e-09
1823,2.7671523739059012e-08,0.0
1824,3.789500624407083e-08,0.0
1825,8.805443485471187e-09,0.0
1826,3.8755132436563144e-08,1.7615968683770689e-09
1827,5.8068820862899884e-08,1.3825909306319772e-08
1828,4.769596628761974e-08,0.0
1829,3.5150023336427694e-08,0.0
1830,5.218418053232199e-08,6.262101504006523e-09
1831,8.419251429359065e-08,3.1182412207897414e-09
1832,8.117981842303834e-09,4.058990921151917e-09
1833,4.054269808762001e-08,0.0
1834,4.0138484536100805e-08,0.0
1835,4.386591001548368e-08,7.563087933704082e-10
1836,2.688300071440608e-08,1.3441500135158435e-09
1837,5.0792603900617905e-08,2.0873671680021744e-09
1838,3.219202682203104e-08,0.0
1839,6.85164565084051e-08,1.3982950353153e-09
1840,2.7389662093924017e-08,6.369688665408546e-10
1841,4.3017674755674307e-08,3.852329122366882e-09
1842,4.024958855097793e-08,0.0
1843,2.8353174030826267e-08,0.0
1844,4.226192018563779e-08,3.2931368743049916e-09
1845,2.7343116215661212e-08,5.580227946389016e-10
1846,3.805426018743674e-08,0.0
1847,5.608952591273919e-08,1.0786447290911383e-09
1848,2.091757700384278e-08,5.63165514222419e-09
1849,2.6814127807028854e-08,1.6758829879393033e-09
1850,2.4440385715251978e-08,6.788996032014438e-10
1851,4.127640806927957e-08,0.0
1852,1.6927417689771573e-08,6.510545436100301e-10
