year,vos_DET âmes_NOUN,vos_DET ames_NOUN,vos_DET rames_NOUN
1800,5.345079756580162e-08,7.074370076409764e-07,6.288328968651058e-09
1801,1.0000967165524344e-07,7.619784128110041e-07,2.3811825844433088e-09
1802,4.2518962573012686e-08,4.6770858830313955e-07,1.3427040812530322e-08
1803,1.2872238985828233e-07,4.739324399594125e-07,9.751696339321825e-09
1804,1.9033252840472414e-07,6.006598087804349e-07,4.943701981119375e-08
1805,2.2458734161290295e-07,4.1506015868719714e-07,2.842877711017877e-09
1806,2.2188851911408847e-07,2.53586887488666e-07,8.645007376628655e-09
1807,1.7366426163789583e-07,6.035544686255889e-07,5.693910232196231e-09
1808,1.1330370286444236e-07,3.036539277800898e-07,1.5862518409903714e-08
1809,1.400598961254218e-07,4.427699797915352e-07,9.036122072814123e-09
1810,1.2402671245581587e-07,5.241883958007065e-07,4.680253518074551e-09
1811,1.2535383575595915e-07,1.2535383620004836e-07,5.0141535368197765e-09
1812,1.6269970615212515e-07,3.707419580223359e-07,8.00162425207418e-09
1813,2.674439656402683e-07,1.4953856464217097e-07,1.1502966579257645e-08
1814,4.185080473284586e-07,4.185080513252615e-07,9.440030979135372e-09
1815,3.85702975336244e-07,3.128779222372202e-07,0.0
1816,5.05237675696435e-07,8.551958163849349e-07,0.0
1817,3.0826092256575066e-07,2.9113533628333244e-07,7.784366928831332e-09
1818,2.825319118660019e-07,2.968373085110443e-07,4.768470951432846e-09
1819,4.85464227040211e-07,2.7844325833914496e-07,7.24573512300708e-09
1820,5.422982098934881e-07,3.3582142400234716e-07,1.898636980968149e-08
1821,9.17118433640951e-07,3.7375039996234705e-07,3.94459531705138e-09
1822,4.351117155465545e-07,4.1706562114995904e-07,8.02049271442229e-09
1823,3.093281026878003e-07,4.605332060148015e-07,1.1859224713361982e-08
1824,3.865290860716186e-07,6.181096852131418e-07,3.621078548121659e-08
1825,3.892005953076705e-07,6.110977208706458e-07,1.8491430608946757e-08
1826,4.403992122092859e-07,3.9635928827941314e-07,1.4092774947016551e-08
1827,3.613171030703022e-07,3.723778204678396e-07,1.474763688946723e-08
1828,6.310543056997631e-07,2.9993425221253034e-07,5.503380862137419e-09
1829,3.8064902696532954e-07,3.137782456086313e-07,2.571952817387313e-09
1830,3.339787426615004e-07,4.2373552422425576e-07,3.235419043789989e-08
1831,4.069304679887864e-07,4.0693048819484545e-07,4.677361609140007e-09
1832,3.030713173757249e-07,3.4366122581008796e-07,7.170883975504694e-08
1833,3.382419399011738e-07,3.614092142223413e-07,2.89590715851773e-08
1834,6.459495649480118e-07,4.58325472685317e-07,1.8669062740173104e-08
1835,6.254673934336097e-07,3.4638943446907433e-07,4.764745398233572e-08
1836,5.309392547836467e-07,6.196531495694657e-07,1.008112526790228e-08
1837,4.675702827139361e-07,3.061472118037756e-07,1.6698937344017395e-08
1838,6.451029248566442e-07,2.9856524497162695e-07,6.943378316748294e-09
1839,4.656322554197345e-07,3.111206430261859e-07,8.38977065598101e-09
1840,9.21056969360734e-07,1.44591930872906e-07,7.0066574764382494e-09
1841,7.428574875234517e-07,2.388444011458546e-07,1.0272877659645019e-08
1842,7.888919602017097e-07,1.8112315824936331e-07,2.6162233268678392e-08
1843,7.241872865826338e-07,2.020163629712357e-07,1.8311423488626133e-08
1844,9.347020117900229e-07,1.218460624063944e-07,3.841992946007622e-09
1845,1.059685256876719e-06,9.318980409567246e-08,5.022205318283568e-09
1846,8.559280662012725e-07,1.2528632176156407e-07,8.196302303531411e-09
1847,7.652984201911295e-07,9.653870591819214e-08,5.3932236454556914e-09
