year,voudrez_VERB avoir_VERB
1800,2.2009151834367913e-08
1801,2.3811825400343878e-08
1802,1.1189200677108602e-08
1803,1.950339267864365e-08
1804,5.19088700912107e-08
1805,1.7057265822018053e-08
1806,8.645007376628655e-09
1807,3.131650672116848e-08
1808,1.8128591960930862e-08
1809,4.518061036407062e-09
1810,0.0
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,0.0
1814,9.440030979135372e-09
1815,4.045835311217161e-08
1816,3.476405652236281e-08
1817,2.3353100786493997e-08
1818,5.960588467246453e-09
1819,6.210630232317271e-09
1820,1.4239777357261119e-08
1821,5.719663320746804e-08
1822,1.604098542884458e-08
1823,1.2847492847356534e-08
1824,1.0947446504872005e-08
1825,3.0819052199149155e-08
1826,8.80798456392995e-09
1827,1.2904182611350734e-08
1828,1.9261833017480967e-08
1829,1.1145129263923081e-08
1830,3.757260813586072e-08
1831,7.795603274018958e-09
1832,2.3000948701223933e-08
1833,1.50587169400751e-08
1834,3.080395316601425e-08
1835,2.2689263801112247e-08
1836,1.6129799718100912e-08
1837,1.0436836284100082e-08
1838,5.049729523420865e-09
1839,2.6567605004856887e-08
1840,1.9109066329292546e-08
1841,1.1556987367100646e-08
1842,1.408735705865638e-08
1843,1.6539351221922516e-08
1844,1.866110821424627e-08
1845,1.0602432709561072e-08
1846,8.196302303531411e-09
1847,4.314578916364553e-09
1848,1.769948809737798e-08
1849,4.1897072478036534e-09
1850,1.0183494048021657e-08
1851,8.384270167027807e-09
1852,1.8880582430824688e-08
1853,1.0749477752369785e-08
1854,7.27393034694046e-09
1855,1.1144567935161831e-08
1856,2.2261913201759853e-08
1857,5.857811125054013e-09
1858,1.8595969208945462e-08
1859,7.129042689513199e-09
1860,1.7393299245327398e-08
1861,9.431927239234028e-09
1862,1.2198563048571032e-08
1863,1.4484400345793347e-08
1864,6.712618905169165e-09
1865,1.835669216632141e-08
1866,1.9462451206209153e-08
1867,7.76449837758264e-09
1868,2.5193358510477992e-08
1869,1.4650557211837167e-08
1870,1.3761717099214366e-08
1871,1.805600113868877e-08
1872,6.652073114565837e-09
1873,2.095101514498765e-08
1874,2.9873046258899194e-09
1875,1.0870901512305409e-08
1876,1.0882827083946722e-08
1877,9.27722432209066e-09
1878,1.2078177569208037e-08
1879,1.0996785704264767e-08
1880,2.3104245627791897e-08
1881,2.5101027034679646e-08
1882,1.0648616211028639e-08
1883,1.2638677659992936e-08
1884,2.6406787867472303e-09
1885,7.7347630522695e-09
1886,3.2267319927115068e-09
1887,9.793386546164129e-09
1888,8.242799331981132e-09
1889,8.14467782106476e-09
1890,1.0487018364813139e-08
1891,1.529812720946211e-08
1892,6.8953633913793055e-09
1893,7.390100087434348e-09
1894,6.301539290376468e-10
1895,6.018614495673091e-09
1896,1.179405795248556e-09
1897,5.2440420894583895e-09
1898,5.092519295146758e-09
1899,7.185851913504848e-09
1900,5.19105292084987e-09
1901,5.58873880507349e-09
1902,2.455141867585553e-09
1903,3.2401321625741275e-09
1904,1.0749250378694342e-09
1905,7.2250627702885595e-09
1906,1.1317205839134203e-08
1907,1.1828539925318182e-08
1908,4.4202499438483756e-09
1909,6.0510818578052294e-09
1910,4.809735720812114e-09
1911,4.788336838146279e-09
1912,5.2094213387476884e-09
1913,1.0075680734189518e-08
1914,4.68772043404897e-09
1915,0.0
1916,2.197492410260793e-09
1917,7.676496771580332e-09
1918,2.2972752589112133e-09
1919,5.524709134618888e-09
1920,6.815008557481406e-09
1921,3.0290989716519334e-09
1922,2.951174193910333e-09
1923,0.0
1924,1.1602462102189293e-08
1925,5.499089184013428e-09
1926,4.458455382660986e-09
1927,3.3447675740205796e-09
1928,2.2852082448565625e-09
1929,7.798284684668033e-09
1930,6.302162347537887e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,8.02946331646126e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,2.424942913137329e-09
1937,3.777335333410292e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,8.344609447874518e-09
1948,3.2615663503321457e-09
1949,3.9268033269479474e-09
1950,2.1270722960764488e-09
1951,2.1322803522849654e-09
1952,9.490323193972472e-09
1953,1.508335856215126e-08
1954,4.886268278880834e-09
1955,0.0
1956,1.744228317335228e-09
1957,8.835037701437898e-10
1958,1.6544486891589827e-09
1959,4.650448914844674e-09
1960,8.305000243069571e-09
1961,6.94815938118154e-09
1962,2.5367825617905737e-09
1963,3.2330267352165265e-09
1964,9.734349326606662e-09
1965,4.924839203113152e-09
1966,2.215629901769489e-09
1967,7.888536934785861e-09
1968,2.6948494546985557e-09
1969,4.087581828571274e-09
1970,2.2993624781975086e-09
1971,6.166076982339064e-09
1972,5.130146973897354e-09
1973,3.3079223804577396e-09
1974,4.500457340128605e-09
1975,2.8557400888473694e-09
1976,5.142174241967723e-09
1977,2.3507127355770763e-09
1978,4.752473081737207e-09
1979,1.1703946700691858e-09
1980,1.1370301367108482e-09
1981,3.795329828193417e-09
1982,4.966001831974154e-09
1983,2.5261264191556165e-09
1984,1.1598016991243298e-09
1985,1.2031116103372597e-09
1986,3.5966913891627428e-09
1987,2.4443267410134695e-09
1988,3.597932174415064e-09
1989,2.1952488715726304e-09
1990,2.179460389939436e-09
1991,5.861465202094962e-10
1992,3.856960972825618e-09
1993,3.323524566667402e-09
1994,4.747434001473039e-09
1995,3.253470381991974e-09
1996,1.6014276571496566e-09
1997,2.3974471297094624e-09
1998,3.814503379828693e-09
1999,1.3710603763428253e-09
2000,2.2090156370779823e-09
2001,4.3812117822561447e-10
2002,1.752488598683044e-09
2003,0.0
2004,2.642874807889939e-09
2005,2.702249757291497e-09
2006,2.4707338397433887e-09
2007,3.994479469415779e-10
2008,2.9802078582719105e-09
2009,5.245011536203492e-09
2010,9.447586046817946e-10
2011,5.353560705856353e-09
