year,aux_ADP oies_NOUN,aux_ADP rois_NOUN
1800,1.2576657582030748e-07,3.477445936539425e-06
1801,6.429192911383552e-08,3.6646400261020062e-06
1802,7.608656460433849e-08,3.938598638342228e-06
1803,1.09218993626925e-07,4.4058163375382264e-06
1804,5.9324420931261557e-08,3.5767682788900856e-06
1805,1.2224374756897305e-07,5.330395589808745e-06
1806,5.4751713385314815e-08,4.155366956304363e-06
1807,3.131650672116848e-08,3.965808510031366e-06
1808,1.3369836260324064e-07,4.337265686160663e-06
1809,8.132509776714869e-08,3.650593283666126e-06
1810,3.042164786748458e-08,3.982895623977356e-06
1811,4.011322829455821e-08,4.843672325449688e-06
1812,3.7340914360584065e-08,3.323341348782094e-06
1813,5.751483289628823e-09,3.663694876365753e-06
1814,5.349351184236184e-08,6.381461243876174e-06
1815,2.1038344355517324e-07,4.763296782783755e-06
1816,1.274682119856152e-07,3.872716188624281e-06
1817,9.496928132790572e-08,5.280914805894099e-06
1818,7.152706604784953e-08,5.567189603539191e-06
1819,4.554461963124368e-08,6.305859656663415e-06
1820,2.3732961373923445e-08,5.252104539721358e-06
1821,5.029359129160582e-08,5.391275749389024e-06
1822,5.6143449000956025e-08,5.687531896114706e-06
1823,1.1068609673259289e-07,4.7842088068961175e-06
1824,3.115811697540494e-08,4.864034586660182e-06
1825,6.163809995740621e-08,5.506923912435013e-06
1826,2.554315425840059e-08,5.458307761330161e-06
1827,5.7147094167930845e-08,4.619697239860443e-06
1828,6.970948840390179e-08,4.846643935962902e-06
1829,9.85915242779356e-08,5.137904597773968e-06
1830,4.0703659109908585e-08,4.928273757087709e-06
1831,5.456921980950824e-08,4.284463482662204e-06
1832,3.51779220197912e-08,4.164524394667524e-06
1833,6.486831871654886e-08,3.966234462637885e-06
1834,4.947301501800894e-08,4.5655192941751466e-06
1835,4.689114518896531e-08,3.987260001281356e-06
1836,4.0324502126320994e-08,4.81743344238339e-06
1837,6.818733133684418e-08,3.881807259631387e-06
1838,3.9135405138779333e-08,4.893188009447158e-06
1839,5.5931800524433584e-08,4.245922710310879e-06
1840,4.7772664935052944e-08,4.300814008928455e-06
1841,6.099521199232072e-08,3.668701431536192e-06
1842,3.7566284305512454e-08,4.013554812942743e-06
1843,8.978505050549757e-08,3.944044554060611e-06
1844,6.641159000508878e-08,4.554957170554985e-06
1845,4.2409731282333496e-08,3.9831668736667325e-06
1846,2.4588905134237393e-08,4.541922056233716e-06
1847,7.496580600729885e-08,3.87179523286818e-06
1848,5.309846429213394e-08,3.8802104427304585e-06
1849,4.860060620615059e-08,3.157363487105158e-06
1850,4.955967192188382e-08,3.105965664218502e-06
1851,5.4175285590929434e-08,4.12312614628263e-06
1852,4.948014531436229e-08,3.6218163206314102e-06
1853,3.642878354526147e-08,3.4255001537530916e-06
1854,5.403491076805267e-08,3.5003191740656803e-06
1855,6.580602018857462e-08,4.180805024844858e-06
1856,5.694908100650764e-08,3.836297210568773e-06
1857,4.735063718896981e-08,3.700183910382293e-06
1858,3.229826228690058e-08,3.807769251906734e-06
1859,5.295860283638376e-08,3.475408222541887e-06
1860,4.485640303641958e-08,3.5994974290076698e-06
1861,5.5648373908923077e-08,3.3851187808409122e-06
1862,7.906476362506965e-08,3.369514171680521e-06
1863,6.742738156706451e-08,3.717496351640648e-06
1864,6.856460832427302e-08,3.0173222285156953e-06
1865,5.412871001420072e-08,3.7306447548957067e-06
1866,9.341976481280767e-08,3.3397566117088218e-06
1867,8.346835578265654e-08,3.0427128763221845e-06
1868,7.409811075831385e-08,2.901188011605882e-06
1869,5.86022301796163e-08,3.0819889502708975e-06
1870,4.243196194408938e-08,3.227122578053354e-06
1871,7.11618906024114e-08,2.1592852448293343e-06
1872,5.98686610286947e-08,2.645710965865078e-06
1873,6.524745010949573e-08,2.2531320880148087e-06
1874,6.512323835750067e-08,2.3528009709394837e-06
1875,6.522541085018929e-08,2.342965398582919e-06
1876,5.8041743855596906e-08,2.1747515468462097e-06
1877,6.494056759009936e-08,2.3749692523722388e-06
1878,5.495570576385944e-08,2.8099880520215947e-06
1879,4.581993984231758e-08,2.447395713645051e-06
1880,7.63723715380138e-08,2.80973310040622e-06
1881,6.484431835929172e-08,1.990650961403162e-06
1882,1.0914831349850829e-07,2.2182398105030643e-06
1883,1.0679683093428594e-07,1.8882184846802375e-06
1884,5.2813575734944607e-08,2.2617412724912356e-06
1885,4.318575907991118e-08,2.2095640161978736e-06
1886,5.162771010702727e-08,1.975405327314661e-06
1887,6.137189068056159e-08,1.765421272281742e-06
1888,7.03808211710566e-08,2.0372395193035686e-06
1889,1.1089291618304742e-07,1.9779036612987966e-06
1890,8.520702365899524e-08,1.6333531007717284e-06
1891,5.290602622665119e-08,2.093931347424416e-06
1892,4.638699024894777e-08,2.07613132197082e-06
1893,5.665743257887712e-08,2.1018676230610822e-06
1894,5.1042468918183204e-08,1.6623460883380403e-06
1895,5.5973115919982774e-08,1.684008344327026e-06
1896,6.309820932415278e-08,1.6110683596082254e-06
1897,5.477110853746581e-08,1.380348488844163e-06
1898,5.545187775624072e-08,1.500595674386318e-06
1899,9.0652287454418e-08,1.4001356518633656e-06
1900,5.6582480922884315e-08,1.6424492361721832e-06
1901,5.812288650375308e-08,1.3290020683953685e-06
1902,4.713872386874485e-08,1.0925381381809984e-06
1903,5.2922157323109786e-08,1.4666997794066106e-06
1904,6.449550227216605e-08,1.2856103523972706e-06
1905,6.812202002492995e-08,1.3067041804148971e-06
1906,1.358064730672126e-07,1.2145420189568767e-06
1907,7.199980761596336e-08,1.2209110114014265e-06
1908,6.139236319313568e-08,1.2170421781476648e-06
1909,7.86640649286241e-08,1.258074915355678e-06
1910,7.749018304803457e-08,1.3403130338929259e-06
1911,6.969690247160543e-08,1.8562785397691073e-06
1912,7.866225892882994e-08,1.3924782589214146e-06
1913,6.522677464815274e-08,1.2668841984364576e-06
1914,8.036092502550218e-08,1.348724212313357e-06
1915,5.301342831387501e-08,1.1285969838681353e-06
1916,4.394984820521586e-08,9.910690561554247e-07
1917,4.276905407607501e-08,1.3028112377799772e-06
1918,4.020231791912465e-08,1.0464088955330908e-06
1919,7.090043319113448e-08,1.0975754989317466e-06
1920,5.5277291188815525e-08,1.057083563793526e-06
1921,4.316465940235048e-08,1.130611198441045e-06
1922,7.894391068630213e-08,1.038813341125433e-06
1923,6.157249865523795e-08,1.296207273071559e-06
1924,6.059063462071634e-08,1.586958954469253e-06
1925,5.719052609265418e-08,1.348376644116911e-06
1926,5.5730692949396143e-08,1.3932673059713352e-06
1927,1.427100768669476e-07,1.526328864187576e-06
1928,4.227635308495792e-08,1.1894509288623567e-06
1929,5.124586888172189e-08,1.3123398776571094e-06
1930,6.197126012352783e-08,1.307698594743556e-06
1931,6.957267473239881e-08,9.694553302352915e-07
1932,6.794912410512666e-08,1.0937617815898193e-06
