year,sans_ADP ajouter_VERB,sans_ADP rajouter_VERB
1800,5.187871252587684e-07,0.0
1801,4.6671178388635326e-07,0.0
1802,5.885519556159124e-07,0.0
1803,6.748173930759549e-07,0.0
1804,9.12112996243053e-07,0.0
1805,8.528633013149545e-07,0.0
1806,5.15818783242139e-07,0.0
1807,7.288205239319723e-07,0.0
1808,8.54309902820205e-07,0.0
1809,6.935223630932796e-07,0.0
1810,1.069437956857655e-06,0.0
1811,7.571371583026121e-07,0.0
1812,8.748443267592165e-07,0.0
1813,8.339650499067375e-07,0.0
1814,6.041620039809459e-07,0.0
1815,9.197532264693109e-07,0.0
1816,7.485860393785515e-07,0.0
1817,7.208323928864502e-07,0.0
1818,5.340687430077651e-07,0.0
1819,6.635022948842106e-07,0.0
1820,7.226686946637528e-07,0.0
1821,8.076558923875155e-07,0.0
1822,7.098135910155179e-07,0.0
1823,5.969142602424427e-07,0.0
1824,6.955838820488225e-07,0.0
1825,7.440599461006059e-07,0.0
1826,7.477978449799139e-07,0.0
1827,8.267893782942792e-07,0.0
1828,8.273415517123794e-07,8.255071293206129e-09
1829,8.950395908868813e-07,0.0
1830,9.29922098436009e-07,0.0
1831,9.276767780619366e-07,0.0
1832,7.65796270840724e-07,9.470978667991403e-09
1833,6.185657532853384e-07,0.0
1834,6.338146754103491e-07,0.0
1835,6.988293321796846e-07,7.563087933704082e-10
1836,8.394216628460072e-07,1.3441500135158435e-09
1837,6.568249304450546e-07,3.478945576063097e-09
1838,6.772949667777084e-07,1.8936485712828244e-09
1839,7.040415255232801e-07,0.0
1840,6.892003217018328e-07,5.732719632334238e-09
1841,7.473518355283204e-07,6.420548537278137e-10
1842,7.238218273641905e-07,0.0
1843,6.92880668395901e-07,1.7720733769266417e-09
1844,6.421616944862762e-07,2.7442805805577564e-09
1845,7.204074350397605e-07,0.0
1846,7.763068694544017e-07,0.0
1847,7.992757460328903e-07,0.0
1848,7.168292661674514e-07,0.0
1849,6.100214271498317e-07,0.0
1850,8.044960182473915e-07,0.0
1851,6.423641210062669e-07,0.0
1852,7.597806348513814e-07,1.1718981340891332e-08
1853,6.264556340340732e-07,0.0
1854,7.632431078263835e-07,0.0
1855,6.697354386631105e-07,0.0
