year,pourrais_VERB avoir_VERB,pourrais_VERB ravoir_VERB
1800,6.288328791015374e-08,0.0
1801,9.762848662830947e-08,0.0
1802,7.384872446891677e-08,0.0
1803,1.1311967540450496e-07,0.0
1804,5.19088700912107e-08,0.0
1805,7.391481915419718e-08,0.0
1806,6.051504897186533e-08,0.0
1807,7.971474502710407e-08,0.0
1808,8.157866204783204e-08,0.0
1809,1.0843346842648316e-07,0.0
1810,5.3822915901946544e-08,0.0
1811,7.52123057168319e-08,0.0
1812,1.226915742336132e-07,0.0
1813,8.052076339026826e-08,0.0
1814,1.195737269199526e-07,0.0
1815,6.74305908887618e-08,0.0
1816,1.2515060632267705e-07,0.0
1817,1.4478922594207688e-07,0.0
1818,9.894576891156248e-08,0.0
1819,7.24573467891787e-08,0.0
1820,1.7206397728841694e-07,0.0
1821,2.0807740952477616e-07,0.0
1822,1.45371430448904e-07,0.0
1823,1.2847492314449482e-07,0.0
1824,1.364220310051678e-07,0.0
1825,1.8139212443202268e-07,3.522177216552791e-09
1826,1.2155018680459762e-07,0.0
1827,1.0784209791836474e-07,0.0
1828,1.2841221064263664e-07,0.0
1829,1.4574399642697244e-07,0.0
1830,2.0873672212928795e-07,0.0
1831,1.6682589887295762e-07,0.0
1832,2.0159654923190828e-07,0.0
1833,1.9460496503143077e-07,0.0
1834,1.9322479261063563e-07,0.0
1835,1.777325735474733e-07,0.0
1836,1.6062593033439043e-07,0.0
1837,1.822967448106283e-07,0.0
1838,9.783850885014544e-08,0.0
1839,1.4122780100933596e-07,0.0
1840,1.4204405829332245e-07,0.0
1841,1.4767262257464608e-07,0.0
1842,1.4691100602703955e-07,0.0
1843,1.447193227477328e-07,0.0
1844,9.220782715146925e-08,0.0
1845,1.2220699829867954e-07,0.0
1846,1.1943183153562131e-07,0.0
1847,1.493922923145874e-07,0.0
1848,1.1424214818589462e-07,0.0
1849,1.0725651122811541e-07,0.0
1850,1.1880742789571741e-07,6.788996032014438e-10
1851,1.2705393714895763e-07,0.0
1852,1.0937716155012822e-07,0.0
1853,1.409375869343421e-07,0.0
1854,1.2105898861136666e-07,0.0
1855,1.4700215444918285e-07,0.0
1856,1.113095677851561e-07,0.0
1857,1.4156375982565805e-07,1.4644527812635033e-09
1858,1.497464836575091e-07,0.0
1859,1.37997901106246e-07,0.0
1860,1.4235041589927278e-07,0.0
1861,1.2167186014266917e-07,0.0
1862,1.246964274059792e-07,0.0
1863,1.1337789374010754e-07,0.0
1864,1.6973336869341438e-07,0.0
1865,1.4685353733057127e-07,0.0
1866,1.3526404529784486e-07,0.0
1867,1.780981762067313e-07,0.0
1868,9.929146926879184e-08,0.0
1869,1.6359788901354477e-07,0.0
1870,1.2672248317358026e-07,0.0
1871,1.635661277532563e-07,0.0
1872,1.342509392543434e-07,0.0
1873,1.4785430835217994e-07,0.0
1874,1.0455566012979034e-07,0.0
1875,1.7793949780298135e-07,0.0
1876,1.1608348415848013e-07,9.069021977836655e-09
1877,1.5400192410197633e-07,0.0
1878,1.1474268291067347e-07,0.0
1879,1.5090033400610992e-07,0.0
1880,1.3734191384173755e-07,0.0
1881,1.1713812853031413e-07,0.0
1882,1.4508739809571125e-07,0.0
1883,1.4724059838044923e-07,0.0
1884,1.1751020423389491e-07,5.281357573494461e-09
1885,1.3471378679241752e-07,2.5782542767416317e-09
1886,1.251972037152882e-07,5.162771099520569e-09
1887,1.1752064210668323e-07,0.0
1888,1.0652232873553658e-07,0.0
1889,1.1026640578393199e-07,0.0
1890,7.013193226157455e-08,0.0
1891,9.68881437302116e-08,0.0
1892,8.211750923692307e-08,0.0
1893,1.1454654469389425e-07,0.0
1894,1.4808617265771318e-07,0.0
1895,1.4324302810564404e-07,0.0
1896,1.0378771264640818e-07,0.0
1897,8.856604694074122e-08,0.0
1898,9.506036491302439e-08,0.0
1899,8.236091986191241e-08,0.0
1900,1.256234867241801e-07,0.0
1901,8.830207320897898e-08,0.0
1902,9.624156405152462e-08,0.0
1903,1.0044409748388716e-07,1.0800440541913758e-09
1904,8.599400302955473e-08,0.0
1905,9.4957968599374e-08,0.0
1906,9.310974036225161e-08,0.0
1907,7.354265818548811e-08,0.0
1908,1.1247080777820884e-07,4.911389073214423e-10
1909,1.1497055396603173e-07,1.6502950117569526e-09
1910,9.298822334358192e-08,0.0
1911,9.470265638356068e-08,0.0
1912,1.093978454491662e-07,0.0
1913,1.0287799767638717e-07,0.0
1914,1.0714789766552713e-07,0.0
1915,1.0484878032457345e-07,0.0
1916,9.55909200683891e-08,0.0
1917,1.0198774447189862e-07,0.0
1918,9.189101035644853e-08,0.0
1919,6.169258170984904e-08,0.0
1920,7.2693424613135e-08,0.0
1921,8.55720472259236e-08,0.0
1922,9.22241909506738e-08,0.0
1923,8.598917844437892e-08,0.0
1924,1.4825367600224126e-07,0.0
1925,1.0448268739082778e-07,0.0
1926,1.4378518642388372e-07,0.0
1927,1.0480271583901413e-07,0.0
1928,1.199734356305271e-07,1.1426041224282812e-09
1929,1.6153589399436896e-07,0.0
1930,9.768351105776674e-08,0.0
1931,1.0721035437200044e-07,0.0
1932,1.1069131744534388e-07,0.0
1933,8.373583426646292e-08,0.0
1934,1.22212114206377e-07,0.0
1935,1.6635914334983681e-07,1.196828414151696e-09
1936,1.0306007425242569e-07,0.0
1937,6.799204044227736e-08,0.0
1938,1.0112866988265523e-07,0.0
