year,ces_DET humeurs_NOUN,ces_DET rumeurs_NOUN
1800,4.276063734209856e-07,5.973912209356058e-08
1801,8.096020991388286e-07,4.7623651688866175e-08
1802,7.877197276684456e-07,1.1412984690650774e-07
1803,4.973364928773094e-07,9.361628539039657e-08
1804,4.177428181151299e-07,8.404293216912606e-08
1805,5.117180021940726e-07,1.4214388421862623e-07
1806,5.042920925291128e-07,4.610670600868616e-08
1807,1.395008073501458e-07,1.395007984683616e-07
1808,2.4246991081611213e-07,1.4276266657731185e-07
1809,1.4909601997459276e-07,9.036122161631965e-08
1810,2.7379483213962885e-07,3.7442028144596406e-08
1811,1.027901510575191e-07,5.264861169251844e-08
1812,3.6007310733054965e-07,5.067695596494559e-08
1813,2.7894694198948855e-07,6.326631774022928e-08
1814,6.041620270735848e-07,1.8250727507052034e-07
1815,9.817893555919e-07,1.7262231288839303e-07
1816,6.46611511001538e-07,6.489291237699035e-08
1817,3.3005716382206174e-07,1.6814233427808745e-07
1818,1.22907343325096e-06,1.0609847933551464e-07
1819,5.144471799667372e-07,2.577411528648099e-07
1820,6.028172556682421e-07,2.4800946807346236e-07
1821,5.088528234331591e-07,1.0946252082533192e-07
1822,1.73443154949382e-07,1.0025615893027862e-07
1823,3.2415212203318333e-07,5.435477712367742e-08
1824,4.2610831485490053e-07,2.0210670470532932e-07
1825,1.5673688835704525e-07,1.0390422922057496e-07
1826,1.3828535116999774e-07,8.367585380142373e-08
1827,1.4747637422374282e-07,1.4102427670081852e-07
1828,1.751909479708047e-07,9.355747465633613e-08
1829,2.3576234564615106e-07,1.9546841301121276e-07
1830,1.8264462831041328e-07,1.6698937876924447e-07
1831,3.0246939530798045e-07,1.403208571559844e-07
1832,1.813015853002753e-07,1.8265459011956864e-07
1833,1.575373413942316e-07,2.085053125711056e-07
1834,1.969586067573914e-07,1.5775357553593494e-07
1835,1.9134611761728593e-07,2.01934447829899e-07
1836,1.9355760016992463e-07,1.7406742003345244e-07
1837,3.186714181424577e-07,1.7325148604641072e-07
1838,2.4869917680803155e-07,1.6222256249420752e-07
1839,1.594056375786579e-07,1.4682098203877558e-07
1840,8.471685664090955e-08,1.7707734656369212e-07
1841,1.9967906084161768e-07,2.504013920656689e-07
1842,2.2606852567719216e-07,2.6229317029446975e-07
1843,1.772073350281289e-07,2.3686714101245343e-07
1844,1.4599572928375437e-07,2.689395088850688e-07
1845,1.216489717847935e-07,2.5055223495940027e-07
1846,1.4753343791085172e-07,3.266811852142837e-07
1847,5.55502026600152e-08,3.7428973342912286e-07
1848,1.5849086310026905e-07,3.419219112288374e-07
1849,1.6675036107471897e-07,4.2483634388190694e-07
1850,9.436704839771437e-08,2.016331812626504e-07
1851,1.457573119978406e-07,3.1150789681078095e-07
1852,1.5169570133366506e-07,3.418036449431838e-07
1853,2.048372573781876e-07,2.7112571032716914e-07
1854,2.353635935037346e-07,2.421179665645923e-07
1855,2.0803192768426015e-07,3.3327563642160385e-07
1856,1.563511080604485e-07,2.9199346585073727e-07
1857,1.1959697099328537e-07,2.6555409959883036e-07
1858,1.228312691559097e-07,3.361955407399364e-07
1859,1.9248415306094557e-07,4.236688084802154e-07
1860,1.5196250369164943e-07,3.359652964718407e-07
1861,1.3770614026853423e-07,3.881238193059744e-07
1862,1.2334102539313108e-07,4.174619192554019e-07
1863,1.493391650342346e-07,3.506223791305274e-07
1864,1.7788440942467787e-07,3.0734205580529306e-07
1865,1.4732422393137767e-07,3.596028932406625e-07
1866,1.2796561854599986e-07,4.335261074572827e-07
1867,3.2416780726407524e-07,3.198002858084692e-07
1868,2.064867388185121e-07,4.1692538133020207e-07
1869,1.4162205985712717e-07,4.5416727090241693e-07
1870,2.3624281553225046e-07,3.4805675142024484e-07
1871,2.389764812704698e-07,5.183134241804055e-07
1872,2.062142723247007e-07,3.338131371322106e-07
1873,1.8975634397122576e-07,2.6338419445437466e-07
1874,2.467513660064924e-07,3.5070956627691885e-07
1875,9.268874023860008e-08,3.204055154526486e-07
1876,1.4026753980544981e-07,2.847673030714759e-07
1877,1.1380061515353646e-07,3.1851803328208916e-07
1878,9.179415094706656e-08,2.4941435938785617e-07
1879,1.0691319118905085e-07,2.4315114544037897e-07
1880,9.241698428752443e-08,2.2526641174636097e-07
1881,9.343159890207176e-08,2.858728080923356e-07
1882,1.0848277920416649e-07,2.409249475476827e-07
1883,9.605395456802057e-08,2.4139875165474223e-07
1884,6.799748142327644e-08,2.6340770631350097e-07
1885,5.9299847254834503e-08,1.9594732592054243e-07
1886,8.195899336982393e-08,2.3297005213862576e-07
1887,6.52892468977484e-08,2.330826127661112e-07
