year,nos_DET âmes_NOUN,nos_DET ames_NOUN,nos_DET rames_NOUN
1800,4.244621951698946e-07,1.9651028466682874e-06,5.65949598296811e-08
1801,3.52415026272368e-07,2.6312067404887785e-06,3.333655484993869e-08
1802,7.00443933965289e-07,2.4907159854592464e-06,4.4756802708434407e-08
1803,4.953861694190209e-07,2.1882807175188645e-06,4.4857802805609026e-08
1804,5.265042659630126e-07,2.3976955318971704e-06,4.943701981119375e-08
1805,3.1840231340396485e-07,1.9104138038184004e-06,1.9900144199169745e-08
1806,6.541389154790522e-07,1.9508900095388526e-06,1.4408345627714425e-08
1807,4.6120672259064577e-07,2.5053205163771963e-06,4.27043254092041e-08
1808,5.438577757033158e-07,1.7562073644228349e-06,3.3991110370834576e-08
1809,5.624986236796303e-07,2.0805670220003236e-06,9.036122072814123e-09
1810,6.669361409805674e-07,2.532017060019598e-06,1.0530570682121265e-07
1811,7.646584005982504e-07,1.7298829426692919e-06,4.262030373070047e-08
1812,5.041023438678849e-07,1.4109531445427592e-06,2.1337665856435706e-08
1813,9.029828902384907e-07,8.253378585010296e-07,4.601186631703058e-08
1814,7.99255977845803e-07,1.2649642222584134e-06,0.0
1815,9.79092098063461e-07,1.448409089555014e-06,3.236668177919455e-08
1816,1.253823697311418e-06,3.886621669835222e-06,2.3176038865813098e-09
1817,1.436994203629638e-06,1.3731623966783957e-06,1.401186100480345e-08
1818,1.1039010523461457e-06,1.5843244403068724e-06,4.410835785506606e-08
1819,1.4046374730014577e-06,1.1810547797530546e-06,2.3807414706311647e-08
1820,1.6530007940218638e-06,1.3112461871855885e-06,3.322614716694261e-08
1821,2.1853057816656474e-06,1.8618489345811895e-06,3.550135829755163e-08
1822,1.6442009638240052e-06,1.6051011186846154e-06,1.604098542884458e-08
1823,1.470543807613467e-06,1.9804904699549652e-06,1.2847492847356534e-08
1824,1.2875881481022589e-06,1.5671690398733062e-06,1.431589158329416e-08
1825,1.9865078790815005e-06,1.4837170998482918e-06,4.226612659863349e-08
1826,1.4136814563414646e-06,1.2577801784541265e-06,3.08279450855764e-08
1827,1.2526274062452103e-06,1.2351145380895545e-06,2.1199728195142598e-08
1828,1.7188892416086787e-06,1.666607166272982e-06,2.7516904310687096e-09
1829,1.228536135045033e-06,1.231965394810075e-06,1.7146351893870815e-08
1830,1.3891428274348527e-06,1.4841180631108841e-06,2.922314124020886e-08
1831,1.3533166622892168e-06,1.1272441660103993e-06,3.897801548191637e-08
1832,1.252875147628174e-06,1.185225365185616e-06,4.329590197471589e-08
1833,1.566106533346101e-06,1.7815620232397578e-06,9.151066393542351e-08
1834,1.4683217486322064e-06,1.487924237597582e-06,6.067445212920575e-08
1835,1.8506875889556795e-06,1.6646356115757044e-06,3.2521278114927554e-08
1836,2.201045539607094e-06,2.940328112543966e-06,5.712637474175608e-08
1837,1.3414813189172037e-06,1.0429878827267203e-06,2.6439986200443855e-08
1838,1.6903969388692985e-06,1.0326696564533222e-06,1.199310784016916e-08
1839,1.7136105121551282e-06,1.1906482058066103e-06,1.8876983531868063e-08
1840,2.3529630936991452e-06,4.624394041030655e-07,5.095751021144679e-08
1841,2.9605149514111417e-06,6.304978463766986e-07,4.751206006403663e-08
1842,2.6417148930590884e-06,7.62058913750252e-07,2.0795621225033756e-08
1843,3.1572440519767042e-06,6.899271989269096e-07,3.9576303123567413e-08
1844,3.5285961068609595e-06,6.031928672101117e-07,3.0735943568060975e-08
1845,3.1935644315694844e-06,4.224232528216021e-07,8.928364714222425e-09
1846,2.9781849235632762e-06,3.904952361466485e-07,2.8101606375230404e-08
1847,2.2009745563877914e-06,2.5833540018282974e-07,2.480882876909618e-08
1848,1.997628572780741e-06,3.6927567403921557e-07,1.689496542667257e-08
1849,2.4551685839924176e-06,2.8657598960535324e-07,5.9493846293889874e-08
1850,2.347634769250817e-06,2.7766992527489265e-07,4.8880771430503955e-08
1851,2.3140586371539484e-06,2.16056205371018e-07,2.902247508984601e-08
1852,2.6699747266434315e-06,3.157614443249912e-07,1.8229528109259263e-08
1853,2.728575594801441e-06,1.6064497154744117e-07,3.58315901394235e-08
1854,4.3524081050350105e-06,4.037031189341178e-07,2.5458755104068587e-08
1855,3.061572058982165e-06,3.8952919112489326e-07,3.714855978387277e-08
1856,4.2494368628354096e-06,4.555926567118007e-07,2.847454005916461e-08
1857,3.1680992869098645e-06,2.948431574445465e-07,3.905207179855097e-08
1858,3.2621243590824633e-06,4.3309034136740365e-07,2.4468379322684086e-08
1859,2.9111954162885922e-06,1.950302341846566e-07,1.9859475397510096e-08
1860,3.3331052549101514e-06,1.460121641372325e-07,4.577183787546346e-08
1861,3.296930202623116e-06,3.225719265032012e-07,4.5744847909645614e-08
1862,3.210481153814726e-06,4.070705608150149e-07,1.490935552794781e-08
1863,3.3983400129500296e-06,4.455201900732675e-07,5.693867777267769e-08
1864,3.3275412789635084e-06,2.3350324540594158e-07,1.4384183621984903e-08
1865,3.3564507120331655e-06,3.3983416969363134e-07,2.871175119878444e-08
1866,3.427337709638323e-06,2.0532886724211608e-07,3.259960656976091e-08
1867,2.9650678001758024e-06,1.8489211583982978e-07,1.94112459439566e-08
1868,2.7035931289276505e-06,2.0401679279302698e-07,4.841076517436704e-08
1869,2.8461150520797673e-06,1.4308711548949304e-07,1.5627260818718014e-08
1870,2.6365157204111256e-06,2.0757256713466177e-07,3.1537269240544674e-08
1871,2.340907421682914e-06,2.3366589374518298e-07,8.496941816815706e-09
1872,2.5120647109133643e-06,1.5118348750675636e-07,3.688877092677956e-08
1873,2.3794368786411724e-06,1.2929769610536823e-07,2.6937019892425695e-08
1874,2.03913403140632e-06,1.2128456505777763e-07,1.4936523129449597e-08
1875,2.3452538755464047e-06,3.0209663792746255e-07,1.830888640697026e-08
1876,2.0157413942456515e-06,1.6384700174398859e-07,1.269663085778916e-08
1877,1.9754303188790345e-06,1.0204946088165912e-07,2.0409892775852256e-08
1878,1.597942912212602e-06,9.783323684509071e-08,2.3552445993502147e-08
1879,2.1578136859545793e-06,2.0893891727880032e-07,2.9324761063875826e-08
1880,1.579431973652845e-06,7.18798809362653e-08,1.3477476912271413e-08
1881,1.7905399829487578e-06,6.135806718265968e-08,9.761510322281453e-09
1882,1.6871400916329549e-06,1.3310770263785798e-07,1.3310770263785798e-08
1883,1.4989472187920683e-06,8.088754155366473e-08,2.274962085380139e-08
1884,1.804903938307234e-06,2.5416533944166986e-07,1.650424152899177e-08
1885,1.6333241283916777e-06,9.732910044579768e-08,1.2891271161663553e-08
1886,1.6411158476614673e-06,8.583107269366508e-08,2.0651085175238393e-08
1887,1.674669139362095e-06,2.742148442758108e-07,2.6115698048556624e-08
1888,1.6942122726959497e-06,9.193891536973808e-08,1.7119660356001987e-08
1889,1.7329367842933152e-06,1.2342319211100516e-07,1.50363277384713e-08
1890,1.9971214726410835e-06,4.3258951976099524e-08,1.6385966361553983e-08
1891,1.9913064264187597e-06,1.2493470968877318e-07,1.529812720946211e-08
1892,1.931328679205535e-06,1.9996553834999986e-07,1.817868522380195e-08
1893,1.5155862946869547e-06,1.4102774115176686e-07,1.2932674486876294e-08
1894,1.575384782626088e-06,2.7915819567070344e-07,8.822155450616265e-09
1895,1.8459090895817098e-06,3.7977457778559653e-07,1.9259566386153892e-08
