year,ses_DET arts_NOUN,ses_DET rares_ADJ
1800,4.213180280210338e-07,5.09354649125271e-07
1801,3.143161109164794e-07,6.072015814595488e-07
1802,4.5651938762603095e-07,6.064546766992862e-07
1803,4.154222472685376e-07,6.143568760386131e-07
1804,4.3998947840684366e-07,5.932442288525408e-07
1805,3.980028928651791e-07,9.523640382980147e-07
1806,3.544452908954554e-07,4.985287862524501e-07
1807,3.729511108829797e-07,8.683213081894792e-07
1808,5.347934908250807e-07,7.43272273950879e-07
1809,3.817761671243147e-07,7.251488227666414e-07
1810,2.948559592041988e-07,8.284048558238055e-07
1811,1.5794583196893086e-07,7.195310232077645e-07
1812,4.587598212424382e-07,4.240861102289273e-07
1813,3.278345606094746e-07,8.569709848416096e-07
1814,3.461344864064131e-07,7.363224727718887e-07
1815,4.5043632423968916e-07,5.097752611149531e-07
1816,2.7811245217890246e-07,5.121904678162537e-07
1817,4.919720177909426e-07,5.744862612289126e-07
1818,4.124727333021383e-07,5.424135771647798e-07
1819,3.1777722364623173e-07,5.70342880479302e-07
1820,3.0852851917728685e-07,7.036823390649261e-07
1821,2.9485849495358707e-07,6.301490778071184e-07
1822,2.7169419070105505e-07,5.223346022376063e-07
1823,3.785069062622881e-07,7.016707783691345e-07
1824,4.3284519701813906e-07,5.692672395696263e-07
1825,5.036713557338146e-07,5.617872922414335e-07
1826,4.6153838817453163e-07,5.187902960557267e-07
1827,5.290714509831318e-07,5.152455830881308e-07
1828,3.5129914977005683e-07,3.5955420685240824e-07
1829,5.941210837190347e-07,3.532148555862591e-07
1830,3.746824122075054e-07,3.8198817975398924e-07
1831,3.492430096230237e-07,3.757480779853495e-07
1832,5.344337649093589e-07,4.316060269182742e-07
1833,4.494447791714151e-07,3.475088519167002e-07
1834,4.499243835276445e-07,3.892499371715985e-07
1835,4.031125868664276e-07,4.303397034277623e-07
1836,3.5149523325284093e-07,4.771732591279942e-07
1837,3.1032194292013315e-07,3.4859033171130704e-07
1838,3.257075498197537e-07,5.024480884685545e-07
1839,3.7474305636386873e-07,5.061828307617589e-07
1840,2.8281418024134197e-07,4.102079600443176e-07
1841,3.678974382914646e-07,4.430178570657972e-07
1842,2.596098638285582e-07,4.984241073202611e-07
1843,2.977083046751261e-07,5.12129176399867e-07
1844,2.4698525935562543e-07,5.334881620910892e-07
1845,3.320235761883339e-07,5.479783933282079e-07
1846,2.4705994894347327e-07,4.355748952633576e-07
1847,3.26290034102783e-07,5.231426900564884e-07
1848,2.622742272251344e-07,4.3766006641021704e-07
1849,4.03887813638093e-07,4.390813401755622e-07
1850,3.81541576111033e-07,3.4284430139308597e-07
1851,3.579438565548543e-07,5.288539774994661e-07
1852,3.724032022756063e-07,4.479255348854849e-07
1853,2.7650044498450654e-07,5.309047281798485e-07
1854,3.631769311951416e-07,5.63210011961246e-07
1855,3.3592910853030844e-07,5.943769814109601e-07
1856,2.826745193473812e-07,6.052134295941869e-07
1857,3.085113617906643e-07,5.82852191399752e-07
1858,3.7289811677387874e-07,5.319425913086206e-07
1859,4.939408295712155e-07,6.838788575436183e-07
1860,3.808217101664013e-07,6.623185377918617e-07
1861,3.320038433063388e-07,5.866659087416792e-07
1862,3.524029354995406e-07,6.505900138620291e-07
1863,3.3913476499281003e-07,6.053480632317587e-07
1864,3.078215256024919e-07,6.137251702398316e-07
1865,2.8664682727441715e-07,5.601145023348408e-07
1866,2.4036128087878694e-07,5.853332289973423e-07
