year,nos_DET adieux_NOUN,nos_DET radieux_ADJ
1800,2.5782148682651496e-07,0.0
1801,3.2622202539300815e-07,0.0
1802,1.7902721083373763e-07,0.0
1803,2.067359510249389e-07,0.0
1804,2.941502614817182e-07,0.0
1805,2.3880172150825274e-07,0.0
1806,1.901901622858304e-07,0.0
1807,2.2206249639111775e-07,0.0
1808,1.722216200761295e-07,0.0
1809,1.603911625736032e-07,0.0
1810,2.784750945394876e-07,0.0
1811,1.7549536934780008e-07,0.0
1812,2.747224563393047e-07,0.0
1813,2.243078491837025e-07,0.0
1814,9.440031645269187e-08,0.0
1815,1.510445239993885e-07,0.0
1816,1.691850872731493e-07,0.0
1817,1.6347170461727956e-07,0.0
1818,3.5882744242599074e-07,0.0
1819,1.4905512202290083e-07,0.0
1820,2.575026520901247e-07,0.0
1821,3.027476882522251e-07,0.0
1822,1.443688688596012e-07,0.0
1823,2.6782081974374705e-07,0.0
1824,2.3242270685841504e-07,0.0
1825,2.844158153436638e-07,0.0
1826,1.8144447544443665e-07,0.0
1827,2.3227528345159953e-07,0.0
1828,1.9720447141935438e-07,0.0
1829,1.8003669577382198e-07,0.0
1830,1.784698966389442e-07,0.0
1831,3.0246940951883516e-07,0.0
1832,2.435394534927582e-07,0.0
1833,3.405586732618815e-07,0.0
1834,2.744351981220916e-07,0.0
1835,2.55632372159198e-07,0.0
1836,1.8952514757586414e-07,0.0
1837,1.5516096496526188e-07,0.0
1838,1.6348499176643827e-07,0.0
1839,1.8387579281409216e-07,6.9914751765765e-10
1840,1.4077011600832634e-07,0.0
1841,1.540931702237458e-07,0.0
1842,1.6166918204163494e-07,3.3541325272778977e-09
1843,1.3113343166892832e-07,0.0
1844,1.3666517695298808e-07,0.0
1845,1.378316323297213e-07,0.0
1846,1.2704268037566635e-07,0.0
1847,1.5694280630640378e-07,2.1572894581822766e-09
1848,1.383778089891763e-07,0.0
1849,2.0697155411752988e-07,0.0
1850,1.5207351822255077e-07,1.3577992064028876e-09
1851,1.9154832742174221e-07,2.579775504329973e-09
1852,1.3281512778462456e-07,0.0
1853,1.9289340436046132e-07,0.0
1854,1.3041118052115053e-07,0.0
1855,1.369189739364174e-07,0.0
1856,1.4599673292536863e-07,0.0
1857,2.1088118984380344e-07,9.763018171682347e-10
1858,1.4142723259169543e-07,0.0
1859,1.6193110941031819e-07,5.092173349652285e-10
1860,2.0688870883134314e-07,4.577183909670879e-10
1861,1.5043923884405785e-07,0.0
1862,1.9743600354615864e-07,0.0
1863,2.1926385329607e-07,0.0
1864,2.478874385758445e-07,0.0
1865,1.7980145639029388e-07,0.0
