year,avais_VERB envoyé_VERB,avais_VERB renvoyé_VERB
1800,4.4018303668735825e-08,0.0
1801,3.333655484993869e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,2.5354410126965377e-08,3.900678446910888e-09
1804,4.69651695311768e-08,2.2246657849223084e-08
1805,2.842877755426798e-08,1.9900143755080535e-08
1806,2.0171682990621775e-08,0.0
1807,4.839823830593559e-08,0.0
1808,8.384473915157287e-08,0.0
1809,4.743964154840796e-08,1.581321384946932e-08
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,6.769107585569145e-08,2.5070767684098882e-09
1812,6.934741492159446e-08,2.6672082320544632e-09
1813,5.7514832008109806e-08,2.8757416448144113e-09
1814,7.552024783308298e-08,9.440030979135372e-09
1815,7.012781111370714e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,1.743698163636509e-07,6.227493631882908e-09
1818,1.2994082965178677e-07,2.384235475716423e-09
1819,1.1903707530791507e-07,2.070210003424222e-09
1820,6.645229433388522e-08,7.119888678630559e-09
1821,3.333182974074589e-07,2.9584463767662328e-09
1822,1.3434325296657335e-07,0.0
1823,1.9864201306063478e-07,9.882686669016039e-09
1824,2.1221204349330947e-07,2.5263338088166165e-09
1825,8.629334047327575e-08,0.0
1826,1.0921900894800274e-07,8.807984341885344e-10
1827,1.7236300209333422e-07,0.0
1828,1.742737225640667e-07,1.8344602503717056e-09
1829,1.3802812759422523e-07,8.57317605795771e-10
1830,1.3880992355552735e-07,1.1480519646056564e-08
1831,1.980083226271745e-07,1.5591206548037917e-08
1832,2.787173798424192e-07,1.3529969367098715e-09
1833,3.3013341749210667e-07,3.4750886612755494e-09
1834,2.0349277463083126e-07,0.0
1835,1.3462296521993267e-07,6.050470346963266e-09
1836,8.535352691296794e-08,6.048674894287842e-09
1837,1.586399065445221e-07,0.0
1838,6.501526428337456e-08,0.0
1839,7.550793412747225e-08,2.0974426639952526e-09
1840,9.490835850556323e-08,1.2102408852854296e-08
1841,1.2520069958554814e-07,1.926164561183441e-09
1842,9.056157779241403e-08,4.024959032733477e-09
1843,5.965980420796768e-08,8.269675610961258e-09
1844,5.1043620885593555e-08,1.097712254427563e-09
1845,5.1896119401817487e-08,2.7901139176833567e-09
1846,1.0362467151026067e-07,2.9272506640865004e-09
1847,7.011190916728083e-08,0.0
1848,5.390298696283935e-08,3.218088684420195e-09
1849,8.630797054820505e-08,4.1897072478036534e-09
1850,4.1412874907109654e-08,6.1100964288129944e-09
1851,4.837079004005318e-08,1.2898877521649865e-09
1852,4.036538214791108e-08,6.510545436100301e-10
1853,8.062107781370287e-08,2.388772735173461e-09
1854,9.611979123747005e-08,1.558699391779328e-09
1855,9.021793090369101e-08,7.429711956774554e-09
1856,8.179959110066193e-08,4.659470143053568e-09
1857,7.761599363220739e-08,4.393358121745905e-09
1858,9.151174396038186e-08,1.0766087576996597e-08
1859,1.043895565544517e-07,4.073738679721828e-09
1860,9.978261061860394e-08,4.577183909670879e-10
1861,9.196129013844256e-08,2.263662679524714e-08
1862,7.635397025751445e-08,2.2589931703009825e-08
1863,7.14230807830063e-08,1.4983863039219614e-09
1864,8.630509995555258e-08,3.835782358407869e-09
1865,7.248540612181387e-08,9.41368871743009e-10
1866,7.736324647567017e-08,1.9462451650298362e-09
1867,1.067618526917613e-07,0.0
1868,6.86642493974432e-08,2.4699371437009177e-09
1869,8.692664010823137e-08,1.4650557433881772e-09
1870,9.690542412954528e-08,1.490852596930381e-08
1871,1.5294494914996903e-07,2.1242354542039266e-09
1872,1.7295390364324703e-07,1.6327815544059376e-08
1873,1.1193828441946607e-07,2.9930022904522957e-09
1874,1.350261698007671e-07,0.0
1875,1.0813685946686746e-07,8.010138330405425e-09
1876,8.827181829929032e-08,1.813804439976252e-09
1877,1.0761579716245251e-07,1.0514186854493346e-08
1878,4.408534692856847e-08,0.0
1879,9.225081498698273e-08,4.887460214320072e-09
1880,1.5017759835700417e-07,4.492492600149944e-09
1881,1.331748933353083e-07,5.5780060570498335e-09
