year,quelques_DET humeurs_NOUN,quelques_DET rumeurs_NOUN
1800,1.0690159513160324e-07,0.0
1801,7.857902772911984e-08,2.1430643926123594e-08
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,6.046051481689574e-08,5.851017448321727e-09
1804,9.145848167690929e-08,4.943701803483691e-08
1805,3.980028751016107e-08,3.695741046527701e-08
1806,2.881669036725043e-08,2.881669125542885e-09
1807,2.8469550272802735e-08,0.0
1808,3.172503681980743e-08,9.064295980465431e-09
1809,7.454800510231507e-08,1.581321384946932e-08
1810,7.020380277111826e-09,9.360507036149102e-09
1811,7.521229861140455e-09,1.504245972228091e-08
1812,3.200649700829672e-08,3.200649700829672e-08
1813,1.4378708002027452e-08,1.7254450312975678e-08
1814,5.034683425719777e-08,1.2586708564299443e-08
1815,2.1577788444915313e-08,1.1058616422587875e-07
1816,3.9399266071882266e-08,0.0
1817,1.401186100480345e-08,2.0239355080775567e-08
1818,9.775365583664097e-08,9.536941902865692e-09
1819,1.5526575580793178e-08,1.6561680027393777e-08
1820,3.678609061807947e-08,1.4239777357261119e-08
1821,1.1833785507064931e-08,4.3390548043475974e-08
1822,1.804610860745015e-08,5.6143449000956025e-08
1823,1.7788837070042973e-08,3.8542477320824275e-08
1824,1.6000115010683658e-08,2.4421226818560626e-08
1825,5.899646993157148e-08,1.1447076175841175e-08
1826,1.145037931138404e-08,1.3211976845894924e-08
1827,7.373818444733615e-09,4.2399457278463615e-08
1828,1.0089530988466322e-08,1.8894940012614825e-07
1829,5.143905745796928e-09,3.257806824308318e-08
1830,1.3567886369969528e-08,3.444155849408048e-08
1831,7.795603274018958e-09,2.18276889896174e-08
1832,1.352996914505411e-08,6.764984683549358e-09
1833,3.243415847009601e-08,7.29768601104297e-08
1834,1.4001796166951408e-08,7.000897994657862e-08
1835,6.050470346963266e-09,1.7092578730171226e-07
1836,1.4113575197427508e-08,1.2097349788575684e-07
1837,6.957891152126194e-09,5.914207346080502e-08
1838,1.2624323808552163e-08,3.5348105775767635e-08
1839,8.38977065598101e-09,1.1186360393544703e-08
1840,3.184844388215424e-08,2.0701488523400258e-07
1841,1.9903700021473014e-08,5.5216718308770396e-08
1842,8.720745015011744e-09,2.2808100297311285e-08
1843,7.678984559333912e-09,2.7762482091020502e-08
1844,1.0977122322231025e-08,2.854051861511664e-08
1845,2.2320911785556063e-09,2.4553003630245485e-08
1846,1.3465353276842507e-08,2.7516157130591523e-08
1847,1.6179670936367074e-09,1.0462853694548357e-07
1848,2.654923214606697e-08,6.033916377656823e-08
1849,2.513824481908955e-09,4.105913298246833e-08
1850,2.7155984128057753e-09,5.295416993789104e-08
1851,8.384270167027807e-09,5.159550831024262e-08
1852,5.859491114534876e-09,1.9531635864211694e-08
1853,1.3138249599364826e-08,2.6276499198729653e-08
1854,5.195664620760709e-09,2.7017454939937124e-08
1855,1.5920811335945473e-09,1.751289246954002e-08
1856,5.177189343896771e-09,3.209857268871019e-08
1857,1.0739319655783675e-08,3.856392294387945e-08
1858,8.31924928945682e-09,6.85114658338648e-08
1859,1.4258085379026397e-08,6.619825221321207e-08
1860,1.830873536112776e-09,9.29168351149201e-08
1861,6.6023493339173456e-09,5.423358295786329e-08
1862,1.490935552794781e-08,4.24690722589105e-08
1863,8.990317212909105e-09,3.3963421852689635e-08
1864,6.233146443435089e-09,2.349416750035971e-08
1865,1.882737743486018e-09,4.989255009135718e-08
1866,2.919367858567057e-09,3.16264845423575e-08
1867,2.6690463172940326e-08,3.833721073931429e-08
1868,8.89177353968762e-09,1.1361710017254723e-08
1869,4.883519366671862e-09,1.9045725108135514e-08
1870,7.454263428741115e-09,1.834895568819661e-08
1871,0.0,3.3987766379084405e-08
1872,6.047339295989218e-10,5.321658580470512e-08
1873,4.190203295451056e-09,2.573981872089348e-08
1874,2.6885741633009275e-08,1.7923826645116492e-08
1875,2.8607636259891933e-09,4.8632982085905496e-08
1876,6.04601479992084e-10,2.539326260375674e-08
