year,vouliez_VERB entrer_VERB,vouliez_VERB rentrer_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,0.0,0.0
1804,1.730295728918918e-08,1.9774807569206132e-08
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,8.540865792383556e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,6.227493631882908e-09,0.0
1818,0.0,5.960588467246453e-09
1819,2.070210003424222e-09,0.0
1820,0.0,0.0
1821,1.1833785507064931e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,9.882686891060644e-10,0.0
1824,5.894778887238772e-09,4.210556348027694e-09
1825,6.163809906922779e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,3.429270423183084e-09,1.714635211591542e-09
1830,2.0873671680021744e-09,1.1480519646056564e-08
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,0.0,2.705993873419743e-09
1833,0.0,9.266902800675325e-09
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,1.1344631900556124e-08,3.025235173481633e-09
1836,1.1425274948351216e-08,7.392825018825988e-09
1837,2.7831563720326358e-09,2.0873671680021744e-09
1838,3.1560809521380406e-09,8.2058102535143e-09
1839,2.7965900706306e-09,6.9914751765765e-10
1840,6.369688665408546e-10,1.9109065441114126e-09
1841,3.852329122366882e-09,6.420548537278137e-09
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,4.134837805480629e-09,1.1813822142769936e-09
1844,2.195424508855126e-09,1.097712254427563e-09
1845,3.9061593959388574e-09,5.022205318283568e-09
1846,5.269050973311096e-09,7.025401593807601e-09
1847,8.089835468183537e-09,1.0786447290911383e-09
1848,8.045221711050488e-10,0.0
1849,8.379414495607307e-09,0.0
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,5.8044946626978344e-09,6.449438760824933e-10
1852,3.906327261660181e-09,0.0
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,8.832629738719788e-09,0.0
1855,2.1227748447927297e-09,4.2455496895854594e-09
1856,3.1063134287023786e-09,2.0708756931497874e-09
1857,4.881508974818871e-09,9.763018171682347e-10
1858,4.404308473482388e-09,5.3830437884982985e-09
1859,2.5460866748261424e-09,0.0
1860,5.492620580582752e-09,9.154367819341758e-10
1861,1.4147891747029462e-09,9.431927461278633e-10
1862,7.228778020618165e-09,4.517986262886353e-10
1863,1.048870412745373e-08,1.4983863039219614e-09
1864,9.109982990196386e-09,4.315255264231155e-09
1865,2.3534221238463715e-09,9.41368871743009e-10
1866,4.865612801552288e-09,9.731225825149181e-10
1867,5.338092634588065e-09,0.0
1868,6.915823469455518e-09,9.87974813071446e-10
1869,8.30198221279943e-09,9.767038289254515e-10
1870,1.0321287824410774e-08,3.4404292748035914e-09
1871,5.3105884134652115e-09,0.0
1872,2.4189357183956872e-09,0.0
1873,8.380406590902112e-09,0.0
