year,mais_CONJ entrer_VERB,mais_CONJ rentrer_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,1.3652374120098898e-08,0.0
1804,1.9774807569206132e-08,3.213406074564773e-08
1805,0.0,1.4214388555089386e-08
1806,1.152667650217154e-08,2.881669125542885e-09
1807,1.4234775580490577e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,6.798221985349073e-09
1809,1.581321384946932e-08,2.259030518203531e-09
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,0.0,5.3344164641089264e-09
1813,0.0,1.1502966579257645e-08
1814,1.5733386149463513e-08,0.0
1815,0.0,1.888056444521169e-08
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.7881765401739358e-08,4.768470951432846e-09
1819,1.5526575580793178e-08,5.175524897538253e-09
1820,3.5599443393152796e-09,1.1866481131050932e-08
1821,2.9584463767662328e-09,0.0
1822,1.7043547018147365e-08,1.0025615893027862e-09
1823,1.581229902569703e-08,0.0
1824,3.2000230021367315e-08,9.263223965660927e-09
1825,1.0566531649658373e-08,7.044354433105582e-09
1826,8.807984452907647e-09,3.5231937367541377e-09
1827,2.5808365222701468e-08,1.3825909306319772e-08
1828,2.109629271274116e-08,2.7516904310687096e-09
1829,2.5719527840806222e-08,1.0287811491593857e-08
1830,1.2524203230057651e-08,4.174734336004349e-09
1831,1.870944643656003e-08,0.0
1832,1.6235963684607668e-08,4.058990810129615e-09
1833,1.9692168451435066e-08,5.791814361444381e-09
1834,1.8669061851994684e-09,1.6802156110884425e-08
1835,1.3613558280667348e-08,6.050470346963266e-09
1836,7.392825018825988e-09,7.392824907803686e-09
1837,7.653679912067446e-09,3.4789453540184923e-09
1838,2.4617430760542902e-08,5.680945491803868e-09
1839,8.3897702118918e-09,7.690622361167243e-09
1840,1.592422194107712e-08,8.280594876453051e-09
1841,2.247192032456269e-08,1.926164561183441e-09
1842,2.0124795163667386e-08,1.1404050592744852e-08
1843,1.240451308337498e-08,6.497602011990011e-09
1844,1.756339607084101e-08,5.488561272137815e-09
1845,2.2320911341466854e-08,7.812319235966925e-09
1846,2.2247104602968193e-08,1.4050803631704412e-08
1847,1.1325769655456952e-08,7.011190739092399e-09
1848,1.3676876908785829e-08,2.413566457803995e-09
1849,6.703531951757213e-09,8.379414939696517e-10
1850,2.987158342904195e-08,4.0055075700706766e-08
1851,1.9993260380601896e-08,3.2247193804124663e-09
1852,1.4323199737376058e-08,0.0
1853,9.555090496604635e-09,4.180352286553557e-09
1854,1.92239586471743e-08,9.871762518542937e-09
1855,1.1675261646360013e-08,9.552486801567284e-09
1856,1.6567005267642543e-08,2.6403664143970218e-08
1857,3.221796074370786e-08,2.440754542920587e-09
1858,2.4468380210862506e-08,1.0766087521485446e-08
1859,2.1387128512628806e-08,1.1202781813324236e-08
1860,9.154367819341758e-09,5.950339054816567e-09
1861,1.0375120318428799e-08,6.6023493339173456e-09
1862,2.801151532949575e-08,1.0843167363994155e-08
1863,2.3474718169325115e-08,9.989241656072068e-10
1864,1.2945765348604255e-08,9.109982768151781e-09
1865,1.55325863282485e-08,1.7886009118228685e-08
1866,1.0704348518686402e-08,6.811857966582124e-09
1867,2.9602150064533816e-08,4.85281148598915e-09
1868,7.903798504571569e-09,6.421836395986702e-09
1869,3.125452274765905e-08,2.441759683335931e-09
1870,1.6055336615750093e-08,7.454263428741115e-09
1871,1.4869648179427486e-08,4.248470908407853e-09
1872,1.148994488442412e-08,7.256807155187062e-09
1873,1.4366410283628284e-08,9.577606707722452e-09
1874,1.1949217948448165e-08,5.377148060148329e-09
1875,9.7265964171811e-09,3.4329163400848017e-09
1876,2.418405919968336e-08,6.04601479992084e-10
1877,1.051418752062716e-08,9.27722432209066e-09
1878,1.6305539585204087e-08,9.058632954861423e-09
