year,avez_VERB accompagné_VERB,avez_VERB raccompagné_VERB
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,2.9662210465630778e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,0.0,0.0
1816,1.622322720606917e-08,0.0
1817,7.784366928831332e-09,0.0
1818,2.6226590676969863e-08,0.0
1819,3.3123360054787554e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,3.254291058851777e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,2.2737005167527968e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,1.474763688946723e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,2.4862210068476998e-08,0.0
1830,3.026682549034376e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,8.401078055442213e-09,0.0
1835,2.4201881387853064e-08,0.0
1836,9.409050427677812e-09,0.0
1837,2.2961039292113128e-08,0.0
1838,1.0730675015224733e-08,0.0
1839,1.957613093850341e-08,0.0
1840,5.6690229399691816e-08,0.0
1841,1.926164472365599e-08,0.0
1842,2.0124794275488966e-08,0.0
1843,2.539971788451112e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,8.37034175305007e-09,0.0
1846,2.1076203893244383e-08,0.0
1847,1.294373674909366e-08,0.0
1848,2.091757700384278e-08,0.0
1849,8.379414495607307e-09,0.0
1850,1.5614691761811628e-08,0.0
1851,1.096404567135778e-08,0.0
1852,2.2135854038651814e-08,0.0
1853,1.6721408258035808e-08,0.0
1854,2.6497888327980945e-08,0.0
1855,1.751289246954002e-08,0.0
1856,2.0708757375587084e-08,0.0
1857,3.270611159678083e-08,0.0
1858,2.495774786837046e-08,0.0
1859,1.7313389832906978e-08,0.0
1860,1.6935580049448618e-08,0.0
1861,1.0846716413936974e-08,0.0
1862,9.035972858839614e-09,0.0
1863,9.489779628779615e-09,0.0
1864,1.1986819536957682e-08,0.0
1865,1.5061901947888146e-08,0.0
1866,1.4110277390955162e-08,0.0
1867,4.367530337390235e-09,0.0
1868,1.531360993567432e-08,0.0
1869,2.197583626184496e-08,0.0
1870,9.17447806614291e-09,0.0
1871,9.559059321873065e-09,0.0
