year,vous_PRON approchez_VERB,vous_PRON rapprochez_VERB
1800,1.3519907327008696e-07,4.0874138740321087e-08
1801,1.2144031202865335e-07,4.0480102825313224e-08
1802,1.208433673127729e-07,4.475680270843441e-09
1803,7.60632292706731e-08,6.436119548425268e-08
1804,1.6561401205983373e-07,6.426812149129546e-08
1805,1.3645813323748257e-07,1.9900143755080535e-08
1806,8.645007643082181e-08,4.8988376022407465e-08
1807,1.2811297978032599e-07,2.8469551160981155e-09
1808,7.024829473678551e-08,2.039466595604722e-08
1809,4.292158095609011e-08,2.710836710662079e-08
1810,1.8487001796074765e-07,3.042164919975221e-08
1811,6.769107585569145e-08,1.0028307073639553e-08
1812,1.2802598803318688e-07,1.3336041604361526e-08
1813,7.476927987859483e-08,5.751483289628823e-09
1814,6.608022040666128e-08,0.0
1815,1.0249449600152616e-07,1.3486118000116676e-08
1816,1.599146735031809e-07,6.952811659743929e-09
1817,1.821541957269801e-07,6.538868291272593e-08
1818,1.0609847800324701e-07,4.530047448270125e-08
1819,8.48786099183485e-08,1.3456364911235141e-08
1820,1.7087732828713342e-07,6.76389415588119e-08
1821,2.2089733064944994e-07,7.88919063410276e-09
1822,1.7244059336007922e-07,1.604098542884458e-08
1823,1.1463916838039268e-07,9.882686669016039e-09
1824,1.2463246434890607e-07,3.9579228783281906e-08
1825,1.8051157724130462e-07,3.169959583715354e-08
1826,8.984144006518591e-08,3.2589542175998076e-08
1827,1.37337362815515e-07,2.3043182806326e-08
1828,1.458395928466416e-07,3.3020285172824515e-08
1829,1.6031838967478507e-07,3.0006116702452346e-08
1830,1.054120417620652e-07,2.817945699007396e-08
1831,1.5591206370402233e-07,4.2096257146795324e-08
1832,1.677716259251838e-07,4.7354891563600177e-08
1833,2.2588075054841283e-07,3.4750886612755494e-08
1834,1.997589560431834e-07,4.1071935186209885e-08
1835,1.8832088954923165e-07,2.949604294144592e-08
1836,1.7003498165024666e-07,4.3012801487218866e-08
1837,1.3707044432820226e-07,4.313892532081809e-08
1838,1.4581094287535734e-07,3.219202726612025e-08
1839,1.2374911317891701e-07,3.8453111805836215e-08
1840,1.566943357289574e-07,3.121147285067849e-08
1841,1.495987813626698e-07,3.5955073585114405e-08
1842,2.1265200800257844e-07,4.092041550052272e-08
1843,1.5594244651140343e-07,4.1939067330076796e-08
1844,2.1844473874210735e-07,6.202074326333573e-08
1845,1.5345627524254724e-07,4.575786860527842e-08
1846,1.1006462585783083e-07,6.674131336481537e-08
1847,1.3644856178274267e-07,2.3730184040005042e-08
1848,1.142421472977162e-07,5.309846429213394e-08
1849,1.8183330996457414e-07,6.033178623354729e-08
1850,1.4121111391318664e-07,6.924775952654727e-08
1851,1.4511236656744586e-07,3.9341575330809064e-08
1852,1.1002822031258574e-07,2.669323606596663e-08
1853,1.6482531872696882e-07,2.9859659189668264e-08
1854,2.1458093879545004e-07,5.091751309471704e-08
1855,1.8362002052185744e-07,3.078023524949458e-08
1856,2.2158369317182292e-07,3.4169449492083004e-08
1857,1.430282097203417e-07,4.051652618963786e-08
1858,1.6981055317444316e-07,3.034079204544682e-08
1859,1.3290572109525556e-07,2.7497735644033128e-08
1860,1.1900677820975147e-07,4.577183876364188e-08
1861,1.339333706162904e-07,3.395494019287071e-08
1862,1.084316716415401e-07,3.207770415958322e-08
1863,1.1337789018739386e-07,6.09343760449299e-08
1864,1.3473186122325842e-07,5.561884286464647e-08
1865,1.548551722407865e-07,4.8480496284142305e-08
1866,1.5667273434161189e-07,4.233083095162016e-08
1867,1.4315793173125257e-07,4.610171089325377e-08
1868,1.1312311620770288e-07,4.00129813726835e-08
1869,1.4699393169337327e-07,2.8324411482927303e-08
1870,1.2500226187484031e-07,2.1789386295267832e-08
1871,7.116189082445601e-08,3.292564998425007e-08
1872,1.5360241345518943e-07,3.749350296899934e-08
1873,1.1612848815900634e-07,3.292302608315367e-08
1874,1.0216581802779956e-07,4.839433387360259e-08
1875,9.040012605154857e-08,3.718992641621455e-08
1876,8.94810172624716e-08,4.2926704635348756e-08
1877,1.0328642741086469e-07,5.690030668858981e-08
1878,8.031988274481705e-08,5.072834641239865e-08
1879,8.736334855541372e-08,3.176849183716968e-08
1880,1.0461089150481939e-07,4.1074214696124045e-08
1881,1.0598211730439289e-07,2.2312024727799695e-08
1882,1.1114492792785313e-07,3.793569547383413e-08
1883,9.984555759956493e-08,5.81379187014619e-08
1884,9.110341636642261e-08,3.102797485610154e-08
1885,7.476937735617639e-08,3.4806433513168145e-08
1886,1.0131938310564692e-07,3.4848706031986865e-08
1887,7.834709414566987e-08,4.0479331886444925e-08
1888,8.686642427591096e-08,3.1703073943845084e-08
1889,9.836264558416019e-08,3.947036120166558e-08
1890,7.209825048093421e-08,2.94947390955258e-08
1891,5.5455715575192244e-08,2.4859457936621254e-08
1892,6.581937705973928e-08,3.823792438240048e-08
1893,6.281584719047828e-08,2.2786141196107224e-08
1894,4.537108289071057e-08,2.520615627332745e-08
1895,9.088107866261907e-08,1.8055843042930064e-08
1896,5.307326222947495e-08,2.299841245223533e-08
1897,5.244042078356159e-08,2.0393498112447617e-08
1898,5.941272740450643e-08,3.2818457396111e-08
1899,6.68837021322588e-08,3.8693046988669266e-08
1900,7.99422177344411e-08,3.945200433008722e-08
1901,7.377135524677669e-08,2.6825947685438223e-08
1902,5.2540037431825226e-08,2.4060391012881155e-08
1903,5.184211548936446e-08,3.4561408623901e-08
1904,5.0521477668041825e-08,3.278521276683932e-08
1905,5.3671894484352833e-08,3.560923822476525e-08
1906,5.9158121512581374e-08,3.498045531014071e-08
1907,4.731415881309431e-08,2.8285639330771772e-08
1908,8.938727980023486e-08,3.7817695419661845e-08
1909,7.206288787919846e-08,3.190570296851547e-08
1910,7.802459744965518e-08,2.992724446038153e-08
1911,8.459395139936987e-08,1.8621309716415624e-08
1912,6.928530016381274e-08,3.229841050167437e-08
1913,4.878750403669585e-08,2.4924052377528483e-08
1914,6.294939147721834e-08,4.3528834314798814e-08
1915,6.008188790929125e-08,2.1205371680821372e-08
1916,4.285110066781783e-08,4.724608659856244e-08
1917,5.483212106582869e-08,2.9609345419956412e-08
1918,6.891825687915798e-08,4.020231614276781e-08
1919,6.905886174024545e-08,3.7752178938532666e-08
1920,8.026565900820515e-08,1.0601124422748853e-08
1921,5.982470696608289e-08,1.5145495135815423e-08
1922,5.5334515192129174e-08,1.475587074750706e-08
1923,7.218844855216844e-08,2.9724654737606215e-08
1924,6.83256118350073e-08,2.4494086758863887e-08
1925,9.128487654663786e-08,2.4195991654707427e-08
1926,6.910605776511147e-08,3.1209186346359274e-08
1927,6.243565797703354e-08,2.7873062080630007e-08
1928,4.4561560663680666e-08,2.2852082892654835e-08
1929,5.681607206931005e-08,2.2280811862174232e-08
1930,6.407198238633782e-08,2.10072066408884e-08
1931,6.501053562146808e-08,1.8248571542756054e-08
1932,6.794912743579573e-08,2.4110979990332737e-08
1933,3.785318547500083e-08,3.670611903316967e-08
1934,6.230421689679133e-08,1.9170528275935794e-08
1935,7.061287377041481e-08,2.6330225111337313e-08
1936,5.456121510150069e-08,8.487299751891442e-09
1937,6.04373666668323e-08,2.392312437038413e-08
1938,6.741911340313322e-08,1.2965214679638848e-08
1939,5.8117391787959605e-08,2.2941076593951948e-08
1940,6.339457225834622e-08,1.2678914806940611e-08
1941,7.67390702094417e-08,2.9515025090631752e-08
1942,6.978686917236132e-08,1.5171058853624686e-08
1943,6.096793847554238e-08,1.1612940831184915e-08
1944,9.31823986860536e-08,6.4263723231761105e-09
1945,5.8819609183302646e-08,2.178504043826024e-08
1946,9.187929084220059e-08,2.3665876369705074e-08
1947,6.675687580504075e-08,2.3841742802233057e-08
1948,5.43594378399348e-08,9.784699050996437e-09
1949,4.908504047662632e-08,1.2762110479513922e-08
1950,6.381216977047188e-08,1.808011518278363e-08
1951,7.56959539494062e-08,2.3455083209000804e-08
1952,6.959570697517847e-08,1.1599283977759e-08
1953,4.525007413214155e-08,1.831550577868768e-08
1954,5.4726201570431954e-08,1.3681550115052232e-08
