year,toutes_DET ondes_NOUN,toutes_DET rondes_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825400343878e-08
1802,0.0,3.3567602031325805e-08
1803,0.0,4.095712213825209e-08
1804,0.0,4.943701892301533e-09
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,1.581321384946932e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,1.504245972228091e-08
1812,0.0,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,2.697223555614414e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,0.0,3.5763530803478716e-08
1819,0.0,1.0351049795076506e-08
1820,0.0,2.254631326081835e-08
1821,0.0,5.9168927535324656e-09
1822,0.0,1.0025615893027862e-08
1823,4.941343334508019e-09,3.9530747564242574e-09
1824,0.0,6.315834610859383e-08
1825,0.0,3.6982861217893515e-08
1826,0.0,1.0569580766173203e-08
1827,0.0,1.013900075008678e-08
1828,0.0,3.668920500743411e-09
1829,0.0,1.3717081692732336e-08
1830,6.262101504006523e-09,2.2961039292113128e-08
1831,0.0,4.677361609140007e-09
1832,0.0,1.0823975493678972e-08
1833,0.0,1.7375443306377747e-08
1834,0.0,3.733812370398937e-09
1835,0.0,3.025235173481633e-09
1836,0.0,1.4113575197427508e-08
1837,0.0,1.0436836284100082e-08
1838,0.0,9.468243078458727e-09
1839,0.0,9.788065469251706e-09
1840,6.369688665408546e-10,8.917564464638872e-09
1841,0.0,5.1364388298225094e-09
1842,0.0,1.8783142152756227e-08
1843,0.0,1.4176587015413133e-08
1844,0.0,1.4819115712327857e-08
1845,0.0,1.2834524554250493e-08
1846,0.0,4.6836010625384006e-09
1847,0.0,1.6718992412734224e-08
1848,0.0,1.206783295515379e-08
1849,0.0,2.513824526317876e-08
1850,0.0,2.1724787302446202e-08
1851,0.0,1.483370937194195e-08
1852,0.0,5.859490670445666e-09
1853,0.0,1.4332636411040767e-08
