year,ces_DET âmes_NOUN,ces_DET ames_NOUN,ces_DET rames_NOUN
1800,3.7101140115680664e-07,1.568938090557026e-06,3.458580977167003e-08
1801,1.1905913233078991e-07,1.7025455889552177e-06,3.095537381980762e-08
1802,1.5664880947952042e-07,1.2285742627682339e-06,3.5805442166747525e-08
1803,3.296073405323341e-07,1.3184293035095607e-06,3.705644502360883e-08
1804,2.471850883978277e-07,2.0392770405663896e-06,5.9324424483975235e-08
1805,5.145608579226746e-07,1.1229366476683822e-06,3.4114532976303735e-08
1806,6.541388870573428e-07,9.855308356065962e-07,2.881669125542885e-09
1807,1.7651122163897526e-07,1.326681076108116e-06,0.0
1808,2.8552531361469846e-07,1.2440745766895134e-06,9.064295625194063e-08
1809,2.9593299011310137e-07,1.4864420947446888e-06,1.1069249339357157e-07
1810,5.054674012683336e-07,3.3487214796679154e-06,2.3401267146283544e-08
1811,4.0363936548715174e-07,1.0203802638386605e-06,7.52123057168319e-08
1812,6.801381147170105e-07,1.2455862261617767e-06,2.1337665856435706e-08
1813,4.572429226357144e-07,1.0151367981769965e-06,1.7254449868886468e-08
1814,4.940283009347013e-07,7.331757521100712e-07,3.1466771410748606e-09
1815,6.743058804659086e-07,8.873865549041682e-07,8.36139282256454e-08
1816,1.022063308653287e-06,1.3905623568177816e-06,2.7811246638975717e-08
1817,7.286167829079204e-07,1.2797499270300605e-06,9.341240669868967e-09
1818,8.511720750448148e-07,1.080058723124111e-06,5.722164964083731e-08
1819,1.3280396942150219e-06,7.049065207098693e-07,3.2088254720008536e-08
1820,1.097649523273958e-06,1.451270587260467e-06,1.0442503040053452e-07
1821,1.886502765557907e-06,1.4269573296310512e-06,6.903041915862218e-09
1822,1.3755145005234226e-06,1.2441788896921935e-06,4.411270992932259e-08
1823,9.151367770243723e-07,1.2669604831927472e-06,5.6331316500290995e-08
1824,9.776911724657111e-07,9.305329289333031e-07,3.536867332343263e-08
1825,1.1526324499300244e-06,1.0487282606774784e-06,2.7296874094417944e-08
1826,7.900762213353119e-07,9.33646352896389e-07,3.699353401387384e-08
1827,8.839364724622101e-07,9.770309272738587e-07,6.267745789045875e-08
1828,8.777892368527773e-07,8.768719936824709e-07,3.5771974715714805e-08
1829,7.00428504529782e-07,8.881810254490752e-07,4.200856285052623e-08
1830,1.031159399644821e-06,1.0781250865399272e-06,2.922314035203044e-08
1831,8.419251500413338e-07,1.1288032961687122e-06,1.7150327380477393e-08
1832,7.19794385872774e-07,8.956839931961724e-07,7.712082705779721e-08
1833,1.1143450642236985e-06,1.401619007523891e-06,7.297685833407286e-08
1834,1.1406796289747945e-06,1.426316289965257e-06,5.787409218527273e-08
1835,1.0875720306557923e-06,1.4959788146029496e-06,4.61348363955949e-08
1836,1.2225044585534306e-06,1.387162777088946e-06,3.629205114208389e-08
1837,1.1981488228229864e-06,8.140732576933374e-07,4.105155482214684e-08
1838,1.3987750477895133e-06,7.1769281717593e-07,4.986607882173644e-08
1839,1.1927456498028732e-06,6.418174480771199e-07,4.47454411300896e-08
1840,1.9599531597691566e-06,3.4969591666822453e-07,8.662776629364544e-08
1841,1.9768868995129196e-06,5.765652777434127e-07,6.356342918678592e-08
1842,2.123165984357911e-06,6.594224539746563e-07,4.360372329870188e-08
1843,2.3580388557320475e-06,3.939909634098626e-07,1.2404513194397282e-08
1844,2.3523973453620783e-06,3.5730534975186856e-07,1.0428266472573e-08
1845,2.8565185772322366e-06,2.444139841628612e-07,2.1762889268472918e-08
1846,2.3049171176126038e-06,3.9693519937600286e-07,3.3956108147492614e-08
1847,1.927538100687798e-06,1.839089316391096e-07,1.7258315665458213e-08
1848,1.6927146049283692e-06,5.382253354113686e-07,1.609044275596716e-08
1849,1.9490518852194327e-06,2.1367508118430578e-07,1.0893239199560867e-08
1850,1.7922949666626664e-06,2.532295457768896e-07,3.598167896967652e-08
1851,1.854858588501429e-06,1.5736631286955571e-07,1.483370937194195e-08
1852,2.3828596198427476e-06,2.936255869556703e-07,1.6927418577949993e-08
