year,quelques_DET aides_NOUN,quelques_DET raids_NOUN
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,4.264316544322355e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,3.200649700829672e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,9.440030979135372e-09,0.0
1815,5.1247248222807684e-08,0.0
1816,4.8669683394564345e-08,0.0
1817,7.784366928831332e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.9666995698663925e-08,0.0
1820,5.577246042776096e-08,0.0
1821,4.930744257336528e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,6.324919610278812e-08,0.0
1824,4.378978601948802e-08,0.0
1825,2.201360693732113e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,8.295545750325317e-09,0.0
1828,2.6599672964255916e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,3.6528926994350286e-08,0.0
1831,3.741889287312006e-08,0.0
1832,3.788391467196561e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,3.360431044541201e-08,0.0
1835,3.857174846189082e-08,0.0
1836,1.4113574975382903e-08,0.0
1837,1.3219992656132717e-08,0.0
1838,2.146135025249407e-08,0.0
1839,1.5381245721535208e-08,0.0
1840,5.477932418784803e-08,0.0
1841,3.2102741354123054e-08,0.0
1842,3.6895457355967665e-08,0.0
1843,3.36693943836508e-08,0.0
1844,2.5247381074677833e-08,0.0
1845,3.292334388449447e-08,0.0
1846,5.50323122627816e-08,0.0
1847,3.829188699455699e-08,0.0
1848,5.712107320476889e-08,0.0
1849,9.552532720391582e-08,0.0
1850,6.585326328689689e-08,0.0
1851,5.288539783876445e-08,0.0
1852,2.278690836021724e-08,0.0
1853,3.523439673358553e-08,0.0
1854,1.2469595134234623e-08,0.0
1855,3.767925349507095e-08,0.0
1856,2.329735071526784e-08,1.5531567143511893e-09
1857,7.810414592857029e-09,0.0
1858,3.083015964744362e-08,0.0
1859,5.855999418713509e-08,0.0
1860,2.883625893623787e-08,0.0
1861,3.0182168764270045e-08,0.0
1862,2.349352892783152e-08,0.0
1863,2.0477944673302773e-08,0.0
1864,2.8288895448369544e-08,0.0
1865,3.812543880599151e-08,0.0
1866,2.9193677975047905e-08,1.4596839292835284e-09
1867,3.7366650218473296e-08,9.7056229719783e-10
1868,3.013323124356759e-08,0.0
1869,3.076617005604021e-08,0.0
1870,3.039045948227681e-08,0.0
1871,2.4428708167434365e-08,0.0
1872,2.1165687758006868e-08,0.0
1873,1.9753814750611554e-08,0.0
1874,3.764003730921672e-08,0.0
1875,2.1741803024610817e-08,0.0
1876,1.0278225381910033e-08,0.0
1877,1.9172929910382663e-08,0.0
1878,3.744235144154118e-08,0.0
