year,puissions_VERB avoir_VERB
1800,2.7983062977909867e-07
1801,1.2858386355674156e-07
1802,1.1860552717735118e-07
1803,1.3457341196954076e-07
1804,1.4831105943358125e-07
1805,1.1087222873129576e-07
1806,2.564685530614952e-07
1807,1.5942949005420815e-07
1808,5.891792298484688e-08
1809,8.584316191218022e-08
1810,7.020380365929668e-08
1811,1.0279014617253779e-07
1812,1.4669645054254943e-07
1813,1.322841143291953e-07
1814,1.1642705288750221e-07
1815,9.710004889029733e-08
1816,2.201723674488676e-07
1817,1.8059731132780144e-07
1818,1.6689648418832803e-07
1819,1.2628281353954662e-07
1820,1.3409123766905395e-07
1821,2.711909417030256e-07
1822,2.7069162911175226e-07
1823,1.6701740435109969e-07
1824,2.4168593881768174e-07
1825,2.3070261079283227e-07
1826,1.3740455528932216e-07
1827,1.2074627875335864e-07
1828,1.751909479708047e-07
1829,1.423147182322282e-07
1830,1.9934356032536016e-07
1831,1.4967557149248023e-07
1832,1.312406965325863e-07
1833,1.3668682186107617e-07
1834,1.3161688627860713e-07
1835,1.9966552144978778e-07
1836,2.822715146066912e-07
1837,1.3289572109442815e-07
1838,1.8747121544038237e-07
1839,2.4190504177568073e-07
1840,1.745294753163762e-07
1841,2.0802576727874111e-07
1842,1.8447728677983832e-07
1843,2.002442869297738e-07
1844,1.663034083776438e-07
1845,1.5903650307791395e-07
1846,1.5807152919933287e-07
1847,1.6718993833819695e-07
1848,1.3515972341338056e-07
1849,1.9356448888174782e-07
1850,1.5682580567499826e-07
1851,1.360831589636291e-07
1852,1.282577386518824e-07
1853,1.6960287041456468e-07
1854,1.912004563564551e-07
1855,1.5920811335945473e-07
1856,1.325360443615864e-07
1857,1.6108980105400406e-07
1858,1.6295940952204546e-07
1859,1.3443337820717716e-07
1860,1.3411148813702312e-07
1861,1.7260427398468892e-07
1862,1.441237600374734e-07
1863,1.3435530377137184e-07
1864,1.8555597591785045e-07
1865,1.6332749908087862e-07
1866,1.917051548616655e-07
1867,1.2229085655235394e-07
1868,1.7635350957334595e-07
1869,1.2306468022416084e-07
1870,1.4507143930586608e-07
1871,1.625040084718421e-07
1872,1.6811603131827724e-07
1873,1.364809065762529e-07
1874,1.5115760731987393e-07
1875,1.430381786349244e-07
1876,1.590101845749814e-07
1877,1.1751150452710135e-07
1878,1.0870359545833708e-07
1879,2.1138265537956613e-07
1880,1.6108793943203636e-07
1881,1.1713812853031413e-07
1882,9.184431348785438e-08
1883,1.8642049326444976e-07
1884,1.0892799906514483e-07
1885,1.4244854185108125e-07
1886,1.342320530284269e-07
1887,1.233966742120174e-07
1888,1.1286294210322012e-07
1889,1.0776034997661554e-07
1890,1.5075089265792485e-07
1891,1.3003409549128264e-07
1892,1.341461626225282e-07
1893,1.1947328459882556e-07
1894,1.4178463914049644e-07
1895,1.4685419102988817e-07
1896,1.0201860334291268e-07
1897,1.0021947360883132e-07
1898,1.4202470310920035e-07
1899,1.475863484756701e-07
1900,1.2873812238467508e-07
1901,1.3412973487447744e-07
1902,1.266853217885e-07
1903,1.2798521709100896e-07
1904,1.289910045443321e-07
1905,1.4914593293724465e-07
1906,1.3529205489248852e-07
1907,9.462831940254546e-08
1908,1.119796735338241e-07
1909,1.402750768875194e-07
1910,1.2131222604239156e-07
1911,1.447141784183259e-07
1912,1.2919365133257088e-07
1913,1.2727174691917753e-07
1914,1.171930179566516e-07
1915,2.1440986586185318e-07
1916,1.8129311740722187e-07
1917,1.3927359532317496e-07
1918,1.3553923849940475e-07
1919,1.5469184688754467e-07
1920,1.2797072201919946e-07
1921,1.0450391130234493e-07
1922,1.2911387159419974e-07
1923,1.242065934548009e-07
1924,1.7790441120268952e-07
1925,1.0228305313830788e-07
1926,1.0811753980988215e-07
1927,1.0703256236865855e-07
1928,1.2225864054471458e-07
1929,1.1029002422446865e-07
1930,1.3654684494213143e-07
1931,1.1519410492155657e-07
1932,1.3151444022696523e-07
1933,1.0323596200123575e-07
1934,1.1502316965561477e-07
1935,9.215578700150218e-08
1936,9.093535879856063e-08
1937,9.695160940736969e-08
1938,8.557041297763135e-08
1939,1.269406197934586e-07
1940,7.60734906180005e-08
1941,1.0920559390115159e-07
1942,1.061974117533282e-07
1943,1.1903264152124393e-07
1944,1.1567470181716999e-07
1945,1.5903079031431844e-07
1946,1.1972149138728128e-07
1947,1.1920870690573793e-07
1948,1.2285232742215157e-07
1949,1.3743812132815947e-07
1950,1.1698897850465073e-07
1951,1.1087858098335346e-07
1952,1.1388388543309702e-07
1953,1.045061281956805e-07
1954,9.6748109967848e-08
1955,1.2013578043479356e-07
1956,1.0465370081647052e-07
1957,9.276789825207743e-08
1958,9.099467490614188e-08
1959,8.990867428337879e-08
1960,1.0104416503509128e-07
1961,1.1881352435239023e-07
1962,8.054284705849568e-08
1963,9.505098574891235e-08
1964,1.216793634739588e-07
1965,1.1381850129055238e-07
1966,9.194864247774603e-08
1967,1.1635592045422527e-07
1968,1.0959054463910434e-07
1969,1.0355207535894806e-07
1970,1.1220888751495295e-07
1971,9.043579751732977e-08
1972,8.926455308255754e-08
1973,7.387693301552645e-08
1974,8.550868813017587e-08
1975,9.309712822869187e-08
1976,9.02737227193029e-08
1977,8.109959281910051e-08
1978,9.980193738101661e-08
1979,7.666085366508923e-08
1980,1.1029192137357313e-07
1981,8.412980889715982e-08
1982,9.621628294098628e-08
1983,7.452072736668924e-08
1984,1.0380225035078183e-07
1985,6.857736423171445e-08
1986,7.792831269171074e-08
1987,9.105117015906217e-08
1988,8.754968661150997e-08
1989,1.0537194583548626e-07
