year,puisses_VERB avoir_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,0.0
1807,8.540865792383556e-09
1808,0.0
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,1.1921177378582115e-09
1819,0.0
1820,0.0
1821,1.7750679148775816e-08
1822,4.010246357211145e-09
1823,1.3835761869529506e-08
1824,1.6842225392110777e-09
1825,7.044354433105582e-09
1826,5.284790383086602e-09
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,1.714635211591542e-09
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,3.4750886612755494e-09
1834,9.334530925997342e-10
1835,4.5378527602224494e-09
1836,1.008112526790228e-08
1837,2.7831563720326358e-09
1838,5.680945491803868e-09
1839,6.9914751765765e-10
1840,2.5478754661634184e-09
1841,6.420548537278137e-10
1842,8.049918065466954e-09
1843,3.5441467538532834e-09
1844,2.7442805805577564e-09
1845,8.37034175305007e-09
1846,3.5127007969038004e-09
1847,2.1572894581822766e-09
1848,0.0
1849,4.1897072478036534e-09
1850,5.431196825611551e-09
1851,5.159551008659946e-09
1852,6.510545436100301e-10
1853,1.7915795513800958e-09
1854,1.1430461910322265e-08
1855,5.306937111981824e-10
1856,3.1063134287023786e-09
1857,6.345961978126979e-09
1858,1.9574704079872163e-09
1859,5.092173349652285e-10
1860,4.119465657481669e-09
1861,2.6409397335669382e-08
1862,7.228778020618165e-09
1863,2.9967726078439227e-09
1864,3.835782358407869e-09
1865,3.765475486972036e-09
1866,1.556996132023869e-08
1867,3.396968040192405e-09
1868,1.975949626142892e-09
1869,4.883519366671862e-09
1870,5.734048791339319e-10
1871,2.1242354542039266e-09
1872,1.2094678591978436e-09
1873,5.986004469882289e-10
1874,5.974609251779839e-09
1875,1.94531928343622e-08
1876,4.836811839936672e-09
1877,0.0
1878,2.4156354694326865e-09
1879,1.4662380642960215e-08
1880,7.701415505323439e-09
1881,6.972507571312292e-10
1882,2.3959387362992857e-08
1883,3.159669414998234e-09
1884,1.2543224237049344e-08
1885,0.0
1886,1.936039106809062e-09
1887,6.528924512139156e-09
1888,7.60873763994141e-09
1889,5.012109394186837e-09
1890,1.3108772956016423e-09
1891,0.0
1892,1.8805537127519756e-09
1893,1.2932674486876294e-08
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,5.307326134129653e-09
1897,1.1653427112179315e-09
1898,3.960848538042683e-09
1899,8.291367592505594e-09
1900,6.748368974740515e-09
1901,2.235495566438317e-09
1902,4.910283735171106e-09
1903,3.2401321625741275e-09
1904,7.524475265086039e-09
1905,0.0
1906,2.0576738091193647e-09
1907,2.5714217422034835e-09
1908,2.9468334439286537e-09
1909,6.60118004702781e-09
1910,2.137660271017694e-09
1911,4.788336838146279e-09
1912,5.730363294986773e-09
1913,1.4318072061314524e-08
1914,5.357394972094198e-09
1915,4.712304768617059e-09
1916,6.592477230782379e-09
1917,7.676496771580332e-09
1918,0.0
1919,8.287063479883727e-09
1920,5.300562211374427e-09
1921,7.572747429129834e-10
1922,5.902348387820666e-09
1923,6.369568872344189e-09
1924,2.5783249313349188e-08
1925,1.0998178368026856e-08
1926,7.802296586589819e-09
1927,0.0
1928,1.1426041224282812e-09
1929,2.2280812750352652e-09
1930,1.0503603542488804e-09
1931,1.9389105432310316e-08
1932,0.0
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,2.424942913137329e-09
1937,1.2591118148108649e-09
1938,9.075650453382877e-09
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,1.1136883415474585e-08
1947,2.3841741914054637e-09
1948,4.348755133776194e-09
1949,1.0798709482173763e-08
1950,1.0635361036293034e-08
1951,1.0661401539380222e-08
1952,7.381362632230548e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,1.8771215692936494e-09
1956,9.593255967388359e-09
1957,5.301022731885041e-09
1958,3.3088973783179654e-09
1959,4.650448914844674e-09
1960,1.1073333361366622e-08
1961,5.55852741612739e-09
1962,9.512934440181198e-09
1963,7.759263453976928e-09
1964,1.2167936880302932e-08
1965,4.924839203113152e-09
1966,3.8773522170743036e-09
1967,2.9582012395223956e-09
1968,2.6948494546985557e-09
1969,5.450109252791435e-09
1970,4.1388523719376735e-09
1971,4.624557625731995e-09
1972,4.104117490300041e-09
1973,5.513203671370093e-09
1974,4.500457340128605e-09
1975,6.282628195464213e-09
1976,1.7140580066410394e-09
1977,4.11374712072643e-09
1978,1.1881182704343018e-09
1979,2.925986564150662e-09
1980,3.411090521154847e-09
1981,2.5302198114474095e-09
1982,2.483000915987077e-09
1983,3.157658134966823e-09
1984,3.479405208395292e-09
1985,3.0077789148208467e-09
1986,4.7955883708539204e-09
1987,5.49973533381376e-09
1988,3.597932174415064e-09
1989,3.2928733073589456e-09
1990,4.358920779878872e-09
1991,2.344586080837985e-09
