year,plus_ADV apporté_VERB,plus_ADV rapporté_VERB
1800,2.2009151834367913e-08,2.829747991484055e-08
1801,0.0,5.2386017301842e-08
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,5.851017448321727e-09,4.4857802805609026e-08
1804,7.4155526164076946e-09,9.887403784603066e-09
1805,0.0,0.0
1806,1.729001475325731e-08,2.881669125542885e-08
1807,1.4234775136401367e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,2.25903047379461e-08
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,8.00162425207418e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,0.0,1.6183340889597275e-08
1816,6.952811659743929e-09,1.8540831092650478e-08
1817,1.8682481339737933e-08,1.556873407970727e-09
1818,4.768470951432846e-09,3.5763532135746345e-09
1819,2.173720581311045e-08,9.315945348475907e-09
1820,2.610625848831205e-08,2.3732962262101864e-09
1821,8.875339574387908e-09,0.0
1822,2.0051231786055723e-09,2.0051231786055723e-09
1823,4.941343334508019e-09,2.075364236020505e-08
1824,3.705289586264371e-08,1.6000115010683658e-08
1825,1.8491430608946757e-08,8.805443485471187e-09
1826,1.4092774947016551e-08,9.688783109140786e-09
1827,1.8434546111834038e-09,1.6591091167583727e-08
1828,1.4675682002973645e-08,2.5682442839070063e-08
1829,9.430493719264632e-09,2.6576845613135447e-08
1830,1.7742621594152297e-08,3.026682549034376e-08
1831,2.494592976631793e-08,1.2472964883158966e-08
1832,4.058990654698391e-08,2.705993829010822e-08
1833,3.4750886612755494e-09,1.2741991461950875e-08
1834,4.387229424196448e-08,6.534171426153534e-09
1835,4.5378527602224494e-08,1.5882484660778573e-08
1836,2.5538851033957144e-08,2.083432448785061e-08
1837,1.87863058442872e-08,7.653680356156656e-09
1838,2.0830134062066463e-08,8.837027110075724e-09
1839,2.4470162784950844e-08,5.5931801412612e-09
1840,2.4204817705708592e-08,2.4841785517537573e-08
1841,1.3483152372373297e-08,1.4767261191650505e-08
1842,3.152884531232303e-08,1.0733224087289273e-08
1843,1.1223130869097986e-08,1.9492807368237663e-08
1844,1.2623690537338916e-08,1.0428266250528395e-08
1845,2.7343116215661212e-08,1.0044410636567136e-08
1846,2.2247105491146613e-08,1.9319854160926297e-08
1847,1.294373674909366e-08,2.1572894581822766e-08
1848,8.04522137798358e-09,1.528592186161859e-08
1849,1.8434713311421547e-08,1.9272654583346593e-08
1850,5.7706465383944305e-08,2.0366988096043315e-09
1851,1.1608989325395669e-08,6.449438760824933e-09
1852,1.1067927019325907e-08,1.2370036550635177e-08
1853,1.911018188138769e-08,1.4332636411040767e-08
1854,1.4028294081924741e-08,1.4028294081924741e-08
1855,5.306937111981824e-09,6.368324534378189e-09
1856,2.329735160344626e-08,1.0872097000458325e-08
1857,7.322263684272912e-09,1.7085282522089074e-08
1858,8.31924928945682e-09,9.787352261980686e-09
1859,1.9350258284589472e-08,1.018434669930457e-08
1860,3.7990627532735743e-08,2.1055045706930287e-08
1861,1.4147890858851042e-08,7.073945429425521e-09
1862,1.671654992208005e-08,1.626475132354699e-08
1863,1.3485475847119233e-08,5.9935452156878455e-09
1864,2.0617330065419992e-08,4.315255264231155e-09
1865,2.7770381549885315e-08,1.553258677233771e-08
1866,1.6543083347642096e-08,1.216403244796993e-08
1867,4.513114504334226e-08,2.135237053835226e-08
1868,2.1735445443482604e-08,9.87974857480367e-09
1869,3.906815315701806e-09,7.813630631403612e-09
1870,1.834895613228582e-08,9.747882501187632e-09
1871,1.911811864374613e-08,1.1683295220166201e-08
1872,2.6003558417642125e-08,1.0280476914203973e-08
1873,3.052862140862089e-08,4.788803575905831e-09
1874,4.182226476245887e-08,7.169530746864439e-09
1875,3.2612703648737806e-08,8.010138330405425e-09
1876,1.5719638923883394e-08,2.418405919968336e-09
1877,8.658742167710898e-09,1.4843558382438005e-08
1878,1.9928991790152395e-08,5.435179861734696e-09
1879,1.649517855639715e-08,6.109325489944695e-09
1880,1.7328185109022343e-08,1.7328185109022343e-08
1881,2.649552932609822e-08,2.091752326904839e-09
1882,1.2645231528551903e-08,1.5307385581309063e-08
1883,1.0110942305630033e-08,7.58320695126713e-09
1884,1.9805090900604227e-08,1.1883054540362536e-08
1885,2.6427105837001363e-08,3.86738152613475e-09
1886,2.452316216761119e-08,5.808117542471791e-09
1887,2.0239665943222462e-08,1.4363633837888301e-08
1888,1.521747527988282e-08,9.510921827882157e-09
1889,2.8819629349641218e-08,3.759081934617825e-09
1890,2.6217545467943637e-08,1.3764211992395303e-08
1891,1.0836173736095134e-08,1.4023283867459213e-08
1892,1.2537024751679837e-08,1.8805537127519756e-09
1893,1.4164357686752282e-08,9.23762488724833e-09
1894,2.520615716150587e-08,8.822155450616265e-09
1895,1.1435367319734269e-08,2.5880042997528108e-08
1896,3.2433661090180976e-08,1.0614652268259306e-08
1897,1.2818770045441852e-08,3.4960281336537946e-09
1898,2.0370077180587032e-08,1.9804241802034994e-08
1899,1.2160672469008205e-08,8.291367592505594e-09
1900,1.6092265298084385e-08,7.26747462209687e-09
1901,1.7325090695408107e-08,1.5089595351014395e-08
1902,2.4060391012881155e-08,1.5712908307818907e-08
1903,1.9980815224585058e-08,8.640352433531007e-09
1904,1.1824175416563776e-08,9.13686282189019e-09
