year,voulons_VERB assurer_VERB,voulons_VERB rassurer_VERB
1800,3.144164484325529e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,2.5034472272977837e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,9.493184904840746e-09,0.0
1821,1.1833785507064931e-08,0.0
1822,4.010246357211145e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,0.0,0.0
1826,8.80798456392995e-09,0.0
1827,7.373818444733615e-09,0.0
1828,1.6510142586412258e-08,0.0
1829,0.0,0.0
1830,1.2524203008013046e-08,0.0
1831,1.091384405071949e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,2.0850531967653296e-08,0.0
1834,3.267085801894609e-08,0.0
1835,9.832014313815307e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,1.1132625488130543e-08,0.0
1838,1.199310784016916e-08,0.0
1839,6.292327547896548e-09,6.9914751765765e-10
1840,3.248541347034006e-08,0.0
1841,5.778493683550323e-09,0.0
1842,1.475818312002275e-08,0.0
1843,1.594865928211675e-08,0.0
1844,1.811225303072206e-08,0.0
1845,1.897277535078956e-08,0.0
1846,1.4050803187615202e-08,5.854501328173001e-10
1847,3.613459753637471e-08,1.0786447290911383e-09
1848,3.942158599556933e-08,0.0
1849,5.865590324560799e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,3.224719336003545e-08,0.0
1852,9.114764054629632e-09,0.0
1853,1.0152284346531815e-08,5.971931837933653e-10
1854,6.754363734984281e-09,0.0
1855,6.8990182455763716e-09,0.0
1856,2.3815070804289462e-08,0.0
1857,5.369659827891837e-09,0.0
1858,1.565976326389773e-08,0.0
1859,1.9350258284589472e-08,0.0
1860,1.4189270203246451e-08,0.0
1861,2.8295783494058924e-09,0.0
1862,1.400575744270327e-08,4.517986262886353e-10
1863,8.990317823531768e-09,0.0
1864,1.8699438442126848e-08,0.0
1865,1.1767110841276462e-08,0.0
1866,8.75810357570117e-09,0.0
1867,1.3102591012170706e-08,0.0
1868,1.1855697756857353e-08,0.0
1869,1.0743741896135361e-08,0.0
1870,3.1537268796455464e-08,0.0
1871,5.2043770182308435e-08,0.0
1872,1.3908880269752899e-08,0.0
1873,1.5563610844537834e-08,5.986004469882289e-10
1874,1.9716210886144836e-08,0.0
1875,1.7736734747586524e-08,0.0
1876,3.143927784776679e-08,0.0
1877,1.7317484335421796e-08,0.0
1878,1.872117572077059e-08,0.0
1879,1.221865097988939e-08,0.0
1880,2.5029599726167362e-08,0.0
1881,1.324776466304911e-08,6.972507571312292e-10
1882,1.5307385581309063e-08,0.0
1883,2.464542170343975e-08,0.0
1884,2.178559910248623e-08,0.0
1885,1.9981470700258797e-08,6.445635691854079e-10
1886,1.936039240035825e-08,1.2906927748801422e-09
1887,1.9586773092328258e-08,0.0
1888,2.599652049184442e-08,6.340614699951175e-10
1889,1.3783300722991498e-08,0.0
1890,1.2453334363726754e-08,0.0
1891,1.0836173736095134e-08,6.374220040683554e-10
1892,1.0656471260972467e-08,1.2537024751679837e-09
1893,4.495644034818724e-08,0.0
1894,2.079507943619774e-08,3.780923574225881e-09
1895,2.046328972937772e-08,0.0
1896,5.248355705589347e-08,0.0
1897,2.855089675790623e-08,0.0
1898,2.7160103499568322e-08,1.6975064687230201e-09
1899,3.2612710754165164e-08,0.0
1900,2.9589003247565415e-08,0.0
1901,2.179608138419553e-08,0.0
1902,1.276673788908056e-08,0.0
1903,2.9161189019077938e-08,5.400220270956879e-10
1904,3.278521276683932e-08,0.0
1905,4.954328858275403e-08,0.0
1906,1.9033482345776065e-08,0.0
1907,2.6228502036929058e-08,0.0
1908,3.732655784460803e-08,0.0
1909,2.640472018811124e-08,0.0
1910,2.8858414324872683e-08,0.0
1911,1.9685383989553884e-08,0.0
1912,2.0837685354990754e-08,5.209421227725386e-10
1913,3.7651226136858895e-08,0.0
1914,4.68772043404897e-08,0.0
1915,5.183535378705528e-08,0.0
1916,5.383856560570166e-08,0.0
1917,6.031533672512523e-08,0.0
1918,6.891825421462272e-08,0.0
1919,2.6702760891339494e-08,0.0
1920,5.073395215049459e-08,0.0
1921,4.0892835784234194e-08,0.0
1922,2.5822775029382683e-08,7.377935484775833e-10
1923,3.927900849021171e-08,0.0
1924,4.512068585427187e-08,0.0
1925,1.9796720707176974e-08,0.0
1926,2.5636119005412183e-08,0.0
1927,3.3447673075670536e-08,0.0
1928,2.742249805010033e-08,0.0
1929,3.119313873867213e-08,0.0
1930,2.10072066408884e-08,0.0
1931,5.018356930008849e-08,1.1405356659111021e-09
1932,3.507051715700982e-08,0.0
1933,3.326492148403304e-08,1.1470662197865522e-09
1934,1.5576054224197833e-08,1.1981580172459871e-09
1935,2.5133395809007197e-08,0.0
1936,2.0612015205756506e-08,0.0
1937,3.777335422228134e-08,2.5182236296217297e-09
1938,2.852347158466273e-08,0.0
1939,3.058810094103137e-08,0.0
1940,2.7893612752905028e-08,0.0
1941,2.066051862925633e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,3.774205836748479e-08,0.0
1944,3.534504600111177e-08,3.2131861615880553e-09
1945,3.267756198965799e-08,6.535512131478072e-09
1946,5.0115975369635635e-08,0.0
1947,5.245183132274178e-08,0.0
1948,3.4790041070209554e-08,0.0
1949,5.5956945743673714e-08,0.0
1950,7.338399399259288e-08,0.0
1951,3.0918066329377325e-08,0.0
1952,3.057992969957013e-08,0.0
1953,3.663101466599983e-08,0.0
1954,3.420387528763058e-08,0.0
1955,2.7218263198847126e-08,0.0
1956,3.1396108823855684e-08,3.488456634670456e-09
1957,2.8272120644601273e-08,8.835037701437898e-10
1958,3.3088973339090444e-08,8.272243445794913e-10
1959,2.4802393028267034e-08,0.0
1960,1.7302083321624195e-08,1.3841666701708277e-09
1961,1.80652133252579e-08,6.948159270159238e-10
1962,2.4099433559854333e-08,1.2683912808952869e-09
1963,1.8104948651398445e-08,0.0
1964,2.7377858202726202e-08,0.0
1965,2.134096988015699e-08,1.6416130677043839e-09
1966,1.6617224929404983e-08,5.539074754423723e-10
1967,2.218651040664099e-08,9.860671168482327e-10
1968,1.8414805680322388e-08,0.0
1969,2.7704722072030563e-08,0.0
1970,3.678979965116014e-08,1.8394900047624674e-09
1971,2.2608949379332444e-08,0.0
