year,diverses_ADJ humeurs_NOUN,diverses_ADJ rumeurs_NOUN
1800,1.540640539587912e-07,0.0
1801,1.04772034603684e-07,0.0
1802,8.951360541686881e-08,0.0
1803,2.281896911426884e-07,0.0
1804,2.2988213288499537e-07,0.0
1805,1.904728037516179e-07,0.0
1806,1.4696512096179504e-07,0.0
1807,1.0249038240317532e-07,0.0
1808,1.4729481279118772e-07,0.0
1809,4.292158095609011e-08,0.0
1810,1.2168659679900884e-07,0.0
1811,1.2033968488367464e-07,0.0
1812,1.4936365744233626e-07,0.0
1813,1.3803560250380542e-07,2.8757416448144113e-09
1814,5.349351095418342e-08,0.0
1815,2.751168146630789e-07,0.0
1816,1.969963250303408e-07,2.3176038865813098e-09
1817,1.3544799060127843e-07,0.0
1818,2.8253191430849256e-07,0.0
1819,9.212434726180163e-08,0.0
1820,2.942887231682789e-07,0.0
1821,1.291855014073917e-07,9.86148829262845e-10
1822,1.6341753905635414e-07,0.0
1823,1.0673301886754416e-07,0.0
1824,1.4484314192486636e-07,0.0
1825,6.251864448358901e-08,0.0
1826,4.051672775062798e-08,0.0
1827,4.424290978022327e-08,1.8434546111834038e-09
1828,3.5771975603893225e-08,0.0
1829,5.572564276690173e-08,9.430493719264632e-09
1830,7.097048637660919e-08,1.0436835840010872e-09
1831,9.822460089736751e-08,1.5591206103948707e-09
1832,5.141388470519814e-08,0.0
1833,5.21263281427764e-08,2.3167257001688313e-09
1834,7.747660646373333e-08,2.8003592777992026e-09
1835,6.277362984974388e-08,3.781543966852041e-09
1836,7.997692924588407e-08,2.016224964762614e-09
1837,1.0923888438263418e-07,4.87052354003481e-09
1838,7.385229139345029e-08,0.0
1839,3.985140750728533e-08,4.194885327990505e-09
1840,2.6115722917552375e-08,4.458782232319436e-09
1841,6.035315447405765e-08,1.2841097074556274e-09
1842,6.439934452373564e-08,3.3541325272778977e-09
1843,5.2571508035725856e-08,4.7255288571079745e-09
1844,7.354672248993666e-08,7.1351298203126134e-09
1845,1.785672942844485e-08,1.1160455892778032e-09
1846,2.1661655580373917e-08,2.9272506640865004e-09
1847,4.368511241636952e-08,5.9325460100012606e-09
1848,5.068489628001771e-08,3.218088684420195e-09
1849,5.0276488972045286e-08,5.865590457787562e-09
1850,5.159636984330973e-08,1.3577992064028876e-09
1851,4.385618268543112e-08,6.449438760824933e-10
1852,3.320378283433456e-08,6.510545436100301e-10
1853,1.7199164403791656e-07,4.180352064508952e-09
1854,5.351534326791807e-08,2.0782658372020535e-09
1855,6.580601663586094e-08,1.0613874223963649e-09
1856,6.833889898416601e-08,5.177189343896771e-09
1857,6.199516727756205e-08,6.3459617560823744e-09
1858,5.5787907626836386e-08,4.404308417971237e-09
1859,3.768208145515928e-08,9.675129364339341e-09
1860,4.4856403369486486e-08,1.0527523297554353e-08
1861,2.0750240192768388e-08,4.715963619617014e-09
1862,3.930648162508987e-08,4.0661876643532935e-09
1863,3.446288232566985e-08,1.9978483312144135e-09
1864,4.8426752385921645e-08,8.151037178549814e-09
1865,5.130460323243824e-08,9.413688939474696e-09
1866,4.865612979187972e-08,9.24466486695863e-09
1867,7.085104414272791e-08,5.82337378318698e-09
1868,4.841076517436704e-08,8.89177353968762e-09
1869,4.2974967584541446e-08,4.883519366671862e-09
1870,5.734048613703635e-08,5.160643912205387e-09
1871,4.6733180880664804e-08,2.1242354542039266e-09
1872,5.442605299776915e-08,1.6327816432237796e-08
1873,3.6514627765882324e-08,2.3944017879529156e-09
1874,9.559374802847742e-08,6.572069999322139e-09
1875,1.94531928343622e-08,5.721527140956084e-10
1876,4.292670396921494e-08,6.04601479992084e-10
1877,3.587193120324628e-08,3.710889595609501e-09
1878,3.0799352401800206e-08,7.2469061862534545e-09
1879,4.826366861720999e-08,1.832797580370027e-09
1880,3.914886193001621e-08,3.8507077526617195e-09
1881,3.2073533162702006e-08,5.578006168072136e-09
1882,2.6621540527571597e-08,0.0
1883,2.9700892412165558e-08,1.3270611276539057e-08
1884,2.2445769687351458e-08,3.300848483434038e-09
1885,3.867381437316908e-08,1.0313017106966527e-08
1886,4.001147502208369e-08,9.034849313138693e-09
1887,1.9586773092328258e-08,1.9586774424595887e-09
1888,3.550744054336974e-08,4.4384300679212174e-09
1889,2.4434033463194282e-08,8.14467782106476e-09
1890,1.3764211992395303e-08,3.9326319978272295e-09
1891,2.1672347472190268e-08,3.1871101313640793e-09
1892,2.6954603882245465e-08,6.268512375839919e-10
1893,3.202376674948937e-08,9.853466487186324e-09
1894,3.4028310835765296e-08,1.8904617871129403e-09
1895,2.347259631108045e-08,1.2037228991346183e-09
1896,4.717623269812066e-08,4.717623180994224e-09
1897,4.3700350005337896e-08,5.826713556089658e-10
1898,3.7910979244770715e-08,7.3558613644664206e-09
1899,3.205995469102163e-08,1.1055156790007459e-09
1900,2.3359739032002835e-08,5.191053142894475e-10
1901,1.956058603980182e-08,3.912117296778206e-09
1902,1.915010727771005e-08,2.9461704187383475e-09
1903,1.3500550899436803e-08,5.400220270956879e-09
1904,1.8811189050893518e-08,4.299700151477737e-09
1905,1.4450125540577119e-08,5.160758931310738e-09
1906,3.0865106026567446e-08,5.144184633820714e-09
1907,1.2342823652033985e-08,8.228549397415463e-09
1908,1.3751889405000384e-08,9.331638795018193e-09
1909,2.4204327431220918e-08,1.6502950117569526e-09
1910,2.672075360976578e-08,1.068830135508847e-09
1911,2.234557128222292e-08,3.7242617878519013e-09
1912,1.9274857876450113e-08,1.1460726589973547e-08
1913,4.2423916823963737e-08,5.833288574397244e-09
1914,1.808120764223986e-08,8.036092236096692e-09
1915,8.246533234057551e-09,0.0
1916,9.888715624128963e-09,7.69122365795738e-09
1917,1.315970976634162e-08,2.1932848870420685e-09
