year,mes_DET ans_NOUN,mes_DET rangs_NOUN
1800,1.2262241444460642e-07,3.458580977167003e-08
1801,2.809795489611133e-07,0.0
1802,9.622712582313397e-08,2.2378401354217203e-09
1803,1.1897068930011301e-07,1.950339223455444e-09
1804,2.0269178335752258e-07,0.0
1805,1.336152555264647e-07,0.0
1806,1.3832011802605848e-07,0.0
1807,1.0533733885154106e-07,0.0
1808,1.3143229082857033e-07,6.798221985349073e-09
1809,1.1746958961111886e-07,2.259030518203531e-09
1810,2.1763179169909108e-07,7.020380277111826e-09
1811,8.524061279047146e-08,7.521229861140455e-09
1812,1.1468995486652034e-07,0.0
1813,2.875741715868685e-07,2.5881675469463516e-08
1814,1.3530711440168375e-07,3.1466771410748606e-09
1815,7.282503844407984e-08,1.3486118000116676e-08
1816,1.0197456923322079e-07,2.3176038865813098e-09
1817,2.459860013459547e-07,4.670620334934483e-09
1818,1.1563542257064796e-07,9.536941902865692e-09
1819,2.111614219035829e-07,1.035105001712111e-09
1820,2.4563615674821904e-07,2.0173018810965004e-08
1821,1.4397773084873222e-07,4.930744257336528e-09
1822,1.87479017199621e-07,1.804610860745015e-08
1823,2.1445430964384116e-07,3.9530747564242574e-09
1824,3.065284950309888e-07,8.421112696055388e-10
1825,1.717061417494392e-07,3.522177216552791e-09
1826,9.336463135944939e-08,3.5231937367541377e-09
1827,9.032927539287527e-08,1.474763688946723e-08
1828,1.2290883910637262e-07,1.2841221419535032e-08
1829,8.74463982336593e-08,7.715858174606183e-09
1830,1.544651753171422e-07,5.218417697960831e-09
1831,1.4811645598911127e-07,1.4032085715598441e-08
1832,1.434176764014694e-07,6.764984572527055e-09
1833,1.1699465085612815e-07,3.4750886612755494e-09
1834,1.0734710209625575e-07,1.120143711119681e-08
1835,9.302598158456021e-08,1.1344631900556124e-08
1836,9.879502327336809e-08,1.4785650037651976e-08
1837,6.888311654407175e-08,1.7394727436226276e-08
1838,8.268932338850732e-08,5.049729523420865e-09
1839,6.711816002979987e-08,4.194885327990505e-09
1840,5.0320539179971036e-08,9.554533164646273e-09
1841,8.346712876416973e-08,2.5682194149112547e-09
1842,7.91575285319368e-08,7.379091560011375e-09
1843,7.324569972766426e-08,1.1813822142769936e-09
1844,6.421616838281352e-08,4.9397050894128824e-09
1845,7.031086912689943e-08,5.580227946389016e-10
1846,4.6836011513562426e-08,9.367202125076801e-09
1847,4.853901458545806e-08,5.3932236454556914e-09
1848,4.98803736093123e-08,4.02261068899179e-09
1849,1.5250535856381475e-07,2.0948537127196687e-08
1850,9.708264059327121e-08,7.467895635215882e-09
1851,4.4501126561513615e-08,7.094382858952031e-09
1852,5.664174484998341e-08,5.208436348880241e-09
1853,5.613615816635331e-08,2.9859659189668264e-09
1854,6.182840839308312e-08,9.352196350675968e-09
1855,8.278821894691646e-08,0.0
1856,7.558696424325717e-08,1.0354378465748937e-09
1857,9.616573248827365e-08,5.369659827891837e-09
1858,7.683071689967846e-08,3.9149408159744326e-09
1859,9.573285764119532e-08,5.092173349652285e-09
1860,6.224969983925632e-08,5.950338888283113e-09
1861,8.866011791397455e-08,4.715963619617014e-09
1862,8.764893544288554e-08,8.132375661773494e-09
1863,6.84263046224487e-08,2.9967726078439227e-09
1864,6.13725177345259e-08,0.0
1865,5.2245974213604995e-08,1.4591217123438582e-08
1866,7.347075592356589e-08,9.731225825149181e-10
1867,4.124889763090778e-08,2.91168689159349e-09
1868,4.643481643640257e-08,3.457911734727759e-09
1869,6.690421416877257e-08,9.767038289254515e-10
1870,6.135432029097387e-08,5.734048791339319e-10
1871,3.9298356568906456e-08,1.911811864374613e-08
1872,4.535504372071841e-08,6.047339295989218e-10
1873,5.6268441461782004e-08,2.3944017879529156e-09
1874,4.600448944014346e-08,2.3898436563030145e-09
1875,7.037478400029329e-08,1.716458086775674e-09
1876,5.985554496490408e-08,6.04601479992084e-10
1877,1.1441909597564859e-07,2.4739263970730008e-09
1878,6.642997307793053e-08,1.2078177347163432e-09
1879,5.315112849846315e-08,6.10932526790009e-10
1880,6.802917074111292e-08,1.2835692508872398e-09
1881,2.998178288970976e-08,6.972507571312292e-10
1882,4.392554342480537e-08,9.317538740560849e-09
1883,5.940178687824371e-08,1.2638677882037541e-09
1884,4.8192386969958534e-08,1.3203393933736152e-09
1885,3.8673812818856845e-08,4.511945039809007e-09
1886,4.646494078386354e-08,1.936039106809062e-09
1887,4.047933110928881e-08,1.9586774424595887e-09
1888,3.614150267949867e-08,6.974675947901687e-09
1889,4.63620102308937e-08,5.6386229019267375e-09
1890,2.6217545023854427e-08,1.3108772956016423e-09
1891,3.6970476458009216e-08,1.9122659011827636e-09
1892,4.638699313552763e-08,5.641661360300532e-09
1893,2.8328715429015716e-08,1.2316833108982905e-09
1894,4.852185342407722e-08,1.071261657159539e-08
1895,2.768562623600701e-08,6.6204757231957956e-09
1896,4.540712200684638e-08,6.486732040400511e-09
1897,2.6802883135168543e-08,3.4960281336537946e-09
1898,3.225262235062587e-08,1.6975064687230201e-09
1899,5.085372123403431e-08,4.4220627160029835e-09
1900,4.360484651133589e-08,2.595526460424935e-09
1901,2.51493244007861e-08,2.235495566438317e-09
1902,3.093478850857423e-08,4.910283846193408e-10
1903,2.106085861264262e-08,0.0
1904,2.042357571951925e-08,8.061937784020756e-09
1905,4.02539197530416e-08,1.0321518084666081e-09
1906,3.5494874317532066e-08,5.144184522798412e-10
1907,6.274269059858284e-08,0.0
1908,5.206072462016209e-08,3.437972351250096e-09
1909,3.740668841345496e-08,3.300590023513905e-09
