year,des_DET ondes_NOUN,des_DET rondes_NOUN
1800,5.093546526779846e-07,2.6096566330124915e-07
1801,3.762268434570615e-07,8.572257570449437e-08
1802,3.401517005841015e-07,5.594600338554301e-08
1803,4.973365044236289e-07,5.655983770225248e-08
1804,3.015658194271964e-07,1.9527622896475805e-07
1805,1.8478704744140373e-07,1.1087222873129576e-07
1806,3.1410192935510395e-07,9.509508203109363e-08
1807,1.4519471314144994e-07,1.3950080779423502e-07
1808,1.8808414070647927e-07,1.4729481279118772e-07
1809,2.7560173521123943e-07,1.649092260525009e-07
1810,2.8081521463718673e-07,9.360506680877734e-08
1811,2.557218250487381e-07,1.0028306718368185e-07
1812,2.907257012907394e-07,1.0135391326215881e-07
1813,4.1410678841558024e-07,2.041776525629757e-07
1814,2.0138733702879108e-07,1.1013369771717407e-07
1815,2.6163067445850174e-07,9.170559756022101e-08
1816,5.260960733721731e-07,1.715026911597306e-07
1817,5.417919535233295e-07,8.251429051142622e-08
1818,4.458520468375582e-07,9.06009489654025e-08
1819,2.7223261211961614e-07,8.073818946741085e-08
1820,4.616061177742381e-07,1.3290458866777044e-07
1821,2.76121662423634e-07,1.4890847033210974e-07
1822,2.556532194830652e-07,1.082766516447009e-07
1823,2.9845713989118394e-07,1.4922856905741355e-07
1824,2.265279341884252e-07,1.7431703724923864e-07
1825,2.4303022261307206e-07,1.8227267162274075e-07
1826,2.5102755962791434e-07,1.3740455528932216e-07
1827,2.55318456154896e-07,1.0323345500662384e-07
1828,2.577416751137207e-07,1.2199160437376122e-07
1829,2.4519282892931926e-07,1.2002446680980938e-07
1830,2.7761984533469786e-07,1.4924675473260152e-07
1831,6.376803491914274e-07,1.3720261105021336e-07
1832,3.1389530041892044e-07,1.5424164523381023e-07
1833,4.899874941344251e-07,1.5753734761148053e-07
1834,2.744352034511621e-07,1.5495321292746667e-07
1835,3.584903822684282e-07,1.9664028627630614e-07
1836,3.7434576860562174e-07,1.344150077908779e-07
1837,3.6737664332875397e-07,1.537693923303607e-07
1838,3.679990472349459e-07,1.7674052643634752e-07
1839,4.243825495464648e-07,1.9156641806183927e-07
1840,5.675392751314234e-07,1.7707734512040219e-07
1841,2.715891951332594e-07,1.7078659464431212e-07
1842,3.6425879024193364e-07,2.3344763100396904e-07
1843,2.2328124105186475e-07,1.340868798216377e-07
1844,1.9209964219335518e-07,1.7673167396203837e-07
