year,devez_VERB entrer_VERB,devez_VERB rentrer_VERB
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,1.3427040812530322e-08,8.951360541686881e-09
1803,2.5354410126965377e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,5.970043304159844e-08,5.685755422035754e-09
1806,1.152667650217154e-08,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,0.0
1809,1.581321384946932e-08,0.0
1810,6.084329839950442e-08,1.4040760554223652e-08
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,5.394447111228828e-09
1816,2.5493642752394408e-08,0.0
1817,3.42512151974006e-08,0.0
1818,1.5497530370112145e-08,8.344824387052086e-09
1819,4.140420006848444e-09,0.0
1820,3.085285271708926e-08,1.1866481131050932e-09
1821,4.832129363308013e-08,0.0
1822,5.413832582235045e-08,1.0025615893027862e-09
1823,1.8777104315859106e-08,0.0
1824,3.8737120178211626e-08,6.736890156844311e-09
1825,4.57883047033647e-08,4.4027217427355936e-09
1826,2.906634755106552e-08,2.642395191543301e-09
1827,1.2904182611350734e-08,5.530363722527909e-09
1828,2.8434133270138773e-08,3.668920500743411e-09
1829,8.573175946935407e-09,1.714635211591542e-09
1830,1.2524203008013046e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,5.411987746839486e-09,2.705993873419743e-09
1833,1.853380560135065e-08,1.0425265983826648e-08
1834,2.5203233278148218e-08,3.733812370398937e-09
1835,5.7479468296151026e-08,0.0
1836,3.696412420595152e-08,0.0
1837,2.1569462660409044e-08,1.3915781860163179e-09
1838,5.5547026533986354e-08,1.2624323808552163e-09
1839,1.3982949909063791e-08,0.0
1840,1.3376346252869098e-08,1.2739377330817092e-09
1841,3.9165346521485844e-08,0.0
1842,1.9453969102301016e-08,6.037438549100216e-09
1843,2.539971788451112e-08,7.678984559333912e-09
1844,3.0735943568060975e-08,8.781698035420504e-09
1845,3.850357188639464e-08,7.812318791877715e-09
1846,1.2879903366069811e-08,1.7563503984519002e-09
1847,5.9325460100012606e-09,3.235934187273415e-09
1848,2.172209789819135e-08,4.02261068899179e-09
1849,8.379414495607307e-09,0.0
1850,1.2899092460827433e-08,2.0366988096043315e-09
1851,1.4188765717904062e-08,3.2247193804124663e-09
1852,2.799534470909748e-08,0.0
1853,1.1346670270029335e-08,1.7915795513800958e-09
1854,3.896748168585873e-08,5.7152309551611324e-09
1855,1.6982198758341838e-08,3.714855978387277e-09
1856,4.245295315286057e-08,1.1389816201301528e-08
1857,2.2943092758964667e-08,9.763018171682347e-10
