year,voulons_VERB avoir_VERB,voulons_VERB ravoir_VERB
1800,8.174827570428533e-08,0.0
1801,1.73826322225068e-07,0.0
1802,1.6783801015662903e-07,0.0
1803,1.4042441875972145e-07,0.0
1804,6.921182915675672e-08,0.0
1805,7.107194477384837e-08,0.0
1806,6.627838899930794e-08,0.0
1807,5.97860605466849e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,5.6475762733043666e-08,0.0
1810,8.658469141664682e-08,0.0
1811,6.769107585569145e-08,0.0
1812,8.268345652595599e-08,0.0
1813,3.163315653864629e-08,0.0
1814,9.754699448194515e-08,0.0
1815,1.294667271167782e-07,0.0
1816,1.6918508549679245e-07,0.0
1817,1.6191484064620454e-07,0.0
1818,1.4305412321391486e-07,0.0
1819,8.487860725381324e-08,0.0
1820,9.611849804969097e-08,0.0
1821,1.7652064343565144e-07,0.0
1822,1.523893615740235e-07,0.0
1823,1.4231069656034379e-07,0.0
1824,2.0210670470532932e-07,0.0
1825,1.725866809465515e-07,0.0
1826,1.470933455038903e-07,0.0
1827,2.3872738097452384e-07,0.0
1828,2.4306598334078444e-07,0.0
1829,4.157990360909025e-07,0.0
1830,1.07499410262335e-07,0.0
1831,1.340843738262265e-07,0.0
1832,1.312406965325863e-07,0.0
1833,1.3668682186107617e-07,0.0
1834,1.5121939611617563e-07,0.0
1835,1.936150511028245e-07,0.0
1836,1.8549269498180365e-07,1.3441500135158435e-09
1837,1.3985361135837593e-07,0.0
1838,1.6979716122023092e-07,1.2624323808552163e-09
1839,1.3913034990764572e-07,0.0
1840,1.3185255909320404e-07,0.0
1841,1.2391659254262777e-07,0.0
1842,2.1600612853944767e-07,0.0
1843,1.1872891292341592e-07,0.0
1844,1.8112251609636587e-07,0.0
1845,1.1383664855202369e-07,0.0
1846,1.4460617592249037e-07,0.0
1847,1.2997668363823323e-07,0.0
1848,2.228526483349924e-07,0.0
1849,1.784815424343833e-07,0.0
1850,1.5003681141934067e-07,0.0
1851,9.674158008010636e-08,1.2898877521649865e-09
1852,1.2044509389852465e-07,0.0
1853,1.6482532316786092e-07,0.0
1854,1.9587655231134704e-07,0.0
1855,1.512477041387683e-07,0.0
1856,1.361600823202025e-07,1.5531567143511893e-09
1857,1.527912303345147e-07,0.0
1858,1.6540624869776366e-07,0.0
1859,1.3392416065016732e-07,0.0
1860,1.716444018029506e-07,0.0
1861,1.4619487842537637e-07,0.0
1862,1.4954534321987012e-07,0.0
1863,1.5333485237079003e-07,0.0
1864,1.2514239244865166e-07,4.794727948009836e-10
1865,1.2426069417870167e-07,4.706844247692743e-09
1866,1.4840119888503978e-07,0.0
1867,1.4704018269640073e-07,0.0
1868,1.6103989253224427e-07,9.87974813071446e-10
1869,1.3527348130537575e-07,4.395167341186834e-09
1870,1.2672248317358026e-07,1.7202146374017957e-09
1871,2.2198260296590888e-07,6.37270636261178e-09
1872,2.3766043000250647e-07,6.047339295989218e-10
1873,1.9035493892261002e-07,5.986004469882289e-10
1874,1.583271398430952e-07,0.0
1875,1.4074956311560527e-07,0.0
1876,1.2092029066934629e-07,0.0
1877,1.3668443443748401e-07,0.0
1878,1.8177657068463304e-07,0.0
1879,1.5028939515104867e-07,0.0
1880,1.0974517294926045e-07,0.0
1881,1.7152368059214496e-07,6.972507571312292e-10
1882,1.4309078721908008e-07,6.655385131892899e-10
1883,1.7251795725314878e-07,0.0
1884,1.2543223704142292e-07,0.0
1885,1.1924426246423536e-07,6.445635691854079e-10
1886,1.310053221459384e-07,1.2906927748801422e-09
1887,1.5604129544044554e-07,0.0
1888,1.2173980223906256e-07,1.9021844099853524e-09
1889,1.434716381254475e-07,0.0
1890,1.4354105815073126e-07,0.0
1891,1.2238501767569687e-07,0.0
1892,1.454294817904156e-07,6.268512375839919e-10
1893,1.570396221950432e-07,0.0
1894,1.5627817617769324e-07,0.0
1895,1.3240952512205695e-07,6.018614495673091e-10
1896,1.1499206209464319e-07,0.0
1897,1.4566784045655368e-07,0.0
1898,1.4259053671139554e-07,0.0
1899,1.5753597892853577e-07,0.0
1900,1.5054054358643043e-07,0.0
1901,1.1848126746372145e-07,0.0
1902,1.1931989263302967e-07,4.910283846193408e-10
1903,1.45805941542676e-07,0.0
