year,pouvons_VERB entrer_VERB,pouvons_VERB rentrer_VERB
1800,1.2576657582030748e-07,1.2576657937302116e-08
1801,1.1905913055443307e-07,0.0
1802,1.7902721083373763e-07,6.713520406265161e-09
1803,3.510610468993036e-08,3.900678446910888e-09
1804,1.3347995775347954e-07,4.943701892301533e-09
1805,7.675770063997334e-08,2.2743021688143017e-08
1806,2.305335300434308e-08,0.0
1807,1.0533734240425474e-07,1.7081731584767113e-08
1808,5.891792298484688e-08,0.0
1809,9.487928309681593e-08,9.036122072814123e-09
1810,1.1700633706368535e-07,4.680253518074551e-09
1811,1.3287507272252697e-07,0.0
1812,9.335229123053068e-08,0.0
1813,1.322841143291953e-07,0.0
1814,1.321604372606089e-07,0.0
1815,1.8880564311984926e-07,1.3486118000116676e-08
1816,1.4369143741532753e-07,2.7811246638975717e-08
1817,8.56280379935015e-08,4.670620334934483e-09
1818,1.4066989706407185e-07,0.0
1819,1.2628281353954662e-07,0.0
1820,1.3646453567162098e-07,9.493184904840746e-09
1821,1.0749022294476163e-07,4.930744257336528e-09
1822,1.523893615740235e-07,0.0
1823,2.0358335461878596e-07,2.9648061783404955e-09
1824,1.2463246434890607e-07,3.3684450784221553e-09
1825,1.5409524678489106e-07,1.7610886082763955e-09
1826,1.6911329225877125e-07,7.927186018719112e-09
1827,1.7512819283638237e-07,0.0
1828,1.6968756710866728e-07,2.0179061976932644e-08
1829,2.494794273388834e-07,1.714635211591542e-09
1830,2.5674614789750194e-07,7.305785310052215e-09
1831,2.977920416924462e-07,9.354723218280014e-09
1832,2.1647950632086577e-07,0.0
1833,2.1313876175099722e-07,4.6334514003376626e-09
1834,2.025593204280085e-07,0.0
1835,1.194967893525245e-07,1.0588323107185715e-08
1836,2.130477838591105e-07,1.008112526790228e-08
1837,2.657914421888563e-07,1.3915781860163179e-09
1838,1.634849979836872e-07,2.5248647617104325e-09
1839,2.0834596625718405e-07,2.4470162784950844e-08
1840,2.3249363323429861e-07,1.3376346252869098e-08
1841,2.0674166023582075e-07,1.219904177673925e-08
1842,1.8648977118118637e-07,4.024959032733477e-09
1843,1.9788151917055075e-07,1.2995204023980023e-08
1844,3.419373797441949e-07,3.2931368743049916e-09
1845,2.070264599751681e-07,5.022205318283568e-09
1846,2.4705994405849196e-07,3.219975752699611e-08
1847,2.3029065232549328e-07,8.629157832729106e-09
1848,1.9630340375442756e-07,8.04522137798358e-09
1849,2.0780949228083045e-07,2.76520690789539e-08
1850,2.2335797211781028e-07,6.1100964288129944e-09
1851,1.9864270939251583e-07,1.5478653025979838e-08
1852,2.070353417593651e-07,2.6042181744401205e-09
1853,2.072260372187884e-07,8.360704129017904e-09
1854,2.171787798488367e-07,3.117398783558656e-09
1855,2.0431707525858656e-07,1.963566731433275e-08
1856,2.3400895088343532e-07,9.836659486950339e-09
1857,2.2210866745808744e-07,1.0251168802710708e-08
1858,2.2559846968306374e-07,1.663849857891364e-08
1859,2.505349243620003e-07,1.018434669930457e-08
1860,2.53118258797258e-07,8.238931314963338e-09
1861,2.805998349231231e-07,1.7920662287451705e-08
1862,3.031568667211104e-07,1.671654992208005e-08
1863,3.3763637929951074e-07,9.489779628779615e-09
1864,3.073420486998657e-07,1.726102105692462e-08
1865,2.428731704640086e-07,5.6482134525026595e-09
1866,2.914502204021119e-07,9.731225603104576e-09
1867,3.1106520737012033e-07,6.308654931785895e-09
1868,2.771269294044032e-07,1.333765986544222e-08
1869,2.6029155719697883e-07,2.3929244363785074e-08
1870,3.19386515457154e-07,9.17447806614291e-09
1871,2.8677177965619194e-07,2.1242354542039266e-09
1872,3.362320626365545e-07,1.5118347462816928e-08
1873,3.1546244372293586e-07,9.577607151811662e-09
1874,3.25616184682076e-07,2.3300975371398636e-08
1875,2.969472632230463e-07,7.437985338754061e-09
1876,3.669931061267562e-07,9.673623679873344e-09
1877,2.789352038234938e-07,6.80329748092845e-09
1878,3.6476095033322053e-07,1.3285995414946683e-08
1879,3.1646305842514266e-07,1.221865097988939e-08
1880,3.369369210304285e-07,3.8507077526617195e-09
1881,3.583868988243921e-07,4.183504653809678e-09
1882,3.8401572055590805e-07,2.6621540527571597e-09
1883,3.854796659652493e-07,5.687405213450347e-09
1884,3.7893741478001175e-07,2.6406787867472303e-09
1885,3.3646219321781246e-07,9.023890079618013e-09
1886,3.459056756582868e-07,8.38950331427668e-09
1887,3.6561976912707905e-07,2.6115698492645834e-09
1888,3.480997463611857e-07,8.876860135842435e-09
1889,3.3831739187917265e-07,1.4409814674820609e-08
1890,3.4934879522552365e-07,8.520702365899524e-09
1891,3.7097962035659293e-07,6.3742202627281586e-09
