year,leurs_DET aigles_NOUN,leurs_DET règles_NOUN
1800,0.0,4.2446221515390903e-07
1801,1.904946067554647e-08,6.738746627377168e-07
1802,1.3427040812530322e-08,4.5428154749060923e-07
1803,3.705644502360883e-08,6.14356834516272e-07
1804,1.4831105232815389e-08,5.339198039244764e-07
1805,2.842877755426798e-08,6.936621579356483e-07
1806,3.7461699520235925e-08,4.322503661668975e-07
1807,4.839823697366796e-08,7.231266074825271e-07
1808,1.540930298915555e-07,4.486826625793583e-07
1809,1.197286207954562e-07,3.7951711640005215e-07
1810,1.1232608443378922e-07,4.4228394457945797e-07
1811,6.518399686683551e-08,4.061464506932566e-07
1812,5.067695596494559e-08,4.1075006862456576e-07
1813,6.326631307729258e-08,5.09006246263155e-07
1814,1.0069366851439554e-07,4.310947687713451e-07
1815,2.1577788800186681e-07,5.313530291317647e-07
1816,8.57513455798653e-08,5.840361811948469e-07
1817,1.1676550570882682e-07,6.928086699886649e-07
1818,7.74876554032744e-08,6.616253285240958e-07
1819,6.003609165361468e-08,7.390649514604775e-07
1820,1.2578469466006936e-07,4.2719332427054724e-07
1821,1.0946251904897508e-07,4.6546225485055714e-07
1822,7.017931125119503e-08,3.5791448738109466e-07
1823,1.3736934401098466e-07,3.2316386988640033e-07
1824,1.5747480119898682e-07,5.667409119780586e-07
1825,1.6906450639453396e-07,4.226612748681191e-07
1826,1.153845943235865e-07,3.681737451577405e-07
1827,7.650336897313537e-08,2.931092963898152e-07
1828,5.6868266540277546e-08,3.742298981812553e-07
1829,6.601345603485242e-08,4.6466613756734887e-07
1830,9.184415716845251e-08,3.2041086028833377e-07
1831,1.9956743813054345e-07,3.5859773950264184e-07
1832,6.22378593106987e-08,3.8425113135787115e-07
1833,1.3437009727113036e-07,4.077437149030416e-07
1834,9.70791234067292e-08,4.368560475587202e-07
1835,6.579886502322552e-08,4.220203209115425e-07
1836,9.812295331812493e-08,3.918197355456954e-07
1837,7.584100814028716e-08,4.237355497593853e-07
1838,9.846972659488529e-08,3.20657826957671e-07
1839,7.900366938429215e-08,3.684507285939276e-07
1840,7.771020449354182e-08,3.0510808740613626e-07
1841,8.282507613088796e-08,4.455860782570653e-07
1842,1.0934471861290262e-07,6.05756354854492e-07
1843,8.151536962097694e-08,4.5719491792439726e-07
1844,5.0494762149355665e-08,4.5719716323944226e-07
1845,1.0100212932684371e-07,5.675091565571222e-07
1846,6.498496674112175e-08,5.579339932282323e-07
1847,5.608952591273919e-08,4.83232843073722e-07
1848,3.861706332486392e-08,3.692756830875332e-07
1849,4.4410899846525353e-08,4.013739829389351e-07
1850,9.029364633761361e-08,3.6796358404700413e-07
1851,6.191461210391935e-08,3.3924048659095263e-07
1852,4.8829090104618444e-08,4.63550842599858e-07
1853,8.599582201895828e-08,3.971334803232196e-07
1854,4.9358813924982314e-08,4.873533275828734e-07
1855,8.75644623477001e-08,4.447213299840769e-07
1856,7.506924504241397e-08,4.5818125293806133e-07
1857,6.199516727756205e-08,3.5927906250066144e-07
1858,5.0404863338737727e-08,3.978558633654927e-07
1859,2.800695320104296e-08,4.852841186675505e-07
1860,4.9891306280747116e-08,3.913492385709816e-07
1861,4.008569121083383e-08,3.268162978575795e-07
1862,3.7499287230957634e-08,3.5917991692002715e-07
1863,7.641769883548477e-08,4.64499743557667e-07
1864,4.1234660130839984e-08,3.8166034865838583e-07
1865,6.213034708935083e-08,3.619563206935794e-07
1866,2.8707116683790446e-08,3.999533798593191e-07
1867,2.329349513274792e-08,3.0038902387730104e-07
1868,2.420538258718352e-08,4.0803358958285685e-07
1869,5.323035712212487e-08,3.82379542696043e-07
1870,6.364793847524197e-08,3.8188763618052235e-07
1871,4.0360472297606975e-08,2.03926597386328e-07
1872,3.386510083469574e-08,3.053906256766936e-07
1873,4.908523543178944e-08,2.843351986636655e-07
1874,3.584765551067903e-08,3.2203144484377333e-07
1875,3.4901315615343265e-08,2.729168362414214e-07
1876,1.6324239737741664e-08,3.077421599773089e-07
1877,3.958282235316801e-08,3.141886484314682e-07
1878,4.589707458535486e-08,2.995387964332963e-07
1879,2.016077260691418e-08,2.779743052405692e-07
1880,3.401458670282409e-08,2.798180926966154e-07
1881,2.370652651961791e-08,2.9563432057955197e-07
1882,2.728707926280549e-08,3.4075571853087183e-07
1883,1.7062215029728378e-08,2.717315719102942e-07
1884,2.3105940272216685e-08,2.7595093676779925e-07
1885,1.8692343672910283e-08,2.7200583518904864e-07
1886,2.8395241713496944e-08,2.54266462329511e-07
1887,1.4363633837888301e-08,2.4809913767853686e-07
1888,1.1413106904001324e-08,2.561608276607785e-07
1889,1.7542383545787743e-08,2.869432584873266e-07
1890,1.3108772733971819e-08,2.5889827259817366e-07
1891,1.784781566982474e-08,2.517816879432644e-07
1892,2.3193495124473884e-08,3.0653025229199216e-07
1893,2.3401982574000613e-08,2.635802345274385e-07
1894,2.457600345451283e-08,2.886104972787962e-07
1895,3.791727110069587e-08,2.082440584416645e-07
1896,2.6536630670648265e-08,2.51213429836028e-07
1897,3.496028289085018e-08,2.4413929389233147e-07
1898,2.998928039232851e-08,2.874444273714971e-07
1899,1.6029977345510815e-08,2.3658035175344594e-07
1900,1.764958135197503e-08,3.3949486555329145e-07
1901,1.4530721514915967e-08,3.05704028313869e-07
1902,2.062319276463498e-08,2.5631681399573836e-07
1903,1.9980815224585058e-08,2.581305240667575e-07
1904,1.4511488011237361e-08,3.05816162615713e-07
1905,1.8062656814699096e-08,3.9118552574990417e-07
1906,2.777859720026754e-08,2.916752570580883e-07
1907,1.3885677496716653e-08,2.68970717254291e-07
1908,1.6698722404839828e-08,2.5048084228984635e-07
1909,1.2102163438054703e-08,2.7724958018282564e-07
1910,2.137660359835536e-08,3.3775032681759853e-07
1911,2.553779543390533e-08,3.1496614028014847e-07
1912,4.636384787204406e-08,2.677642410020553e-07
1913,1.6969567084856862e-08,2.853008460590445e-07
1914,1.9420556107707654e-08,2.5782463897172647e-07
1915,2.4739600146261864e-08,1.7553335318609697e-07
1916,3.29623865980011e-08,2.5381037183080934e-07
