year,deux_DET ans_NOUN,deux_DET rangs_NOUN
1800,2.2854931899018993e-05,3.0812811928626616e-06
1801,2.3223673565553327e-05,2.733597604276383e-06
1802,2.085667028950411e-05,3.623063292934603e-06
1803,2.4190056933548476e-05,4.4662769269621094e-06
1804,2.3707521563665068e-05,2.6003872548585605e-06
1805,2.2211403233995952e-05,4.986407371454504e-06
1806,2.2747895627617254e-05,2.466708664883299e-06
1807,2.258774270558206e-05,1.748030445725135e-06
1808,2.4518920781702036e-05,2.476818821151028e-06
1809,2.840279148585978e-05,3.386286834938801e-06
1810,2.6696166401052324e-05,1.7597753085851764e-06
1811,3.280509974956658e-05,1.837687307215674e-06
1812,2.6082628437507083e-05,1.7416869368958032e-06
1813,3.1233429126587e-05,1.4953856926069875e-06
1814,2.4880776663849247e-05,1.7023523817272235e-06
1815,2.3681622224103194e-05,2.67834294476188e-06
1816,2.473346808073984e-05,3.3373495256228125e-06
1817,2.219478722054191e-05,3.815896807424224e-06
1818,3.026667786798498e-05,2.2089941298375493e-06
1819,2.980895442306064e-05,2.491497799184117e-06
1820,2.7404452112023137e-05,1.7514925811923376e-06
1821,2.7602306658991438e-05,1.8085969273329283e-06
1822,2.485450363565178e-05,1.7033521544362884e-06
1823,2.552006230871484e-05,1.855968648101225e-06
1824,2.455596381878422e-05,1.931803307542168e-06
1825,2.67033868794897e-05,3.0854272239366765e-06
1826,2.652524437962711e-05,2.220492948623587e-06
1827,2.612636023968662e-05,2.6075665928715352e-06
1828,2.5398102252438548e-05,2.4095636383947294e-06
1829,2.4340104346265434e-05,2.007837936801593e-06
1830,2.482610079823644e-05,2.4505691520460005e-06
1831,2.5248398742405698e-05,2.28878894947826e-06
1832,2.9634691827595816e-05,3.133540914745936e-06
1833,2.7282920427751378e-05,2.0016510333675797e-06
1834,2.739498177106725e-05,2.0022568776312255e-06
1835,2.686635718873731e-05,2.264388598405276e-06
1836,2.6696162990447192e-05,2.3321001876297487e-06
1837,2.8485605525929714e-05,2.0901504669268434e-06
1838,2.7173224907528493e-05,2.093112989598467e-06
1839,2.7301010732116993e-05,2.0960443514184135e-06
1840,2.7588395710154145e-05,2.022376200727649e-06
1841,2.8096961841583834e-05,2.6722322203909243e-06
1842,2.8579222544067306e-05,1.4489852553367655e-06
1843,2.9381567173913936e-05,1.635033036961886e-06
1844,2.8093749506297172e-05,1.8304352096265575e-06
1845,2.7340885026205797e-05,1.9017416477140614e-06
1846,2.7226357588006067e-05,1.8113827096044588e-06
1847,2.8703275120278704e-05,1.5554056744804257e-06
1848,2.6990914420821355e-05,1.5824951375975616e-06
1849,2.7888368208550673e-05,2.600970482546927e-06
1850,3.013160096543288e-05,1.9606620114132056e-06
1851,2.796025250972889e-05,2.0535012659195218e-06
1852,2.756174353635288e-05,2.175173147378473e-06
1853,2.838459215581679e-05,2.142729201182192e-06
1854,2.7388944317863206e-05,1.7608106368527388e-06
1855,2.8526910000437056e-05,1.566077123982268e-06
1856,2.7127954467687232e-05,1.3414097352892895e-06
1857,2.754928391368594e-05,1.9843333980418265e-06
1858,2.9581783110188553e-05,1.577721192802528e-06
1859,2.6821495794138173e-05,1.5027003215095647e-06
1860,2.7797695111075882e-05,1.4802613286235555e-06
1861,2.742851677339786e-05,1.4374257020222103e-06
1862,2.87727953036665e-05,1.4651829083334178e-06
1863,2.9034730005150777e-05,1.3455508920401371e-06
1864,2.896159435294976e-05,1.4743788554483217e-06
1865,2.775767245566385e-05,1.2350759099888364e-06
1866,2.68596435262225e-05,1.366264108071391e-06
1867,2.9428904326778138e-05,1.4568140258575113e-06
1868,2.9551809120675898e-05,1.4725764962975063e-06
1869,2.830145899679337e-05,1.3708038046900128e-06
1870,3.1369834005090524e-05,1.6634475095145262e-06
