year,pourrons_VERB apporter_VERB,pourrons_VERB rapporter_VERB
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,4.475680270843441e-09
1803,0.0,9.751696339321825e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.8880564667256294e-08
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,1.1866481131050932e-09
1821,0.0,9.86148829262845e-10
1822,0.0,1.1028177482330648e-08
1823,0.0,0.0
1824,0.0,4.210556348027694e-09
1825,1.7610886082763955e-09,0.0
1826,0.0,0.0
1827,0.0,1.8434546111834038e-09
1828,0.0,4.586150570418113e-09
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,0.0,6.950177322551099e-09
1834,1.8669061851994684e-09,9.334531370086552e-09
1835,0.0,1.2100940693926532e-08
1836,1.3441500135158435e-09,2.688300027031687e-09
1837,1.3915781860163179e-09,1.3915781860163179e-09
1838,0.0,1.2624323808552163e-09
1839,3.4957374772659477e-09,4.894032734625853e-09
1840,2.5478754661634184e-09,3.821813088222825e-09
1841,1.926164561183441e-09,0.0
1842,6.708265054555795e-10,6.708265054555795e-10
1843,5.906911071384968e-10,2.953455480181333e-09
1844,6.586273748609983e-09,7.683985892015244e-09
1845,5.580227946389016e-10,2.2320911785556063e-09
1846,5.269050973311096e-09,5.854501328173001e-10
1847,0.0,1.0786447290911383e-09
1848,0.0,4.02261068899179e-09
1849,0.0,3.3517659758786067e-09
1850,9.504594444820214e-09,6.788996032014438e-10
1851,6.449438760824933e-10,2.579775504329973e-09
1852,2.6042181744401205e-09,0.0
1853,1.1943863675867306e-09,4.777545470346922e-09
1854,1.558699391779328e-09,2.0782657816909023e-09
1855,0.0,2.1227748447927297e-09
1856,0.0,1.346069211649592e-08
1857,9.763018171682347e-10,4.881509085841174e-10
1858,2.936205500958522e-09,2.4468380654951716e-09
1859,2.5460866748261424e-09,2.5460866748261424e-09
1860,4.57718396518203e-09,0.0
1861,4.715963730639317e-10,0.0
1862,1.8071945051545413e-09,2.710791813242963e-09
1863,1.9978483312144135e-09,4.994620717013731e-09
1864,8.151037178549814e-09,1.4384183844029508e-09
1865,7.0602665935837194e-09,9.41368871743009e-10
1866,2.432806400776144e-09,4.865612912574591e-10
1867,1.94112459439566e-09,1.94112459439566e-09
1868,0.0,5.9278488784286765e-09
1869,9.767038289254515e-10,1.4650557433881772e-09
1870,2.2936195165357276e-09,4.587239033071455e-09
1871,4.248470908407853e-09,0.0
1872,8.4662747923403e-09,3.0236697590169115e-09
1873,4.788803575905831e-09,4.190203295451056e-09
1874,4.779687312606029e-09,1.0156835372754358e-08
1875,1.1443054503956773e-08,2.2886108563824337e-09
1876,3.02300739996042e-09,0.0
1877,7.421779191219002e-09,6.184815992682502e-10
1878,6.6429977074733415e-09,1.8117265465633636e-09
1879,6.10932526790009e-10,6.109325489944695e-09
1880,3.2089231272180996e-09,4.492492600149944e-09
1881,2.7890030285249168e-09,6.2752567586699115e-09
1882,4.6587693702804245e-09,2.6621540527571597e-09
1883,9.479008689083912e-09,6.319338941018771e-10
1884,1.9805090900604227e-09,2.6406787867472303e-09
