year,mais_CONJ aller_VERB
1800,2.2009152278457123e-08
1801,1.904946067554647e-08
1802,2.6854081625060644e-08
1803,3.1205426687108684e-08
1804,9.393033550963992e-08
1805,9.097208586439365e-08
1806,2.881669125542885e-08
1807,2.562259648897225e-08
1808,1.1330369531492579e-08
1809,2.4849335478194234e-08
1810,2.106114038724627e-08
1811,3.7606151082059114e-08
1812,1.0668832928217853e-08
1813,2.8757416004054903e-08
1814,2.8320093825584536e-08
1815,1.6183340889597275e-08
1816,4.6352077731626196e-08
1817,3.425121453126678e-08
1818,6.199012325680542e-08
1819,4.450951518464308e-08
1820,3.2039500830194356e-08
1821,9.861488070583846e-08
1822,6.015369535816717e-08
1823,6.819054032547456e-08
1824,6.231623217445303e-08
1825,4.226612571045507e-08
1826,6.429828403042848e-08
1827,9.2172731225304e-08
1828,5.6868268760723595e-08
1829,6.344150182968633e-08
1830,6.992680168238508e-08
1831,9.354723662369224e-08
1832,8.117981487032466e-08
1833,7.41352224054026e-08
1834,6.627517024071494e-08
1835,6.958040899007756e-08
1836,1.3172670065841885e-07
1837,1.0019362761681805e-07
1838,7.763959253281882e-08
1839,5.38343609690628e-08
1840,8.025807929357143e-08
1841,8.410918539425438e-08
1842,4.159124245006751e-08
1843,6.084118542304395e-08
1844,9.165897552065871e-08
1845,7.868121443266318e-08
1846,6.674131292072616e-08
1847,4.530307951000623e-08
1848,7.321151862527131e-08
1849,9.04976822369008e-08
1850,6.517436190733861e-08
1851,7.610337782182341e-08
1852,5.208436171244557e-08
1853,7.106598864936586e-08
1854,6.182840550650326e-08
1855,9.499417430447465e-08
1856,1.0406150252606494e-07
1857,1.1276285860617463e-07
1858,7.927755163450456e-08
1859,9.52236405282747e-08
1860,7.41503800583132e-08
1861,9.762045038996803e-08
1862,1.0526908411634395e-07
1863,7.891501141443769e-08
1864,7.000302915116663e-08
1865,8.331114464965594e-08
1866,1.2115375724874866e-07
1867,1.164674756637396e-07
1868,9.682153034873409e-08
1869,1.1671610877783678e-07
1870,6.651496775589294e-08
1871,5.629224020253787e-08
1872,8.829115571984403e-08
1873,8.260686001904105e-08
1874,6.751308134766987e-08
1875,8.639505821861349e-08
1876,7.436598181698173e-08
1877,9.524616828571197e-08
1878,7.367687970827319e-08
1879,9.530547373515219e-08
1880,6.225310933416495e-08
1881,1.1783537701148816e-07
1882,9.051323601738659e-08
1883,6.003371844087724e-08
1884,7.195849605068361e-08
1885,6.252266615547342e-08
1886,7.292414139214998e-08
1887,6.724792545043101e-08
1888,7.164894633149288e-08
1889,6.39043964412167e-08
1890,7.668632306945256e-08
1891,9.178877036220001e-08
1892,7.208789298829288e-08
1893,6.158416532286992e-08
1894,8.633108450339932e-08
1895,6.379731232186714e-08
1896,5.425266458303213e-08
1897,7.866063356232189e-08
1898,4.356933214211267e-08
1899,7.793885536955258e-08
1900,8.046132293770825e-08
1901,8.271333662435154e-08
1902,7.561837378489145e-08
1903,8.046328048294527e-08
1904,4.78341632970114e-08
1905,6.605771396550608e-08
1906,7.304741878044752e-08
1907,8.177121202379567e-08
1908,6.18835009902341e-08
1909,7.316308092697454e-08
1910,5.5044752755861737e-08
1911,7.076097574554296e-08
1912,7.501566656742398e-08
1913,9.492351793483067e-08
1914,7.366418230958516e-08
1915,8.717764110599546e-08
1916,7.251724909451696e-08
1917,6.579854527899442e-08
1918,9.533692235663693e-08
1919,8.931613137974637e-08
1920,6.284952469570726e-08
1921,4.392193631019836e-08
1922,7.15659727035245e-08
1923,5.8387714219065856e-08
1924,4.383152329978657e-08
1925,8.578578558626759e-08
1926,6.241837269271855e-08
1927,8.919380078964423e-08
1928,7.084145359215199e-08
1929,6.238627392463059e-08
1930,7.037414562205413e-08
1931,6.158892773555635e-08
